segment_id,start,end,speaker_id
0,0.03,0.87,SPEAKER_03
1,4.77,7.83,SPEAKER_02
2,7.83,9.46,SPEAKER_03
3,10.59,10.71,SPEAKER_02
4,12.25,12.7,SPEAKER_03
5,15.05,16.15,SPEAKER_03
6,19.34,20.23,SPEAKER_00
7,20.74,21.61,SPEAKER_03
8,25.9,27.32,SPEAKER_01
9,30.54,30.9,SPEAKER_03
10,32.23,32.94,SPEAKER_00
11,33.41,35.0,SPEAKER_03
12,35.28,35.91,SPEAKER_00
13,38.1,39.06,SPEAKER_00
14,39.82,42.17,SPEAKER_03
15,42.18,42.24,SPEAKER_03
16,44.78,46.08,SPEAKER_00
17,48.18,48.97,SPEAKER_00
18,50.4,51.08,SPEAKER_03
19,53.56,54.12,SPEAKER_03
20,55.94,75.01,SPEAKER_03
21,75.01,75.12,SPEAKER_02
22,75.12,77.37,SPEAKER_03
23,77.37,80.64,SPEAKER_00
24,80.78,81.25,SPEAKER_03
25,82.06,84.47,SPEAKER_02
26,85.94,88.66,SPEAKER_01
27,89.3,101.74,SPEAKER_03
28,104.89,106.19,SPEAKER_03
29,108.69,132.06,SPEAKER_03
30,132.5,139.35,SPEAKER_00
31,139.47,139.49,SPEAKER_00
32,139.49,140.21,SPEAKER_02
33,140.21,152.58,SPEAKER_03
34,154.49,169.08,SPEAKER_03
35,174.18,176.64,SPEAKER_02
36,181.39,182.2,SPEAKER_02
37,183.23,183.82,SPEAKER_03
38,183.82,191.49,SPEAKER_02
39,203.44,204.24,SPEAKER_02
40,211.71,216.03,SPEAKER_02
41,216.03,216.27,SPEAKER_03
42,216.27,233.65,SPEAKER_02
43,235.66,242.44,SPEAKER_02
44,243.42,243.64,SPEAKER_03
45,244.58,244.87,SPEAKER_03
46,244.92,245.48,SPEAKER_03
47,255.08,256.7,SPEAKER_01
48,267.97,275.04,SPEAKER_01
49,275.63,276.21,SPEAKER_01
50,280.97,282.03,SPEAKER_00
51,285.94,293.4,SPEAKER_03
52,293.42,293.64,SPEAKER_03
53,295.98,298.03,SPEAKER_02
54,298.03,298.57,SPEAKER_03
55,298.57,299.04,SPEAKER_02
56,299.04,300.07,SPEAKER_03
57,300.07,300.09,SPEAKER_02
58,300.09,300.2,SPEAKER_03
59,300.2,300.36,SPEAKER_02
60,300.36,303.49,SPEAKER_03
61,307.07,310.78,SPEAKER_02
62,312.03,313.32,SPEAKER_03
63,313.32,313.5,SPEAKER_00
64,313.5,314.8,SPEAKER_03
65,318.56,341.41,SPEAKER_00
66,341.88,342.1,SPEAKER_02
67,342.37,342.88,SPEAKER_03
68,343.66,346.88,SPEAKER_03
69,349.66,350.96,SPEAKER_02
70,353.9,354.81,SPEAKER_00
71,354.96,364.99,SPEAKER_03
72,366.99,368.68,SPEAKER_03
73,373.31,376.24,SPEAKER_03
74,378.45,379.53,SPEAKER_02
75,379.53,379.97,SPEAKER_03
76,379.97,380.04,SPEAKER_02
77,380.04,380.06,SPEAKER_03
78,380.06,380.11,SPEAKER_02
79,380.11,381.0,SPEAKER_03
80,382.81,383.84,SPEAKER_02
81,388.26,389.05,SPEAKER_03
82,393.44,393.99,SPEAKER_02
83,394.62,413.32,SPEAKER_03
84,415.0,422.23,SPEAKER_03
85,425.57,431.25,SPEAKER_03
86,431.25,433.43,SPEAKER_02
87,433.8,441.77,SPEAKER_03
88,442.09,443.22,SPEAKER_00
89,443.56,443.59,SPEAKER_00
90,443.59,443.93,SPEAKER_03
91,443.93,444.01,SPEAKER_00
92,444.01,444.03,SPEAKER_03
93,444.03,447.17,SPEAKER_02
94,447.17,447.91,SPEAKER_03
95,447.91,447.93,SPEAKER_02
96,447.93,448.03,SPEAKER_03
97,448.03,448.94,SPEAKER_02
98,448.94,453.01,SPEAKER_03
99,453.04,453.58,SPEAKER_03
100,455.49,455.99,SPEAKER_03
101,458.73,463.0,SPEAKER_03
102,465.48,470.74,SPEAKER_03
103,472.38,494.89,SPEAKER_03
104,496.0,500.66,SPEAKER_02
105,501.15,501.37,SPEAKER_02
106,502.11,503.65,SPEAKER_02
107,503.78,504.37,SPEAKER_02
108,505.23,513.96,SPEAKER_02
109,514.68,515.29,SPEAKER_03
110,516.34,522.95,SPEAKER_03
111,524.19,530.02,SPEAKER_03
112,531.59,531.78,SPEAKER_03
113,531.8,541.7,SPEAKER_03
114,543.91,544.1,SPEAKER_02
115,545.45,546.07,SPEAKER_03
116,548.28,555.0,SPEAKER_02
117,555.0,555.52,SPEAKER_03
118,555.52,556.48,SPEAKER_02
119,556.62,557.04,SPEAKER_03
120,557.4,557.68,SPEAKER_02
121,557.68,558.04,SPEAKER_03
122,558.04,558.14,SPEAKER_02
123,558.36,565.14,SPEAKER_02
124,565.14,571.08,SPEAKER_03
125,571.2,571.44,SPEAKER_03
126,571.69,580.31,SPEAKER_00
127,580.38,580.41,SPEAKER_00
128,580.41,581.22,SPEAKER_03
129,581.26,582.24,SPEAKER_03
130,582.24,588.83,SPEAKER_02
131,590.98,596.83,SPEAKER_02
132,597.74,598.18,SPEAKER_03
133,598.18,600.04,SPEAKER_02
134,600.04,602.86,SPEAKER_03
135,602.86,616.59,SPEAKER_02
136,616.59,617.34,SPEAKER_03
137,619.01,624.0,SPEAKER_03
138,655.46,676.4,SPEAKER_02
139,677.14,680.53,SPEAKER_03
140,680.53,680.79,SPEAKER_02
141,680.79,680.82,SPEAKER_03
142,681.65,692.11,SPEAKER_03
143,692.23,701.07,SPEAKER_03
144,701.17,701.19,SPEAKER_03
145,701.29,705.03,SPEAKER_03
146,706.74,721.45,SPEAKER_03
147,722.77,727.04,SPEAKER_02
148,727.61,727.65,SPEAKER_02
149,727.65,733.08,SPEAKER_03
150,734.73,734.94,SPEAKER_03
151,735.09,735.54,SPEAKER_03
152,753.67,773.41,SPEAKER_02
153,773.41,776.08,SPEAKER_03
154,776.08,793.63,SPEAKER_02
155,794.39,804.31,SPEAKER_01
156,804.46,810.57,SPEAKER_02
157,811.5,814.98,SPEAKER_03
158,814.98,815.53,SPEAKER_02
159,815.53,815.84,SPEAKER_03
160,815.84,816.02,SPEAKER_02
161,816.02,816.8,SPEAKER_03
162,816.8,816.97,SPEAKER_02
163,816.97,819.62,SPEAKER_03
164,819.89,834.79,SPEAKER_02
165,835.17,843.98,SPEAKER_02
166,844.03,849.11,SPEAKER_03
167,849.11,850.02,SPEAKER_02
168,850.02,851.09,SPEAKER_03
169,851.09,851.43,SPEAKER_02
170,851.43,852.78,SPEAKER_03
171,852.78,870.11,SPEAKER_02
172,872.0,872.57,SPEAKER_02
173,874.02,879.29,SPEAKER_02
174,882.58,902.62,SPEAKER_03
175,903.05,904.29,SPEAKER_00
176,904.6,906.1,SPEAKER_03
177,906.4,914.69,SPEAKER_00
178,914.69,922.47,SPEAKER_03
179,924.33,925.35,SPEAKER_02
180,925.35,925.61,SPEAKER_03
181,925.61,926.15,SPEAKER_02
182,926.62,927.31,SPEAKER_03
183,927.31,927.46,SPEAKER_02
184,927.46,927.51,SPEAKER_03
185,927.51,937.02,SPEAKER_02
186,937.02,937.39,SPEAKER_03
187,937.39,951.12,SPEAKER_02
188,951.38,952.81,SPEAKER_03
189,953.05,956.37,SPEAKER_02
190,956.37,957.45,SPEAKER_03
191,957.45,971.96,SPEAKER_02
192,971.96,972.3,SPEAKER_03
193,972.3,972.94,SPEAKER_02
194,975.2,975.59,SPEAKER_03
195,975.59,976.92,SPEAKER_02
196,977.16,1019.33,SPEAKER_03
197,1019.67,1020.01,SPEAKER_02
198,1021.51,1022.39,SPEAKER_03
199,1026.15,1026.57,SPEAKER_03
200,1028.04,1031.52,SPEAKER_03
201,1034.45,1037.71,SPEAKER_03
202,1039.14,1042.59,SPEAKER_03
203,1047.14,1057.81,SPEAKER_02
204,1058.6,1059.16,SPEAKER_02
205,1060.98,1073.55,SPEAKER_02
206,1073.55,1084.35,SPEAKER_03
207,1084.35,1093.38,SPEAKER_00
208,1093.8,1094.21,SPEAKER_03
209,1094.21,1094.22,SPEAKER_00
210,1095.78,1095.79,SPEAKER_00
211,1095.79,1095.96,SPEAKER_03
212,1095.96,1098.86,SPEAKER_00
213,1098.86,1103.28,SPEAKER_03
214,1104.82,1105.73,SPEAKER_03
215,1105.82,1106.15,SPEAKER_03
216,1106.34,1109.39,SPEAKER_03
217,1110.96,1113.66,SPEAKER_03
218,1115.22,1115.96,SPEAKER_03
219,1118.34,1118.84,SPEAKER_03
220,1119.69,1120.11,SPEAKER_02
221,1120.92,1122.25,SPEAKER_03
222,1126.67,1130.18,SPEAKER_03
223,1133.14,1133.61,SPEAKER_02
224,1134.32,1137.39,SPEAKER_03
225,1138.82,1140.78,SPEAKER_03
226,1143.46,1148.07,SPEAKER_00
227,1148.56,1149.02,SPEAKER_03
228,1151.8,1152.64,SPEAKER_03
229,1152.64,1153.71,SPEAKER_00
230,1154.18,1156.04,SPEAKER_03
231,1156.76,1157.15,SPEAKER_03
232,1214.96,1215.03,SPEAKER_03
233,1217.21,1217.24,SPEAKER_03
234,1228.97,1237.93,SPEAKER_03
235,1238.98,1239.92,SPEAKER_00
236,1240.01,1240.04,SPEAKER_00
237,1240.04,1248.06,SPEAKER_03
238,1254.1,1254.11,SPEAKER_03
239,1257.07,1262.67,SPEAKER_03
240,1262.91,1265.12,SPEAKER_00
241,1265.27,1265.72,SPEAKER_00
242,1266.85,1266.97,SPEAKER_00
243,1267.34,1267.68,SPEAKER_00
244,1270.5,1272.88,SPEAKER_03
245,1272.93,1272.96,SPEAKER_03
