segment_id,start,end,speaker_id
0,4.38,11.51,SPEAKER_01
1,15.54,16.64,SPEAKER_01
2,16.64,23.88,SPEAKER_00
3,25.95,27.39,SPEAKER_04
4,29.16,29.46,SPEAKER_00
5,34.56,34.91,SPEAKER_00
6,39.45,40.43,SPEAKER_01
7,41.71,43.69,SPEAKER_01
8,45.49,54.98,SPEAKER_01
9,56.78,76.09,SPEAKER_01
10,78.58,91.46,SPEAKER_01
11,92.71,151.72,SPEAKER_01
12,155.1,163.97,SPEAKER_00
13,163.97,164.04,SPEAKER_01
14,164.04,164.16,SPEAKER_00
15,164.16,164.22,SPEAKER_01
16,166.22,166.23,SPEAKER_01
17,166.23,166.98,SPEAKER_00
18,166.98,167.03,SPEAKER_01
19,167.03,168.41,SPEAKER_00
20,174.97,183.02,SPEAKER_00
21,183.02,183.07,SPEAKER_01
22,183.07,183.09,SPEAKER_00
23,183.09,183.11,SPEAKER_01
24,183.11,183.41,SPEAKER_00
25,183.41,186.55,SPEAKER_01
26,186.55,187.01,SPEAKER_00
27,187.01,187.02,SPEAKER_01
28,187.02,187.53,SPEAKER_00
29,187.53,187.56,SPEAKER_01
30,187.56,190.87,SPEAKER_00
31,191.83,191.98,SPEAKER_00
32,192.71,193.25,SPEAKER_00
33,194.65,226.83,SPEAKER_00
34,227.35,227.88,SPEAKER_00
35,228.97,265.15,SPEAKER_00
36,266.86,314.56,SPEAKER_00
37,314.9,438.75,SPEAKER_00
38,438.76,439.62,SPEAKER_00
39,439.81,482.12,SPEAKER_00
40,482.59,513.06,SPEAKER_00
41,513.06,517.32,SPEAKER_01
42,517.32,523.26,SPEAKER_00
43,523.98,526.83,SPEAKER_01
44,529.23,540.0,SPEAKER_01
45,540.0,540.52,SPEAKER_04
46,540.52,543.03,SPEAKER_01
47,543.03,551.12,SPEAKER_00
48,556.3,556.37,SPEAKER_03
49,556.37,556.38,SPEAKER_04
50,556.38,598.86,SPEAKER_03
51,598.98,599.73,SPEAKER_03
52,599.99,651.37,SPEAKER_03
53,651.59,757.72,SPEAKER_03
54,760.32,791.03,SPEAKER_03
55,792.38,792.95,SPEAKER_01
56,792.99,793.0,SPEAKER_01
57,794.96,800.33,SPEAKER_01
58,800.33,805.69,SPEAKER_04
59,807.11,809.93,SPEAKER_04
60,810.13,818.62,SPEAKER_01
61,823.85,825.64,SPEAKER_04
62,855.56,857.2,SPEAKER_01
63,857.77,860.52,SPEAKER_04
64,861.16,867.9,SPEAKER_00
65,876.43,876.94,SPEAKER_02
66,879.42,879.66,SPEAKER_04
67,886.29,910.22,SPEAKER_04
68,911.92,950.16,SPEAKER_04
69,951.78,952.91,SPEAKER_04
70,955.73,969.84,SPEAKER_04
71,971.73,975.15,SPEAKER_04
72,977.06,986.04,SPEAKER_04
73,986.04,987.1,SPEAKER_01
74,987.1,1017.63,SPEAKER_04
75,1018.34,1026.37,SPEAKER_01
76,1031.92,1040.86,SPEAKER_01
77,1045.47,1112.36,SPEAKER_01
78,1112.75,1124.28,SPEAKER_01
79,1124.28,1128.02,SPEAKER_04
80,1128.02,1129.24,SPEAKER_01
81,1129.24,1130.03,SPEAKER_04
82,1130.03,1130.05,SPEAKER_01
83,1130.05,1130.12,SPEAKER_04
84,1130.12,1163.14,SPEAKER_01
85,1163.34,1172.07,SPEAKER_03
86,1173.38,1182.78,SPEAKER_04
87,1183.12,1232.8,SPEAKER_03
88,1233.49,1241.05,SPEAKER_01
89,1241.05,1241.31,SPEAKER_00
90,1241.68,1264.37,SPEAKER_00
91,1268.61,1353.19,SPEAKER_01
92,1353.71,1353.73,SPEAKER_03
93,1353.73,1353.74,SPEAKER_01
94,1353.74,1357.34,SPEAKER_03
95,1360.09,1385.13,SPEAKER_03
96,1385.74,1397.97,SPEAKER_03
97,1397.97,1398.02,SPEAKER_02
98,1398.02,1455.63,SPEAKER_03
99,1455.63,1480.04,SPEAKER_01
100,1480.04,1480.05,SPEAKER_03
101,1480.05,1480.31,SPEAKER_01
102,1480.39,1480.47,SPEAKER_03
103,1480.66,1487.19,SPEAKER_03
104,1487.44,1509.42,SPEAKER_01
