segment_id,start,end,speaker_id
0,11.81,36.46,SPEAKER_03
1,36.53,80.56,SPEAKER_03
2,80.56,80.59,SPEAKER_00
3,80.59,80.61,SPEAKER_03
4,80.61,80.85,SPEAKER_00
5,80.85,93.0,SPEAKER_03
6,94.87,95.78,SPEAKER_03
7,95.8,107.74,SPEAKER_03
8,108.27,111.37,SPEAKER_00
9,111.37,126.41,SPEAKER_03
10,126.41,126.54,SPEAKER_00
11,126.96,127.03,SPEAKER_00
12,127.22,128.33,SPEAKER_00
13,129.18,129.92,SPEAKER_03
14,130.78,131.34,SPEAKER_00
15,139.25,139.81,SPEAKER_03
16,140.87,142.68,SPEAKER_00
17,144.14,163.79,SPEAKER_00
18,165.09,181.81,SPEAKER_00
19,182.77,197.62,SPEAKER_00
20,199.53,212.27,SPEAKER_00
21,212.27,233.02,SPEAKER_03
22,233.02,234.9,SPEAKER_02
23,235.25,235.5,SPEAKER_02
24,236.04,239.28,SPEAKER_00
25,241.53,243.87,SPEAKER_00
26,244.01,245.33,SPEAKER_01
27,245.33,245.34,SPEAKER_00
28,245.61,246.29,SPEAKER_00
29,248.13,250.83,SPEAKER_00
30,251.94,255.42,SPEAKER_00
31,256.14,259.47,SPEAKER_03
32,259.52,261.9,SPEAKER_00
33,262.47,282.91,SPEAKER_00
34,282.91,286.32,SPEAKER_01
35,286.32,286.43,SPEAKER_00
36,286.43,286.45,SPEAKER_01
37,286.45,286.47,SPEAKER_00
38,286.47,287.78,SPEAKER_01
39,288.34,294.18,SPEAKER_00
40,294.5,302.8,SPEAKER_03
41,302.8,302.89,SPEAKER_00
42,302.89,310.23,SPEAKER_03
43,310.41,310.97,SPEAKER_00
44,313.75,328.98,SPEAKER_00
45,330.58,331.25,SPEAKER_00
46,333.23,347.91,SPEAKER_00
47,351.1,355.54,SPEAKER_00
48,356.18,359.72,SPEAKER_03
49,360.85,364.29,SPEAKER_00
50,365.02,365.1,SPEAKER_00
51,365.36,377.04,SPEAKER_00
52,377.37,377.56,SPEAKER_00
53,377.73,378.55,SPEAKER_00
54,379.9,380.88,SPEAKER_00
55,383.01,394.28,SPEAKER_00
56,395.94,418.36,SPEAKER_00
57,420.3,438.27,SPEAKER_00
58,439.78,440.42,SPEAKER_00
59,441.08,452.47,SPEAKER_03
60,452.58,453.02,SPEAKER_00
61,454.98,455.67,SPEAKER_00
62,457.63,458.37,SPEAKER_00
63,460.68,461.78,SPEAKER_00
64,463.13,465.75,SPEAKER_00
65,468.45,479.43,SPEAKER_03
66,479.43,482.03,SPEAKER_01
67,482.03,482.17,SPEAKER_03
68,482.17,482.39,SPEAKER_01
69,482.39,505.25,SPEAKER_03
70,506.06,506.18,SPEAKER_03
71,506.28,509.18,SPEAKER_03
72,509.18,509.76,SPEAKER_00
73,512.78,521.81,SPEAKER_01
74,522.24,532.4,SPEAKER_03
75,532.4,556.35,SPEAKER_00
76,557.04,557.6,SPEAKER_03
77,558.86,569.06,SPEAKER_00
78,569.61,573.14,SPEAKER_00
79,575.38,578.19,SPEAKER_00
80,580.45,584.21,SPEAKER_00
81,586.27,591.65,SPEAKER_03
82,595.16,603.92,SPEAKER_03
83,605.29,605.88,SPEAKER_00
84,607.48,617.49,SPEAKER_00
85,618.13,631.27,SPEAKER_00
86,633.33,635.97,SPEAKER_00
87,638.53,658.24,SPEAKER_03
88,658.24,667.03,SPEAKER_02
89,667.03,668.38,SPEAKER_01
90,669.33,677.56,SPEAKER_03
91,677.56,677.95,SPEAKER_02
