segment_id,start,end,speaker_id
0,0.03,2.04,SPEAKER_00
1,2.04,3.63,SPEAKER_03
2,17.02,22.02,SPEAKER_00
3,24.38,28.38,SPEAKER_00
4,34.24,41.22,SPEAKER_00
5,43.26,76.32,SPEAKER_00
6,77.62,87.04,SPEAKER_00
7,87.04,88.32,SPEAKER_01
8,89.18,91.88,SPEAKER_00
9,91.88,94.82,SPEAKER_01
10,96.76,180.24,SPEAKER_01
11,180.46,183.29,SPEAKER_00
12,183.29,188.81,SPEAKER_01
13,191.88,231.1,SPEAKER_01
14,232.52,242.31,SPEAKER_01
15,244.35,245.14,SPEAKER_01
16,245.71,254.27,SPEAKER_02
17,254.81,255.32,SPEAKER_01
18,255.32,255.64,SPEAKER_02
19,255.64,255.81,SPEAKER_01
20,255.81,255.84,SPEAKER_02
21,255.84,255.87,SPEAKER_01
22,255.87,257.75,SPEAKER_02
23,258.61,263.03,SPEAKER_02
24,263.03,289.12,SPEAKER_01
25,290.3,290.55,SPEAKER_01
26,291.6,294.58,SPEAKER_01
27,294.6,295.17,SPEAKER_01
28,295.17,295.46,SPEAKER_02
29,295.46,295.97,SPEAKER_01
30,295.97,296.02,SPEAKER_02
31,296.02,296.1,SPEAKER_01
32,298.08,300.61,SPEAKER_00
33,301.17,304.35,SPEAKER_03
34,304.35,307.49,SPEAKER_00
35,312.88,313.38,SPEAKER_00
36,322.11,322.83,SPEAKER_03
37,329.94,334.43,SPEAKER_03
38,336.18,340.03,SPEAKER_03
39,340.97,344.55,SPEAKER_03
40,345.97,360.78,SPEAKER_03
41,362.2,375.2,SPEAKER_03
42,378.76,378.89,SPEAKER_03
43,379.21,398.79,SPEAKER_03
44,400.39,403.41,SPEAKER_03
45,408.57,411.14,SPEAKER_03
46,414.6,437.99,SPEAKER_03
47,437.99,439.39,SPEAKER_01
48,439.39,439.49,SPEAKER_00
49,439.49,441.03,SPEAKER_03
50,441.03,441.26,SPEAKER_00
51,441.77,455.32,SPEAKER_00
52,455.32,460.52,SPEAKER_01
53,460.63,469.68,SPEAKER_03
54,471.74,472.87,SPEAKER_01
55,473.16,478.15,SPEAKER_03
56,478.3,494.99,SPEAKER_01
57,494.99,497.79,SPEAKER_03
58,497.79,507.55,SPEAKER_02
59,508.74,511.92,SPEAKER_02
60,511.92,513.62,SPEAKER_00
61,513.62,515.85,SPEAKER_02
62,515.85,521.91,SPEAKER_00
63,524.12,529.52,SPEAKER_00
64,530.26,530.73,SPEAKER_03
65,530.88,538.71,SPEAKER_00
66,541.8,547.96,SPEAKER_00
67,547.96,548.13,SPEAKER_03
68,548.13,554.9,SPEAKER_00
69,555.15,556.2,SPEAKER_03
70,558.86,606.82,SPEAKER_03
71,607.55,609.93,SPEAKER_00
72,613.03,614.26,SPEAKER_00
73,616.88,617.64,SPEAKER_00
74,619.8,686.96,SPEAKER_00
75,689.76,723.43,SPEAKER_00
76,725.18,746.23,SPEAKER_00
77,747.22,757.03,SPEAKER_01
78,757.5,758.26,SPEAKER_00
79,758.26,758.29,SPEAKER_01
80,758.36,759.81,SPEAKER_01
81,760.74,764.64,SPEAKER_00
82,764.64,764.89,SPEAKER_03
83,764.97,772.87,SPEAKER_03
84,773.97,783.47,SPEAKER_00
85,785.16,815.14,SPEAKER_00
86,816.88,854.8,SPEAKER_00
87,855.39,862.87,SPEAKER_03
88,864.54,899.4,SPEAKER_00
89,899.6,907.05,SPEAKER_03
90,907.05,907.59,SPEAKER_00
91,908.72,918.99,SPEAKER_03
92,919.7,923.52,SPEAKER_00
93,923.52,925.19,SPEAKER_02
94,926.18,927.45,SPEAKER_00
95,929.39,931.82,SPEAKER_00
96,932.63,932.97,SPEAKER_00
97,932.97,933.45,SPEAKER_03
98,933.45,933.62,SPEAKER_00
99,933.62,933.74,SPEAKER_03
100,933.74,933.98,SPEAKER_00
101,933.98,934.15,SPEAKER_03
102,934.15,934.2,SPEAKER_00
103,934.2,934.28,SPEAKER_03
104,934.28,934.32,SPEAKER_00
105,934.96,936.49,SPEAKER_00
106,938.38,942.04,SPEAKER_03
107,942.16,942.18,SPEAKER_03
108,942.18,942.43,SPEAKER_00
109,942.69,943.07,SPEAKER_03
110,943.14,944.49,SPEAKER_03
111,945.6,948.59,SPEAKER_00
112,949.65,953.03,SPEAKER_03
113,953.03,953.97,SPEAKER_00
114,953.97,954.03,SPEAKER_03
115,954.03,954.04,SPEAKER_00
116,954.04,955.97,SPEAKER_03
117,955.97,961.92,SPEAKER_00
118,963.91,967.83,SPEAKER_02
119,967.83,969.63,SPEAKER_00
120,969.79,970.51,SPEAKER_02
121,971.71,976.98,SPEAKER_00
122,976.98,988.11,SPEAKER_03
123,989.53,997.82,SPEAKER_00
124,998.46,1000.99,SPEAKER_02
125,1001.48,1004.9,SPEAKER_00
126,1007.23,1008.26,SPEAKER_00
127,1008.97,1009.04,SPEAKER_00
128,1009.32,1009.49,SPEAKER_00
129,1009.49,1011.79,SPEAKER_02
130,1011.79,1011.81,SPEAKER_01
131,1011.81,1011.84,SPEAKER_02
132,1011.84,1021.69,SPEAKER_01
133,1022.39,1024.07,SPEAKER_03
134,1024.92,1024.95,SPEAKER_03
135,1024.95,1025.31,SPEAKER_00
136,1027.2,1029.1,SPEAKER_00
137,1031.23,1037.46,SPEAKER_00
138,1037.66,1050.52,SPEAKER_03
139,1050.52,1060.88,SPEAKER_00
140,1061.01,1072.25,SPEAKER_00
141,1074.09,1083.29,SPEAKER_00
142,1084.38,1094.49,SPEAKER_01
143,1095.27,1105.6,SPEAKER_00
144,1105.65,1105.98,SPEAKER_00
145,1105.98,1111.23,SPEAKER_01
146,1111.23,1113.02,SPEAKER_02
147,1113.02,1121.02,SPEAKER_01
148,1121.44,1133.22,SPEAKER_03
149,1133.22,1135.2,SPEAKER_02
150,1135.45,1136.71,SPEAKER_03
151,1136.71,1149.66,SPEAKER_01
152,1149.66,1151.85,SPEAKER_00
153,1151.88,1170.51,SPEAKER_01
154,1171.31,1172.24,SPEAKER_00
155,1174.09,1182.65,SPEAKER_00
156,1183.29,1183.64,SPEAKER_01
157,1184.15,1190.78,SPEAKER_00
158,1192.11,1192.13,SPEAKER_00
159,1192.13,1192.17,SPEAKER_03
160,1192.17,1192.28,SPEAKER_00
161,1192.28,1195.96,SPEAKER_03
162,1196.86,1206.1,SPEAKER_00
163,1206.1,1206.15,SPEAKER_03
164,1206.15,1207.76,SPEAKER_00
165,1207.76,1215.35,SPEAKER_03
166,1215.35,1221.22,SPEAKER_01
167,1221.92,1223.94,SPEAKER_03
168,1223.94,1224.48,SPEAKER_01
169,1224.48,1225.46,SPEAKER_03
170,1225.56,1236.02,SPEAKER_01
171,1236.02,1236.72,SPEAKER_00
172,1236.72,1236.73,SPEAKER_01
173,1236.73,1238.47,SPEAKER_00
174,1239.13,1241.39,SPEAKER_03
175,1241.39,1243.01,SPEAKER_00
176,1243.21,1244.46,SPEAKER_03
177,1246.3,1250.74,SPEAKER_00
178,1250.86,1254.79,SPEAKER_03
179,1254.99,1263.68,SPEAKER_00
180,1263.75,1263.82,SPEAKER_00
181,1263.82,1264.04,SPEAKER_03
182,1264.04,1264.17,SPEAKER_00
183,1264.17,1264.26,SPEAKER_03
184,1264.26,1271.24,SPEAKER_00
185,1271.24,1273.05,SPEAKER_02
186,1273.79,1289.47,SPEAKER_00
187,1289.47,1290.23,SPEAKER_02
188,1290.23,1290.97,SPEAKER_00
189,1290.97,1291.51,SPEAKER_02
190,1293.5,1295.04,SPEAKER_02
191,1295.64,1297.33,SPEAKER_03
192,1298.01,1307.47,SPEAKER_00
193,1307.47,1307.49,SPEAKER_01
194,1307.49,1307.52,SPEAKER_00
195,1307.52,1308.54,SPEAKER_01
196,1308.54,1308.89,SPEAKER_00
197,1308.89,1314.73,SPEAKER_01
198,1314.73,1314.96,SPEAKER_00
199,1314.96,1321.14,SPEAKER_01
200,1321.14,1323.1,SPEAKER_03
201,1324.47,1324.48,SPEAKER_01
202,1324.48,1331.03,SPEAKER_00
203,1331.2,1331.28,SPEAKER_00
204,1331.42,1339.65,SPEAKER_00
205,1341.34,1341.83,SPEAKER_01
206,1342.13,1349.64,SPEAKER_00
207,1349.64,1353.32,SPEAKER_03
208,1353.32,1353.39,SPEAKER_00
209,1353.41,1353.46,SPEAKER_00
210,1353.64,1353.74,SPEAKER_00
211,1353.76,1361.52,SPEAKER_00
212,1361.52,1362.94,SPEAKER_02
213,1363.85,1371.34,SPEAKER_03
214,1371.55,1372.46,SPEAKER_03
215,1372.8,1372.93,SPEAKER_03
216,1372.93,1372.96,SPEAKER_01
217,1372.96,1376.96,SPEAKER_03
218,1376.96,1377.08,SPEAKER_01
219,1377.08,1377.28,SPEAKER_03
220,1377.28,1377.4,SPEAKER_01
221,1377.4,1377.93,SPEAKER_03
222,1377.93,1378.31,SPEAKER_01
223,1378.31,1378.43,SPEAKER_03
224,1378.43,1389.37,SPEAKER_01
225,1389.57,1389.89,SPEAKER_01
226,1390.11,1395.29,SPEAKER_03
227,1395.59,1395.63,SPEAKER_03
228,1395.63,1395.66,SPEAKER_00
229,1395.66,1395.73,SPEAKER_01
230,1395.73,1395.85,SPEAKER_00
231,1395.85,1395.96,SPEAKER_01
232,1395.96,1396.03,SPEAKER_00
233,1396.03,1396.88,SPEAKER_01
234,1396.88,1396.91,SPEAKER_00
235,1396.91,1399.27,SPEAKER_03
236,1399.69,1400.98,SPEAKER_00
237,1400.98,1416.33,SPEAKER_03
238,1418.43,1418.76,SPEAKER_00
239,1418.76,1420.35,SPEAKER_01
240,1420.35,1428.42,SPEAKER_03
241,1428.42,1434.96,SPEAKER_02
242,1436.06,1440.65,SPEAKER_03
243,1440.65,1440.8,SPEAKER_02
244,1440.8,1440.82,SPEAKER_03
245,1441.85,1449.04,SPEAKER_03
246,1449.88,1454.76,SPEAKER_03
247,1454.76,1454.79,SPEAKER_01
248,1455.47,1458.05,SPEAKER_01
249,1458.22,1458.23,SPEAKER_01
250,1458.23,1458.66,SPEAKER_03
251,1458.66,1458.71,SPEAKER_01
252,1458.98,1467.84,SPEAKER_01
253,1469.52,1471.8,SPEAKER_01
254,1472.19,1479.46,SPEAKER_03
255,1479.83,1483.88,SPEAKER_03
256,1484.59,1485.98,SPEAKER_01
257,1485.98,1487.36,SPEAKER_03
258,1489.91,1492.02,SPEAKER_00
259,1492.2,1492.29,SPEAKER_00
260,1492.29,1494.97,SPEAKER_03
261,1494.97,1495.36,SPEAKER_00
262,1495.36,1497.08,SPEAKER_03
263,1497.08,1505.43,SPEAKER_00
264,1505.55,1505.57,SPEAKER_00
265,1505.57,1505.8,SPEAKER_03
266,1505.8,1506.43,SPEAKER_00
267,1507.09,1512.6,SPEAKER_00
268,1512.6,1512.79,SPEAKER_03
269,1512.79,1512.98,SPEAKER_00
270,1512.98,1514.19,SPEAKER_03
271,1514.19,1514.22,SPEAKER_00
272,1514.22,1514.28,SPEAKER_03
273,1514.66,1515.32,SPEAKER_02
274,1515.71,1515.9,SPEAKER_02
275,1515.96,1519.81,SPEAKER_02
276,1520.28,1533.26,SPEAKER_03
277,1533.26,1534.1,SPEAKER_02
278,1534.1,1546.49,SPEAKER_01
279,1546.86,1551.52,SPEAKER_03
280,1551.52,1558.02,SPEAKER_02
281,1558.47,1564.71,SPEAKER_00
282,1564.71,1564.85,SPEAKER_02
283,1564.85,1568.22,SPEAKER_00
284,1568.22,1570.23,SPEAKER_03
285,1570.44,1570.49,SPEAKER_03
286,1570.49,1570.74,SPEAKER_00
287,1570.74,1570.76,SPEAKER_03
288,1570.76,1570.79,SPEAKER_00
289,1570.79,1570.81,SPEAKER_03
290,1573.56,1579.29,SPEAKER_03
291,1579.73,1581.42,SPEAKER_00
292,1581.42,1583.36,SPEAKER_01
293,1584.17,1585.2,SPEAKER_03
294,1585.2,1585.94,SPEAKER_01
295,1585.94,1588.34,SPEAKER_03
296,1588.34,1588.41,SPEAKER_01
297,1588.41,1588.59,SPEAKER_03
298,1588.59,1588.69,SPEAKER_01
299,1589.69,1595.04,SPEAKER_01
300,1595.04,1595.34,SPEAKER_03
301,1595.34,1595.97,SPEAKER_01
302,1595.97,1599.06,SPEAKER_03
303,1599.06,1600.27,SPEAKER_00
304,1600.27,1600.83,SPEAKER_03
305,1600.83,1601.01,SPEAKER_00
306,1601.01,1601.03,SPEAKER_03
