segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.370025,0.000172,0.617508,0.012295
1,0.938164,2.6e-05,0.04914,0.012669
2,0.418384,0.019834,0.01964,0.542142
3,0.571042,0.000173,0.057751,0.371034
4,0.38312,0.001581,0.035209,0.58009
5,0.728876,0.000468,0.008473,0.262182
6,0.633473,1.2e-05,0.00517,0.361344
7,0.19403,0.000496,0.003904,0.80157
8,0.961951,0.000565,0.000773,0.03671
9,0.970296,0.000414,0.004075,0.025215
10,0.433961,0.000193,0.022494,0.543351
11,0.119499,0.000381,0.001303,0.878818
12,0.315731,0.000422,0.000244,0.683603
13,0.209355,1.9e-05,0.000239,0.790388
14,0.813084,9e-06,8.5e-05,0.186823
15,0.724466,8.8e-05,0.001094,0.274352
16,0.493776,5.9e-05,0.001259,0.504907
17,0.209571,9.1e-05,0.000256,0.790082
18,0.384477,0.001179,0.000715,0.613629
19,0.228203,0.000173,0.003765,0.767858
20,0.473814,1.4e-05,0.017592,0.50858
21,0.20456,9.1e-05,0.018804,0.776545
22,0.983074,4e-06,0.000329,0.016593
23,0.690441,6e-06,0.000322,0.309231
24,0.172821,0.000121,0.00026,0.826798
25,0.234735,0.000353,0.001876,0.763036
26,0.586986,2.3e-05,0.010421,0.40257
27,0.88333,0.000238,0.002478,0.113953
28,0.301469,0.013828,0.003148,0.681554
29,0.64385,0.154231,0.017962,0.183957
30,0.558044,0.001359,0.108877,0.331721
31,0.346108,0.009009,0.068515,0.576369
32,0.174002,0.000134,0.000562,0.825302
33,0.243672,8e-06,0.000209,0.756111
34,0.322168,9e-06,0.000363,0.67746
35,0.323087,3.1e-05,0.000264,0.676618
36,0.314871,0.000178,3.9e-05,0.684912
37,0.363173,0.000111,0.006168,0.630548
38,0.589181,3.9e-05,0.016895,0.393884
39,0.605797,3.1e-05,0.000565,0.393607
40,0.731926,0.000458,0.000177,0.267439
41,0.338052,0.00015,0.000395,0.661404
42,0.072022,0.000312,0.000183,0.927483
43,0.588368,0.000104,0.000182,0.411346
44,0.057126,0.000281,0.000253,0.94234
45,0.110726,2.4e-05,0.000459,0.88879
46,0.044885,2.1e-05,0.496489,0.458605
47,0.105564,0.001302,0.000804,0.892331
48,0.87485,0.000528,0.000162,0.12446
49,0.608029,0.001027,0.000505,0.39044
50,0.610332,0.000237,0.000275,0.389156
51,0.204018,0.000217,0.004287,0.791477
52,0.263966,0.00105,0.002124,0.73286
53,0.164741,0.00052,0.000915,0.833825
54,0.243006,0.001182,0.002484,0.753329
55,0.773502,6.3e-05,0.001228,0.225207
56,0.953905,0.000305,0.001949,0.04384
57,0.940974,0.000111,0.001106,0.057809
58,0.550213,4.1e-05,0.000335,0.449411
59,0.159147,0.000244,0.000798,0.839811
60,0.330418,0.000601,0.00126,0.667721
61,0.662247,0.000749,0.000272,0.336731
62,0.664545,0.000649,0.00041,0.334397
63,0.987333,1.7e-05,9.6e-05,0.012554
64,0.79486,2.4e-05,0.076414,0.128701
65,0.765294,0.000435,0.089478,0.144793
66,0.40925,1.5e-05,0.002977,0.587759
67,0.297403,1.8e-05,5.1e-05,0.702529
68,0.366728,1.6e-05,0.000158,0.633099
69,0.273411,3e-06,0.000979,0.725607
70,0.492483,2.3e-05,0.019574,0.48792
71,0.296672,0.000185,0.027507,0.675637
72,0.446547,4.3e-05,0.059343,0.494066
73,0.423896,7e-05,0.245413,0.330621
74,0.631288,0.000218,0.156208,0.212285
75,0.398489,8.7e-05,0.345031,0.256393
76,0.31767,4.8e-05,0.424484,0.257798
77,0.518545,1e-06,0.02197,0.459483
78,0.751247,0.000483,0.024177,0.224093
79,0.160487,7.4e-05,0.441647,0.397792
80,0.756162,0.000229,0.088054,0.155554
81,0.865949,0.000112,0.046966,0.086973
82,0.897924,8.2e-05,0.076229,0.025765
83,0.696353,8.1e-05,0.281554,0.022012
84,0.565165,0.000896,0.332853,0.101086
85,0.549259,0.000192,0.083046,0.367503
86,0.176655,9.4e-05,0.007333,0.815919
87,0.17827,0.000481,0.013313,0.807936
88,0.789289,0.010264,0.037327,0.163119
89,0.470292,0.0019,0.010968,0.516841
90,0.31482,4.4e-05,0.006764,0.678371
91,0.770525,8.6e-05,0.001161,0.228228
92,0.481815,0.004286,0.000251,0.513648
93,0.74085,0.000591,8.2e-05,0.258477
94,0.889022,0.002104,0.002192,0.106683
95,0.250967,0.003816,0.280572,0.464645
96,0.625896,0.000383,0.008559,0.365162
97,0.736347,6.9e-05,0.089852,0.173732
98,0.785148,3.7e-05,0.036637,0.178177
99,0.930627,0.030805,0.000457,0.038111
100,0.995324,0.000518,0.000109,0.004049
101,0.61627,0.008394,0.123982,0.251354
102,0.807645,0.001354,0.046867,0.144134
103,0.921525,0.000684,0.029875,0.047916
104,0.794921,0.000701,0.069954,0.134424
105,0.718408,0.001442,0.011502,0.268647
106,0.763104,7.6e-05,0.009888,0.226932
107,0.439107,0.000279,0.064868,0.495746
108,0.277881,3e-06,0.093051,0.629065
109,0.818602,1.2e-05,0.131113,0.050273
110,0.952662,1.1e-05,0.003698,0.043629
111,0.638882,0.004067,0.248699,0.108351
112,0.791642,0.0135,0.01118,0.183678
113,0.970476,0.001589,0.000993,0.026942
114,0.962832,0.0006,0.005666,0.030902
115,0.477635,0.002385,0.304545,0.215434
116,0.084195,0.001096,0.667083,0.247626
117,0.806223,0.000128,0.044198,0.149451
118,0.300345,0.00809,0.049405,0.64216
119,0.60222,0.000588,0.005973,0.39122
120,0.425067,0.001096,0.007389,0.566449
121,0.824451,0.000616,0.00109,0.173842
122,0.5855,8.3e-05,0.002213,0.412204
123,0.483998,5e-05,0.005678,0.510274
124,0.356086,3.2e-05,0.001199,0.642683
125,0.501678,1.9e-05,0.003737,0.494567
126,0.82343,8.9e-05,0.018427,0.158054
127,0.295109,0.000277,0.015029,0.689584
128,0.28644,0.002401,0.022335,0.688824
129,0.414646,0.000243,0.042964,0.542147
130,0.402632,5.1e-05,0.009083,0.588235
131,0.299487,0.016448,0.019832,0.664233
132,0.736478,0.001608,0.077955,0.183959
133,0.97325,0.000174,0.000121,0.026456
134,0.793824,0.000891,0.019267,0.186018
135,0.134176,0.00708,0.061432,0.797311
136,0.17368,0.000267,0.001351,0.824702
137,0.92927,2.4e-05,0.01013,0.060577
138,0.802229,6.3e-05,0.00078,0.196928
139,0.565548,2.5e-05,5e-05,0.434377
140,0.169524,0.001484,0.000265,0.828727
141,0.223595,0.015524,0.000925,0.759955
142,0.485667,0.003962,0.000588,0.509784
143,0.814986,0.000159,0.000101,0.184754
144,0.920293,3e-06,2.4e-05,0.079679
145,0.706582,1.2e-05,5.2e-05,0.293354
146,0.201168,2.4e-05,0.005368,0.79344
147,0.361842,0.000619,0.00283,0.634709
148,0.747186,0.001179,0.001061,0.250575
149,0.649312,0.0008,0.000344,0.349544
150,0.868717,0.005477,0.003017,0.122789
151,0.817869,0.000545,0.001449,0.180137
152,0.241322,0.000106,0.089665,0.668906
153,0.696542,0.000307,0.009847,0.293304
