segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.339704,4e-06,0.357784,0.302508
1,0.52362,0.000919,0.010762,0.464699
2,0.445196,0.000151,0.008895,0.545759
3,0.041026,4.9e-05,0.001361,0.957564
4,0.123555,0.001252,0.003762,0.87143
5,0.150345,5.8e-05,0.000298,0.849299
6,0.126184,3.1e-05,0.000121,0.873665
7,0.096129,8.5e-05,0.000355,0.903432
8,0.240898,1.9e-05,0.00167,0.757413
9,0.061998,7.5e-05,0.000671,0.937256
10,0.324805,0.000162,0.000231,0.674802
11,0.06273,0.00036,0.001842,0.935068
12,0.062505,3.1e-05,0.002719,0.934746
13,0.710563,2e-05,0.016273,0.273144
14,0.366437,0.00012,0.000164,0.633279
15,0.204284,0.000275,0.000582,0.794859
16,0.234179,0.000272,0.002685,0.762863
17,0.456895,8e-05,0.007752,0.535273
18,0.032778,6e-06,0.000596,0.96662
19,0.022516,0.000106,6.4e-05,0.977314
20,0.303861,0.000376,0.002002,0.693761
21,0.925195,7e-06,0.000636,0.074162
22,0.758446,9e-06,0.004219,0.237326
23,0.558986,0.000171,0.001172,0.439672
24,0.075233,0.00082,0.000131,0.923816
25,0.08384,0.000233,0.000299,0.915627
26,0.032982,5.2e-05,0.000268,0.966698
27,0.015131,0.000162,3.2e-05,0.984675
28,0.050709,0.000318,0.000138,0.948834
29,0.265134,0.000169,0.000958,0.733739
30,0.247731,9.9e-05,0.00064,0.75153
31,0.33565,0.000154,0.000547,0.663649
32,0.166765,5.9e-05,0.000269,0.832908
33,0.046293,1.4e-05,5.6e-05,0.953637
34,0.47436,2.5e-05,0.005443,0.520173
35,0.592957,7.9e-05,0.003018,0.403945
36,0.263366,0.000289,0.014084,0.722262
37,0.504315,0.00045,0.038795,0.456441
38,0.26498,4.5e-05,0.000128,0.734847
39,0.274567,0.000126,0.001463,0.723844
40,0.108298,0.001378,0.00118,0.889144
41,0.258125,0.000489,0.000528,0.740858
42,0.702092,0.000445,0.033803,0.263661
