segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.012813,0.058551,0.009418,0.919217
1,0.005756,0.005172,0.0062,0.982873
2,0.007648,0.024639,0.008173,0.959541
3,0.009717,0.005762,0.002856,0.981665
4,0.132407,0.019853,0.060959,0.786781
5,0.122543,0.00902,0.01683,0.851608
6,0.033103,0.004783,0.011012,0.951102
7,0.073142,0.008006,0.015176,0.903676
8,0.00554,0.009617,0.005701,0.979142
9,0.048444,0.020065,0.041235,0.890256
10,0.071871,0.018672,0.019315,0.890142
11,0.034561,0.040922,0.052451,0.872066
12,0.030126,0.048034,0.120786,0.801054
13,0.013799,0.026143,0.00868,0.951377
14,0.012793,0.061635,0.010073,0.915498
15,0.003942,0.012144,0.004818,0.979096
16,0.004377,0.007826,0.108197,0.8796
17,0.073045,0.028648,0.055956,0.842352
18,0.006119,0.006838,0.011128,0.975915
19,0.005522,0.004996,0.003997,0.985484
20,0.005256,0.012284,0.005159,0.977301
21,0.100108,0.024949,0.155871,0.719072
22,0.009997,0.007822,0.012043,0.970138
23,0.006281,0.017921,0.471936,0.503862
24,0.009223,0.013948,0.401002,0.575826
25,0.018081,0.020604,0.081491,0.879823
26,0.016642,0.011704,0.034689,0.936964
27,0.407359,0.012922,0.007158,0.572561
28,0.01343,0.008271,0.011379,0.96692
29,0.005595,0.005646,0.005768,0.982991
30,0.011557,0.011529,0.014418,0.962497
31,0.026724,0.014548,0.01735,0.941378
32,0.225241,0.004003,0.015489,0.755267
33,0.009114,0.003712,0.008397,0.978776
34,0.004222,0.007465,0.00893,0.979382
35,0.015683,0.002202,0.018107,0.964007
36,0.004094,0.004891,0.010526,0.980489
37,0.005151,0.007589,0.021844,0.965416
38,0.011693,0.011855,0.004292,0.97216
39,0.112425,0.052502,0.027398,0.807676
40,0.683018,0.014545,0.006338,0.296098
41,0.023266,0.056615,0.003689,0.91643
42,0.012516,0.059493,0.012682,0.915309
43,0.009308,0.00465,0.007291,0.978751
44,0.024536,0.003494,0.014175,0.957795
45,0.008787,0.003638,0.010236,0.977339
46,0.01081,0.003534,0.01057,0.975087
47,0.016241,0.015042,0.021695,0.947021
48,0.006086,0.004967,0.005915,0.983032
49,0.03836,0.028483,0.146172,0.786985
50,0.019944,0.035579,0.331865,0.612612
51,0.016173,0.010275,0.015941,0.95761
52,0.010917,0.016912,0.013922,0.958248
53,0.005558,0.00705,0.010564,0.976828
54,0.008848,0.005587,0.012329,0.973236
55,0.003842,0.006369,0.003978,0.985811
56,0.015707,0.013913,0.012093,0.958287
57,0.018588,0.017576,0.0559,0.907936
58,0.006868,0.008671,0.007357,0.977104
59,0.002217,0.031241,0.463038,0.503504
60,0.004829,0.008278,0.00791,0.978984
61,0.018054,0.008886,0.023071,0.94999
62,0.01681,0.005128,0.011123,0.966939
63,0.004185,0.013213,0.06862,0.913982
64,0.007672,0.017675,0.514653,0.46
65,0.004352,0.011546,0.538471,0.445631
66,0.005019,0.013618,0.03042,0.950944
67,0.044355,0.017098,0.007757,0.930789
68,0.004638,0.032104,0.279905,0.683353
69,0.004241,0.02625,0.121243,0.848265
70,0.003895,0.007566,0.011152,0.977387
71,0.003205,0.011731,0.003719,0.981345
72,0.005315,0.075593,0.011713,0.907379
73,0.003558,0.008028,0.00321,0.985204
74,0.004226,0.013501,0.008554,0.973719
75,0.012688,0.020552,0.016392,0.950368
76,0.003368,0.007968,0.006426,0.982238
77,0.004168,0.009002,0.097736,0.889094
78,0.023014,0.005992,0.004891,0.966103
79,0.014585,0.005905,0.010431,0.969079
80,0.004309,0.005262,0.006268,0.984161
81,0.00435,0.012619,0.027577,0.955454
82,0.003879,0.025337,0.006195,0.964589
83,0.003148,0.034538,0.003431,0.958883
84,0.003479,0.004137,0.006503,0.985881
85,0.012892,0.013701,0.032052,0.941356
86,0.015559,0.007576,0.022612,0.954253
87,0.005595,0.012261,0.007505,0.974639
88,0.005272,0.018508,0.00654,0.969681
89,0.003467,0.031811,0.0081,0.956623
90,0.007592,0.015532,0.019128,0.957747
91,0.034476,0.017971,0.012208,0.935346
92,0.003543,0.028523,0.004828,0.963106
93,0.003405,0.012264,0.004385,0.979945
94,0.012208,0.047779,0.051591,0.888422
95,0.00289,0.004784,0.005235,0.987092
96,0.003212,0.005172,0.00322,0.988396
97,0.007222,0.024458,0.013951,0.954369
98,0.02939,0.070623,0.029137,0.87085
99,0.008328,0.008306,0.017465,0.9659
100,0.012164,0.007982,0.027539,0.952316
101,0.016214,0.04748,0.003097,0.933209
102,0.006614,0.011778,0.004632,0.976977
103,0.002587,0.021111,0.005981,0.970321
104,0.002747,0.015465,0.003746,0.978042
105,0.012914,0.014096,0.0095,0.963489
106,0.016437,0.05344,0.008202,0.921921
107,0.006768,0.010476,0.006433,0.976323
108,0.012623,0.007545,0.014898,0.964934
109,0.005945,0.012735,0.011304,0.970017
110,0.010979,0.009285,0.006754,0.972982
111,0.004036,0.0108,0.004764,0.9804
112,0.007158,0.015806,0.012039,0.964997
113,0.148714,0.071048,0.063435,0.716803
114,0.09433,0.023904,0.025807,0.85596
115,0.473681,0.004821,0.015466,0.506032
116,0.670044,0.007026,0.012978,0.309951
117,0.006693,0.015153,0.019448,0.958706
118,0.007861,0.027531,0.035034,0.929573
119,0.003429,0.010017,0.009148,0.977406
120,0.011448,0.010492,0.006939,0.971121
121,0.017793,0.006727,0.016824,0.958656
122,0.009411,0.007845,0.005576,0.977168
123,0.002983,0.022707,0.005823,0.968487
124,0.002907,0.011354,0.004997,0.980742
125,0.01258,0.023532,0.381836,0.582053
126,0.015229,0.014598,0.009719,0.960455
127,0.002364,0.008663,0.004292,0.984681
128,0.008351,0.006535,0.003768,0.981347
129,0.00763,0.008256,0.005421,0.978694
130,0.018272,0.007518,0.005302,0.968908
131,0.00252,0.181761,0.123398,0.692321
132,0.003963,0.085412,0.357087,0.553538
133,0.003965,0.007471,0.00255,0.986014
134,0.003554,0.011901,0.009858,0.974687
135,0.003303,0.006002,0.005361,0.985334
136,0.006178,0.020893,0.012756,0.960173
137,0.015163,0.007348,0.007218,0.97027
138,0.005055,0.006468,0.00503,0.983446
139,0.010358,0.008378,0.01007,0.971194
140,0.002457,0.010827,0.035056,0.951659
141,0.004006,0.015823,0.013648,0.966523
142,0.005547,0.056761,0.011843,0.925848
143,0.005288,0.052093,0.010263,0.932356
144,0.003623,0.020194,0.008838,0.967346
145,0.004734,0.020076,0.009561,0.965629
146,0.003053,0.014947,0.011066,0.970934
147,0.007042,0.023052,0.013895,0.956012
148,0.028566,0.007377,0.013717,0.950339
149,0.024177,0.023863,0.007465,0.944495
150,0.010653,0.106184,0.00805,0.875114
151,0.022004,0.201334,0.014289,0.762374
152,0.007762,0.00662,0.009894,0.975724
153,0.010472,0.012754,0.153611,0.823163
154,0.003741,0.005495,0.008685,0.982079
155,0.004465,0.006149,0.006819,0.982568
156,0.002549,0.021992,0.006486,0.968972
157,0.00713,0.005425,0.003117,0.984328
158,0.002849,0.016652,0.005568,0.974931
159,0.007573,0.006441,0.011703,0.974283
160,0.002109,0.011992,0.011625,0.974274
161,0.003588,0.036336,0.005742,0.954334
162,0.001767,0.084297,0.014965,0.898971
163,0.011222,0.128781,0.012709,0.847288
164,0.003191,0.036813,0.007647,0.952348
165,0.015947,0.006407,0.018984,0.958662
166,0.003165,0.01772,0.022098,0.957016
167,0.004068,0.036402,0.01487,0.944659
168,0.00511,0.028118,0.014076,0.952696
169,0.013129,0.007035,0.015866,0.96397
170,0.010706,0.008618,0.010037,0.970638
171,0.017574,0.005669,0.016983,0.959774
172,0.019766,0.006614,0.007632,0.965987
173,0.013541,0.008257,0.00751,0.970692
174,0.00351,0.04031,0.008785,0.947395
175,0.002752,0.016341,0.018519,0.962388
176,0.001986,0.012774,0.006035,0.979205
177,0.004663,0.011393,0.009839,0.974105
178,0.004348,0.006742,0.012003,0.976907
179,0.004499,0.00848,0.005672,0.981349
180,0.00581,0.015235,0.00654,0.972415
181,0.003322,0.012242,0.007496,0.97694
182,0.007353,0.031884,0.007393,0.953371
183,0.006405,0.007917,0.003438,0.982241
184,0.004353,0.007568,0.003991,0.984088
185,0.002567,0.005291,0.004865,0.987277
186,0.002148,0.008382,0.0077,0.981771
187,0.001479,0.006674,0.013347,0.9785
188,0.003031,0.144447,0.016152,0.836369
189,0.006007,0.015145,0.006566,0.972282
190,0.013597,0.006408,0.019827,0.960167
191,0.013149,0.02831,0.008584,0.949957
192,0.023912,0.059044,0.010339,0.906705
193,0.021244,0.010438,0.005453,0.962865
194,0.048659,0.005521,0.032494,0.913325
195,0.021304,0.005945,0.004034,0.968718
196,0.021485,0.016299,0.019646,0.942571
197,0.017934,0.010125,0.022663,0.949278
198,0.011957,0.010883,0.007949,0.969211
199,0.010091,0.019885,0.004912,0.965112
200,0.01757,0.021419,0.012887,0.948124
201,0.001493,0.028745,0.010453,0.959308
202,0.003066,0.082223,0.006885,0.907825
203,0.023851,0.017433,0.00476,0.953956
204,0.014173,0.004847,0.006111,0.974869
205,0.008682,0.010332,0.023864,0.957122
206,0.003522,0.013124,0.012009,0.971345
207,0.003552,0.026012,0.024997,0.945438
208,0.003382,0.023394,0.01723,0.955994
209,0.006982,0.0156,0.004379,0.973039
210,0.008929,0.009693,0.006127,0.975251
211,0.005748,0.005673,0.010267,0.978312
212,0.012833,0.035494,0.005958,0.945714
213,0.001641,0.023787,0.006402,0.96817
214,0.018065,0.023983,0.01208,0.945873
215,0.001628,0.012653,0.008161,0.977558
216,0.004105,0.007666,0.006849,0.98138
217,0.00483,0.010305,0.017944,0.966921
218,0.007733,0.0177,0.028957,0.945611
219,0.009436,0.061634,0.011825,0.917105
220,0.005731,0.023985,0.014631,0.955653
221,0.006235,0.024416,0.015609,0.95374
222,0.004013,0.006686,0.009088,0.980213
223,0.006552,0.004065,0.006572,0.982811
224,0.00296,0.009528,0.00314,0.984373
225,0.011092,0.105481,0.024914,0.858513
226,0.002648,0.007028,0.004115,0.986209
227,0.003797,0.010382,0.004514,0.981307
228,0.004778,0.018928,0.004762,0.971533
229,0.004005,0.025187,0.004468,0.96634
230,0.010367,0.013724,0.011152,0.964757
231,0.006682,0.004444,0.008107,0.980767
232,0.023188,0.01892,0.01091,0.946982
233,0.007068,0.014886,0.014275,0.96377
234,0.003427,0.013607,0.016667,0.966299
235,0.007126,0.023353,0.006818,0.962703
236,0.015399,0.00874,0.003155,0.972706
237,0.017019,0.004392,0.006062,0.972527
238,0.014203,0.004744,0.011144,0.969909
239,0.002891,0.007064,0.012476,0.977569
240,0.007152,0.015686,0.067251,0.909911
241,0.007786,0.078134,0.038951,0.875129
242,0.003974,0.070093,0.013089,0.912844
243,0.008792,0.181467,0.025406,0.784335
244,0.005795,0.170321,0.008691,0.815193
245,0.057602,0.025082,0.003373,0.913944
246,0.031397,0.005338,0.007233,0.956032
247,0.009781,0.007271,0.029533,0.953416
248,0.012711,0.012835,0.289062,0.685392
249,0.020121,0.036541,0.055891,0.887447
250,0.070533,0.00701,0.031725,0.890733
251,0.002973,0.008747,0.002336,0.985944
252,0.006203,0.007442,0.008629,0.977726
253,0.023277,0.003866,0.01072,0.962137
254,0.039841,0.011899,0.007337,0.940923
255,0.015401,0.100594,0.009717,0.874287
256,0.007059,0.022567,0.010582,0.959792
257,0.011214,0.014968,0.016092,0.957726
258,0.02998,0.016792,0.035926,0.917302
259,0.008274,0.020283,0.493179,0.478265
260,0.001764,0.022584,0.004337,0.971315
261,0.00435,0.022078,0.039131,0.934441
262,0.002655,0.005477,0.050016,0.941852
263,0.006143,0.021682,0.010266,0.961909
264,0.010437,0.011557,0.012745,0.965261
265,0.716992,0.014294,0.007758,0.260957
