segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.377497,0.001797,0.494237,0.126469
1,0.659116,0.025849,0.019822,0.295213
2,0.101097,0.020605,0.003374,0.874924
3,0.189301,0.04573,0.011398,0.753571
4,0.210602,0.02312,0.001705,0.764572
5,0.477144,0.185312,0.006722,0.330822
6,0.288344,0.004573,0.007407,0.699676
7,0.547737,0.008842,0.056417,0.387003
8,0.395184,0.019429,0.030743,0.554644
9,0.333551,0.021019,0.028497,0.616933
10,0.174793,0.000426,0.241843,0.582938
11,0.144148,0.000716,0.015608,0.839529
12,0.427502,0.009651,0.010161,0.552686
13,0.103444,0.000326,0.014543,0.881686
14,0.085737,0.00085,0.00659,0.906824
15,0.319284,0.027489,0.006908,0.646319
16,0.072242,0.019987,0.005935,0.901837
17,0.092585,0.000814,0.00488,0.901722
18,0.067318,9.7e-05,0.001621,0.930964
19,0.209091,0.00157,0.021735,0.767604
20,0.056105,0.006217,0.005316,0.932362
21,0.04625,0.087024,0.003308,0.863417
22,0.085492,0.007622,0.007847,0.899039
23,0.030707,0.000626,0.00385,0.964816
24,0.048931,0.008246,0.006181,0.936642
25,0.019518,0.003352,0.00608,0.97105
26,0.031861,0.002117,0.001897,0.964125
27,0.122539,0.001926,0.000493,0.875042
28,0.058431,0.000881,0.001781,0.938907
29,0.190235,0.015442,0.000274,0.794049
30,0.351326,0.00221,0.000168,0.646295
31,0.138539,0.000336,0.001163,0.859962
32,0.076523,0.001668,0.008805,0.913004
33,0.657106,0.019968,0.103209,0.219717
34,0.751518,0.005001,0.031721,0.211759
35,0.275161,0.009024,0.003218,0.712597
36,0.077887,0.020594,0.002094,0.899425
37,0.200202,0.016841,0.003997,0.778961
38,0.209282,0.013469,0.00024,0.777009
39,0.086763,0.003365,9.9e-05,0.909773
40,0.108051,0.001962,0.002563,0.887424
41,0.379731,0.044221,0.007512,0.568536
42,0.08257,0.000377,0.002105,0.914948
43,0.070639,0.000471,0.006158,0.922732
44,0.300832,0.042524,0.000721,0.655924
45,0.205285,0.004981,0.004871,0.784864
46,0.044625,0.000345,0.002851,0.952179
47,0.057998,0.000248,0.002721,0.939032
48,0.451887,0.006542,0.001513,0.540058
49,0.336017,0.000391,0.000995,0.662597
50,0.83763,0.001164,0.001945,0.15926
51,0.15828,0.006296,0.000312,0.835112
52,0.13511,0.000417,0.000278,0.864195
53,0.598119,0.001049,0.007301,0.39353
54,0.433038,0.018567,0.000644,0.54775
55,0.149512,0.000894,0.00093,0.848664
56,0.109514,0.000334,0.011742,0.878411
57,0.164874,0.00863,0.001993,0.824503
58,0.106692,0.013988,0.000464,0.878856
59,0.424128,0.030972,0.00312,0.54178
60,0.119182,0.094462,0.005922,0.780434
61,0.160094,0.166235,0.01666,0.657011
62,0.317546,0.005062,0.011615,0.665776
63,0.066363,0.000811,0.002693,0.930134
64,0.056475,0.069786,0.005124,0.868614
65,0.084755,0.024171,0.004564,0.88651
66,0.152371,0.011457,0.000647,0.835526
67,0.363064,0.022005,0.005473,0.609458
68,0.179847,0.004655,0.000974,0.814524
69,0.273999,7e-05,0.00345,0.722481
70,0.607598,0.000215,0.070494,0.321693
71,0.111442,0.000106,0.001311,0.887141
72,0.194727,2.9e-05,0.003908,0.801336
73,0.46199,0.002611,0.0077,0.5277
74,0.561235,0.006066,0.002763,0.429936
75,0.018724,0.001441,0.00547,0.974365
76,0.020898,0.009367,0.000452,0.969283
77,0.117482,0.070085,0.003518,0.808915
78,0.632568,0.091677,0.085867,0.189888
79,0.132261,0.000148,0.033941,0.833649
80,0.02328,4.7e-05,0.008199,0.968474
81,0.067993,0.00123,0.001214,0.929563
82,0.121993,0.103152,0.00282,0.772035
83,0.084548,3.2e-05,0.009553,0.905867
84,0.041169,3e-06,0.225983,0.732845
85,0.118643,0.001273,0.270445,0.609639
86,0.039422,9.2e-05,0.013769,0.946718
87,0.110854,0.000436,0.007599,0.881112
