segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.002735,0.070834,0.023355,0.903076
1,0.00283,0.016364,0.070997,0.90981
2,0.008064,0.017968,0.274257,0.699712
3,0.0151,0.009446,0.01001,0.965444
4,0.021064,0.009012,0.023869,0.946055
5,0.0233,0.105905,0.034697,0.836099
6,0.02276,0.297307,0.021012,0.658921
7,0.005598,0.501817,0.024376,0.468209
8,0.005978,0.006733,0.004259,0.983031
9,0.006159,0.007835,0.013097,0.97291
10,0.020567,0.196228,0.063925,0.71928
11,0.061076,0.044569,0.024282,0.870073
12,0.053207,0.008334,0.013576,0.924884
13,0.011046,0.017645,0.015619,0.955691
14,0.160155,0.011055,0.021741,0.807049
15,0.021282,0.007579,0.022343,0.948796
16,0.066587,0.010479,0.004512,0.918422
17,0.011878,0.003012,0.000907,0.984204
18,0.02321,0.004342,0.001044,0.971404
19,0.009736,0.091605,0.010489,0.88817
20,0.009648,0.04618,0.008069,0.936103
21,0.014915,0.034503,0.020651,0.929931
22,0.442109,0.021161,0.019936,0.516794
23,0.85965,0.003095,0.011394,0.12586
24,0.76507,0.003517,0.019679,0.211735
25,0.037816,0.022551,0.013975,0.925658
26,0.004552,0.011214,0.004246,0.979988
27,0.010444,0.004795,0.007607,0.977154
28,0.023357,0.011074,0.009962,0.955607
29,0.030026,0.014857,0.007441,0.947677
30,0.024125,0.061834,0.027632,0.886409
31,0.026674,0.015969,0.01156,0.945797
32,0.005258,0.005553,0.010989,0.978199
33,0.143667,0.022318,0.03191,0.802105
34,0.087279,0.024453,0.036465,0.851803
35,0.004575,0.042127,0.006352,0.946946
36,0.00631,0.012123,0.003618,0.977948
37,0.006404,0.006644,0.008059,0.978893
38,0.008799,0.008237,0.011324,0.971639
39,0.016483,0.023778,0.022509,0.937229
40,0.011425,0.022343,0.015497,0.950735
41,0.002735,0.010002,0.028608,0.958655
42,0.002591,0.013164,0.038811,0.945434
43,0.370864,0.008221,0.008755,0.61216
44,0.076553,0.019089,0.011137,0.893221
45,0.010412,0.008287,0.094493,0.886808
46,0.003166,0.034845,0.054435,0.907555
47,0.229242,0.007018,0.015803,0.747937
48,0.567877,0.011679,0.016359,0.404086
49,0.025863,0.022299,0.038263,0.913576
50,0.01116,0.004971,0.004946,0.978923
51,0.071682,0.00549,0.02405,0.898778
52,0.003214,0.436368,0.023525,0.536893
53,0.006514,0.018977,0.003955,0.970554
54,0.010631,0.005233,0.00526,0.978877
55,0.003401,0.008925,0.002948,0.984726
56,0.003043,0.009098,0.007606,0.980253
57,0.009933,0.025185,0.024675,0.940207
58,0.022461,0.060217,0.039312,0.878011
59,0.11321,0.081856,0.035747,0.769188
60,0.009364,0.042731,0.025805,0.922101
61,0.003662,0.008342,0.009008,0.978989
62,0.002804,0.024625,0.014778,0.957794
63,0.022513,0.051106,0.016994,0.909386
64,0.004723,0.032503,0.004802,0.957971
65,0.007981,0.050203,0.008648,0.933169
66,0.005261,0.012231,0.003989,0.978518
67,0.002919,0.012309,0.004893,0.979878
68,0.160333,0.021379,0.007942,0.810345
69,0.005138,0.045475,0.007265,0.942121
70,0.02776,0.04922,0.014015,0.909005
71,0.009858,0.016436,0.0041,0.969605
72,0.276429,0.038817,0.031677,0.653077
73,0.62027,0.011505,0.00688,0.361345
74,0.052912,0.027754,0.005268,0.914067
75,0.010038,0.013956,0.013478,0.962528
76,0.015157,0.039452,0.009169,0.936222
77,0.00347,0.011821,0.003445,0.981265
78,0.003102,0.013097,0.010924,0.972878
79,0.037504,0.038874,0.011391,0.91223
80,0.005418,0.008763,0.006906,0.978912
81,0.003025,0.073371,0.05723,0.866374
82,0.003025,0.073371,0.05723,0.866374
83,0.007043,0.02478,0.010633,0.957544
84,0.007679,0.010788,0.004687,0.976846
85,0.009499,0.022946,0.006786,0.960769
86,0.008106,0.02304,0.021829,0.947025
87,0.03101,0.016617,0.053628,0.898746
88,0.002395,0.02065,0.005948,0.971007
89,0.049049,0.01513,0.003399,0.932422
90,0.007387,0.01248,0.002739,0.977394
91,0.015787,0.015317,0.005057,0.963839
92,0.051616,0.049634,0.252318,0.646431
93,0.076652,0.009177,0.018172,0.895998
94,0.076652,0.009177,0.018172,0.895998
95,0.005658,0.006482,0.011301,0.976559
96,0.005387,0.006045,0.778147,0.210421
97,0.002964,0.003402,0.888018,0.105616
98,0.002895,0.067978,0.024425,0.904701
99,0.003745,0.091778,0.028189,0.876287
100,0.288428,0.023667,0.006808,0.681097
101,0.467275,0.030243,0.012529,0.489952
102,0.273465,0.045839,0.017888,0.662809
103,0.010703,0.079776,0.007206,0.902315
104,0.013857,0.029489,0.004883,0.951771
105,0.002555,0.024037,0.005153,0.968254
106,0.024694,0.068751,0.006103,0.900452
107,0.11768,0.030656,0.005238,0.846426
108,0.019915,0.046637,0.005168,0.92828
109,0.006563,0.00724,0.002314,0.983882
110,0.002588,0.019409,0.016555,0.961448
111,0.002532,0.277532,0.005907,0.714029
112,0.001425,0.443437,0.004583,0.550556
113,0.015859,0.00889,0.003154,0.972097
114,0.012259,0.007285,0.004013,0.976442
115,0.014186,0.023853,0.016165,0.945796
116,0.003797,0.109853,0.112312,0.774039
117,0.003084,0.059455,0.043755,0.893706
118,0.013908,0.025356,0.030128,0.930608
119,0.014822,0.018224,0.18973,0.777225
120,0.016531,0.007948,0.008514,0.967006
121,0.063829,0.036819,0.510067,0.389286
122,0.015556,0.025275,0.174412,0.784758
123,0.03831,0.01744,0.012812,0.931438
124,0.004445,0.009139,0.034886,0.95153
125,0.011561,0.019534,0.160899,0.808006
126,0.00811,0.008091,0.008645,0.975154
127,0.002469,0.034783,0.085181,0.877567
128,0.002196,0.023916,0.018885,0.955003
129,0.002015,0.031866,0.019325,0.946794
130,0.001793,0.02588,0.016502,0.955825
131,0.002882,0.313157,0.020895,0.663066
132,0.005541,0.012521,0.04443,0.937507
133,0.007249,0.030959,0.011477,0.950315
134,0.005984,0.009335,0.069847,0.914834
135,0.00159,0.008218,0.013475,0.976717
136,0.002487,0.068767,0.013453,0.915294
137,0.003708,0.014263,0.008987,0.973042
138,0.006052,0.017377,0.012713,0.963858
139,0.024602,0.037898,0.006061,0.931438
140,0.023782,0.017063,0.004384,0.954771
141,0.002576,0.004998,0.001874,0.990552
142,0.00175,0.016028,0.059337,0.922885
143,0.002272,0.015073,0.068851,0.913804
144,0.003043,0.027697,0.016148,0.953112
145,0.006189,0.057109,0.127752,0.80895
146,0.002673,0.00929,0.003305,0.984732
147,0.017606,0.010639,0.005264,0.966491
148,0.008299,0.030299,0.004104,0.957298
149,0.01878,0.009588,0.515643,0.455988
150,0.00354,0.024009,0.032426,0.940025
151,0.022319,0.004012,0.027963,0.945707
152,0.009699,0.015762,0.049037,0.925502
153,0.015302,0.01365,0.002496,0.968552
154,0.006747,0.554379,0.015887,0.422986
155,0.02828,0.10926,0.068161,0.794299
156,0.083449,0.019087,0.079885,0.81758
157,0.005879,0.044328,0.177002,0.772791
158,0.007465,0.060931,0.264855,0.666749
159,0.002272,0.005973,0.008179,0.983575
160,0.053868,0.018255,0.013619,0.914259
161,0.003349,0.01447,0.017369,0.964811
162,0.00364,0.019007,0.036615,0.940738
163,0.001921,0.008094,0.049936,0.940049
164,0.00149,0.009283,0.026388,0.962839
165,0.000396,0.017932,0.003994,0.977677
166,0.022288,0.013257,0.008811,0.955644
167,0.011051,0.186925,0.008029,0.793996
168,0.0099,0.014193,0.060074,0.915833
169,0.004724,0.008434,0.009121,0.977722
170,0.012549,0.01528,0.019,0.953171
171,0.094574,0.072559,0.008413,0.824454
172,0.0128,0.014023,0.007062,0.966115
173,0.007256,0.025974,0.007641,0.959129
174,0.003681,0.012512,0.016763,0.967044
175,0.003031,0.015953,0.049667,0.931349
176,0.055878,0.004591,0.004942,0.934589
177,0.163977,0.006422,0.031426,0.798175
178,0.018054,0.023668,0.008211,0.950067
179,0.023247,0.044498,0.005104,0.927151
180,0.017037,0.025047,0.011325,0.946592
181,0.012377,0.073029,0.005307,0.909287
182,0.023458,0.039541,0.324933,0.612069
183,0.003729,0.004625,0.862096,0.12955
184,0.10087,0.023393,0.003454,0.872283
185,0.957222,0.008552,0.004218,0.030007
186,0.022764,0.044899,0.010117,0.92222
187,0.013377,0.090175,0.004676,0.891772
188,0.016885,0.010905,0.014463,0.957747
189,0.002667,0.061632,0.032966,0.902735
190,0.024138,0.019511,0.077124,0.879227
191,0.001845,0.032373,0.028216,0.937566
192,0.03076,0.0163,0.006776,0.946165
193,0.040175,0.006719,0.004432,0.948674
194,0.012815,0.003726,0.006006,0.977453
195,0.025885,0.008549,0.087156,0.87841
196,0.003268,0.01138,0.012897,0.972455
197,0.022301,0.343781,0.016796,0.617121
198,0.009348,0.058398,0.008493,0.923761
199,0.011659,0.005076,0.004235,0.979029
200,0.043261,0.006597,0.012884,0.937258
201,0.001839,0.007286,0.014644,0.97623
202,0.001996,0.014502,0.006085,0.977416
203,0.00646,0.008653,0.012698,0.97219
204,0.011079,0.006491,0.019808,0.962621
205,0.2354,0.012999,0.018345,0.733256
206,0.008714,0.02473,0.015365,0.95119
207,0.007414,0.025045,0.015657,0.951884
208,0.010782,0.01515,0.017429,0.956639
209,0.005293,0.04571,0.050856,0.89814
210,0.00303,0.011037,0.007146,0.978787
211,0.075008,0.009613,0.233995,0.681384
212,0.013811,0.006738,0.008208,0.971243
213,0.010199,0.009621,0.008004,0.972175
214,0.016697,0.028094,0.030626,0.924583
215,0.00613,0.011383,0.007372,0.975116
216,0.01218,0.025573,0.199078,0.763168
217,0.004017,0.038347,0.014385,0.943251
218,0.2483,0.025614,0.020223,0.705863
219,0.011023,0.009841,0.012542,0.966595
220,0.011832,0.009841,0.048188,0.930139
221,0.012154,0.023045,0.042221,0.92258
222,0.009704,0.011435,0.013794,0.965068
223,0.002923,0.419629,0.070397,0.507051
224,0.214169,0.050621,0.015762,0.719448
225,0.102313,0.031616,0.017394,0.848677
226,0.059284,0.015376,0.052468,0.872872
227,0.026817,0.02211,0.047523,0.90355
228,0.008351,0.019847,0.007367,0.964435
229,0.010189,0.032362,0.005995,0.951454
230,0.008373,0.018999,0.012988,0.959639
231,0.006582,0.008592,0.013077,0.971749
232,0.074749,0.010656,0.026875,0.88772
233,0.253826,0.011925,0.016222,0.718026
234,0.009969,0.006054,0.009805,0.974172
235,0.003192,0.012407,0.014044,0.970357
236,0.002213,0.032271,0.038675,0.926842
237,0.012808,0.016302,0.00321,0.967681
238,0.197328,0.004657,0.006359,0.791656
239,0.021574,0.005249,0.004451,0.968726
240,0.002547,0.011125,0.005,0.981328
241,0.01114,0.043009,0.031838,0.914013
242,0.001394,0.007035,0.003239,0.988332
243,0.003837,0.012076,0.007951,0.976136
244,0.002104,0.012253,0.009455,0.976188
245,0.005532,0.010791,0.019806,0.963872
246,0.005345,0.00372,0.007099,0.983836
247,0.026441,0.010736,0.00617,0.956653
248,0.004663,0.009801,0.002612,0.982925
249,0.005251,0.008898,0.01093,0.974921
250,0.295105,0.009206,0.248854,0.446835
251,0.019721,0.008145,0.013956,0.958179
252,0.006946,0.006449,0.012365,0.974239
253,0.015541,0.100532,0.004402,0.879525
254,0.050637,0.226763,0.01566,0.70694
255,0.00605,0.034894,0.013368,0.945689
256,0.004199,0.012679,0.019046,0.964075
257,0.185484,0.00802,0.059314,0.747182
258,0.034203,0.008393,0.022657,0.934747
259,0.009265,0.02014,0.017638,0.952957
260,0.00713,0.019035,0.021639,0.952196
261,0.058428,0.00721,0.008548,0.925814
262,0.061164,0.010325,0.009669,0.918842
263,0.014475,0.007375,0.005648,0.972502
264,0.005763,0.025123,0.007639,0.961475
265,0.009939,0.174828,0.268831,0.546402
266,0.00369,0.026704,0.063873,0.905733
267,0.003356,0.019089,0.012624,0.964931
268,0.03954,0.009785,0.008625,0.94205
269,0.031915,0.003917,0.008761,0.955407
270,0.004605,0.010177,0.016245,0.968973
271,0.884886,0.00326,0.003918,0.107937
272,0.793668,0.003906,0.009188,0.193238
273,0.004071,0.010302,0.084034,0.901593
274,0.003677,0.016975,0.007531,0.971817
275,0.028549,0.013746,0.375498,0.582208
276,0.057017,0.010748,0.04632,0.885914
277,0.010823,0.006744,0.009909,0.972524
278,0.006523,0.011846,0.086751,0.89488
279,0.002149,0.220961,0.133536,0.643353
280,0.041594,0.06541,0.010135,0.882862
