segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.005462,0.01527,0.229128,0.75014
1,0.004722,0.009807,0.388245,0.597226
2,0.005761,0.016162,0.022788,0.955289
3,0.006814,0.010916,0.021622,0.960648
4,0.011814,0.020129,0.652819,0.315238
5,0.005993,0.016092,0.60661,0.371305
6,0.003255,0.009581,0.01999,0.967174
7,0.00989,0.132475,0.020708,0.836927
8,0.008729,0.008206,0.787818,0.195247
9,0.007499,0.023915,0.011209,0.957377
10,0.009375,0.013454,0.014298,0.962873
11,0.077377,0.033629,0.114396,0.774598
12,0.007367,0.006333,0.108768,0.877532
13,0.217599,0.01124,0.013997,0.757163
14,0.008796,0.132488,0.0328,0.825915
15,0.040679,0.004149,0.007574,0.947599
16,0.041424,0.005694,0.007066,0.945816
17,0.005806,0.005613,0.015901,0.972681
18,0.014465,0.015217,0.039314,0.931004
19,0.200661,0.057907,0.03132,0.710111
20,0.134701,0.01784,0.015131,0.832328
21,0.15501,0.009685,0.023816,0.811488
22,0.013097,0.009185,0.016706,0.961012
23,0.005702,0.008965,0.007712,0.977622
24,0.003867,0.008011,0.005833,0.982289
25,0.010717,0.071546,0.021568,0.896168
26,0.052802,0.027471,0.026727,0.893
27,0.045695,0.047683,0.027809,0.878814
28,0.007553,0.013915,0.005945,0.972587
29,0.007806,0.016995,0.006668,0.968531
30,0.020473,0.032737,0.036077,0.910713
31,0.011778,0.064711,0.021613,0.901898
32,0.012039,0.041416,0.120491,0.826054
33,0.007966,0.047014,0.419694,0.525326
34,0.003875,0.047144,0.093194,0.855788
35,0.004809,0.04981,0.069535,0.875846
36,0.006279,0.030627,0.031729,0.931364
37,0.004095,0.015069,0.01812,0.962717
38,0.005928,0.025503,0.064062,0.904506
39,0.025275,0.035031,0.03304,0.906654
40,0.016849,0.03206,0.013875,0.937215
41,0.00521,0.05037,0.012991,0.931429
42,0.011114,0.078256,0.210045,0.700585
43,0.010876,0.014051,0.028424,0.946649
44,0.037531,0.021935,0.01687,0.923664
45,0.007643,0.018293,0.051839,0.922226
46,0.015286,0.178934,0.136898,0.668882
47,0.013271,0.157122,0.009145,0.820463
48,0.128523,0.049729,0.051614,0.770135
49,0.02947,0.006467,0.009129,0.954934
50,0.016156,0.01162,0.015625,0.956598
51,0.014441,0.030422,0.03913,0.916006
52,0.012399,0.014393,0.052332,0.920876
53,0.041283,0.004521,0.016394,0.937802
54,0.01654,0.006245,0.009513,0.967701
55,0.007332,0.017176,0.014298,0.961193
56,0.009762,0.021362,0.010789,0.958086
57,0.658392,0.009556,0.008971,0.323082
58,0.042577,0.015334,0.020469,0.92162
59,0.065019,0.0069,0.038374,0.889707
60,0.004784,0.016957,0.003292,0.974968
61,0.018231,0.058061,0.113079,0.810629
62,0.003077,0.005455,0.00594,0.985527
63,0.026813,0.071096,0.029876,0.872214
64,0.011747,0.129619,0.070586,0.788048
65,0.00381,0.013129,0.040582,0.942479
66,0.00741,0.07363,0.215561,0.703399
67,0.031321,0.004941,0.007872,0.955866
68,0.060457,0.037709,0.010793,0.891041
69,0.023272,0.316473,0.034538,0.625716
70,0.01596,0.005613,0.004256,0.974172
71,0.304626,0.050688,0.024798,0.619888
72,0.668336,0.020853,0.01153,0.299281
73,0.080254,0.01177,0.016043,0.891933
74,0.017084,0.00868,0.010233,0.964003
75,0.043911,0.006887,0.031914,0.917289
76,0.004857,0.877176,0.030002,0.087964
77,0.036869,0.042222,0.00425,0.916659
78,0.002838,0.020246,0.003082,0.973833
79,0.003772,0.03491,0.012783,0.948535
80,0.003084,0.041581,0.007609,0.947726
81,0.005908,0.01516,0.006603,0.972329
82,0.003425,0.014917,0.028369,0.953289
83,0.005411,0.017057,0.010551,0.966981
84,0.033612,0.146935,0.050164,0.769289
85,0.006598,0.025534,0.031271,0.936597
86,0.004111,0.008774,0.008479,0.978636
87,0.00304,0.014228,0.004982,0.97775
88,0.004658,0.030869,0.012271,0.952202
89,0.003431,0.014212,0.018174,0.964182
90,0.006759,0.020336,0.031227,0.941677
91,0.00748,0.008891,0.023493,0.960136
92,0.004015,0.009777,0.011044,0.975165
93,0.121717,0.022557,0.024762,0.830964
94,0.030855,0.00837,0.005527,0.955248
