segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.247112,0.002678,0.458146,0.292064
1,0.575964,0.006074,0.184105,0.233858
2,0.301766,0.004157,0.632052,0.062025
3,0.91727,0.024018,0.03892,0.019792
4,0.865673,0.007554,0.080335,0.046439
5,0.718056,0.002013,0.264864,0.015067
6,0.228253,0.012691,0.03389,0.725167
7,0.180858,0.037574,0.060451,0.721116
8,0.614919,0.040509,0.126017,0.218556
9,0.502704,0.011736,0.299566,0.185994
10,0.161382,0.00539,0.69645,0.136778
11,0.186272,0.011727,0.03759,0.764411
12,0.010379,3.2e-05,0.934379,0.055211
13,0.448116,0.00312,0.07561,0.473155
14,0.186926,0.006176,0.109574,0.697324
15,0.021078,0.000369,0.165456,0.813096
16,0.044775,0.000162,0.47531,0.479753
17,0.106089,0.002456,0.400495,0.490961
18,0.146505,0.007331,0.463233,0.382931
19,0.065846,0.000978,0.088092,0.845084
20,0.127653,0.000193,0.181746,0.690408
21,0.289366,0.005139,0.321983,0.383512
22,0.340233,0.000785,0.418946,0.240036
23,0.349016,0.00646,0.113236,0.531288
24,0.133532,0.004123,0.121068,0.741277
25,0.396479,0.012099,0.407399,0.184023
26,0.486653,0.000614,0.318951,0.193782
27,0.596848,0.002834,0.156758,0.24356
28,0.373016,0.004538,0.147299,0.475146
29,0.410773,0.00624,0.449727,0.133261
30,0.433726,0.142454,0.176914,0.246906
31,0.151282,0.005376,0.211045,0.632298
32,0.0822,0.000147,0.761873,0.155781
33,0.035232,0.001609,0.64377,0.319389
34,0.276397,0.010182,0.099324,0.614097
35,0.169703,0.013857,0.043657,0.772783
36,0.102498,5.7e-05,0.644723,0.252722
37,0.046895,7.2e-05,0.850701,0.102331
38,0.034507,0.000161,0.749666,0.215667
39,0.246227,0.000379,0.675872,0.077522
40,0.372981,0.002514,0.278958,0.345548
41,0.025872,0.000759,0.682223,0.291146
42,0.03356,0.002951,0.336919,0.62657
43,0.188395,0.016402,0.397163,0.398039
44,0.138209,0.001214,0.673876,0.1867
45,0.473678,0.000433,0.20922,0.316669
46,0.048294,0.001942,0.215565,0.734198
47,0.10399,0.00763,0.080844,0.807536
48,0.270991,0.003059,0.123973,0.601978
49,0.31787,0.003554,0.260994,0.417581
50,0.303969,0.014182,0.520504,0.161345
51,0.128605,0.002577,0.098811,0.770007
52,0.066171,0.000406,0.352733,0.580689
53,0.477524,0.001805,0.351535,0.169136
54,0.518449,0.007693,0.406598,0.06726
55,0.05842,0.00238,0.456265,0.482935
56,0.029011,0.000136,0.614913,0.355939
57,0.745453,0.044455,0.13997,0.070123
58,0.876336,0.049018,0.033235,0.04141
59,0.340282,0.004129,0.353684,0.301905
60,0.413733,0.01389,0.092516,0.479861
61,0.306278,0.011245,0.139454,0.543023
62,0.324744,0.009849,0.265497,0.39991
63,0.312181,0.002925,0.577331,0.107564
64,0.547421,0.010653,0.231674,0.210252
65,0.186593,0.000549,0.340047,0.472811
66,0.029481,0.00032,0.174951,0.795248
67,0.168039,0.428331,0.066131,0.337499
68,0.09329,0.00247,0.002151,0.902089
69,0.02001,0.024529,0.002647,0.952814
70,0.015983,0.00651,0.00124,0.976268
