segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.003645,0.093156,0.240795,0.662404
1,0.002615,0.145889,0.214445,0.63705
2,0.343857,0.01048,0.008788,0.636874
3,0.045551,0.018859,0.008757,0.926833
4,0.884076,0.002845,0.005604,0.107475
5,0.859687,0.008494,0.006583,0.125236
6,0.004114,0.00979,0.002821,0.983274
7,0.081887,0.048306,0.018657,0.851151
8,0.083417,0.016143,0.009212,0.891229
9,0.013664,0.004714,0.005819,0.975802
10,0.005502,0.013237,0.052428,0.928833
11,0.030187,0.006066,0.057232,0.906515
12,0.007749,0.009794,0.008796,0.97366
13,0.030743,0.003562,0.013043,0.952652
14,0.003596,0.00566,0.005811,0.984934
15,0.004682,0.011596,0.016866,0.966856
16,0.012118,0.005842,0.013385,0.968655
17,0.003035,0.011154,0.007311,0.9785
18,0.023815,0.007149,0.017986,0.951049
19,0.367651,0.011532,0.098315,0.522501
20,0.010756,0.003944,0.007143,0.978157
21,0.01407,0.003832,0.010253,0.971844
22,0.014819,0.007861,0.013299,0.964021
23,0.006941,0.009468,0.012747,0.970844
24,0.006492,0.015202,0.012661,0.965644
25,0.011837,0.198804,0.062609,0.72675
26,0.016237,0.093399,0.04023,0.850135
27,0.019027,0.032079,0.016774,0.93212
28,0.044907,0.010178,0.025382,0.919533
29,0.017482,0.003702,0.055632,0.923184
30,0.009772,0.050036,0.140369,0.799822
31,0.046392,0.057735,0.077988,0.817885
32,0.010099,0.046549,0.233152,0.7102
33,0.005559,0.015199,0.383298,0.595944
34,0.002792,0.030084,0.019341,0.947783
35,0.009267,0.047668,0.008247,0.934818
36,0.006143,0.045967,0.302816,0.645074
37,0.00544,0.010398,0.04109,0.943072
38,0.028861,0.060133,0.014881,0.896126
39,0.013681,0.072023,0.032274,0.882022
40,0.011262,0.019394,0.01799,0.951354
41,0.035992,0.018581,0.11186,0.833567
42,0.007605,0.065407,0.192738,0.734249
43,0.004056,0.008767,0.035151,0.952026
44,0.012547,0.01075,0.032888,0.943814
45,0.009548,0.008581,0.014973,0.966898
46,0.026772,0.008657,0.026162,0.938409
47,0.014121,0.004496,0.018989,0.962394
48,0.039686,0.008888,0.021099,0.930326
49,0.012192,0.011578,0.020776,0.955453
50,0.013824,0.048369,0.044165,0.893642
51,0.00332,0.014799,0.012481,0.9694
52,0.002051,0.007971,0.003833,0.986145
53,0.005804,0.012121,0.012933,0.969142
54,0.012372,0.105108,0.111069,0.771452
55,0.006803,0.016071,0.006662,0.970464
56,0.0012,0.003282,0.003854,0.991664
57,0.001498,0.013197,0.023945,0.96136
