segment_id,start,end,speaker_id,transcript,asr_confidence
0,2.11,3.65,SPEAKER_00,"Okay, well, I think we're ready to begin.",0.7815
1,3.67,6.69,SPEAKER_00,Right.,0.594
2,6.71,7.57,SPEAKER_00,My name's Adam Dugard.,0.67
3,7.59,9.01,SPEAKER_00,We're here because of real reaction.,0.8653
4,10.54,12.52,SPEAKER_00,We have in the group.,0.8786
5,13.72,15.36,SPEAKER_01,"Ebenezer, I demonstrate.",0.6857
6,15.88,16.74,SPEAKER_01,Would you like me to support it?,0.344
7,19.18,21.41,SPEAKER_01,"Yeah, go for it, mate.",0.59
8,22.07,22.49,SPEAKER_01,NEZ.,0.67
9,23.17,23.33,SPEAKER_01,NEZ.,0.475
10,23.57,23.65,SPEAKER_01,ER.,0.834
11,24.55,26.47,SPEAKER_01,"Ebenezer, and your role is?",0.7196
12,26.49,28.55,SPEAKER_01,I'm the marketing expert.,0.8605
13,28.57,29.67,SPEAKER_01,You're the marketing expert.,0.7105
14,29.73,30.38,SPEAKER_01,Okay.,0.457
15,33.33,39.65,SPEAKER_00,"Next we have Tara Grammar, T-A-R-I-K. T-R-I-K. And your role in this is?",0.6792
16,39.91,40.76,SPEAKER_00,Industrial designer.,0.805
17,41.03,41.92,SPEAKER_00,Industrial designer.,0.781
18,47.88,50.77,SPEAKER_00,And lastly we have Dave Cochran.,0.843
19,53.15,56.52,SPEAKER_00,And you're going to be the user interface designer.,0.6911
20,62.11,64.56,SPEAKER_00,"Right, this is the agenda for today's meeting.",0.7471
21,64.72,69.25,SPEAKER_00,"As you can see, we're opening, acquaintance, toll training, project plan, discussion, and closing.",0.6837
22,71.6,74.64,SPEAKER_00,We've already gone through opening and partially through acquaintance.,0.7649
23,75.97,80.06,SPEAKER_00,"So the reason we're here, we're going to design a new remote control, as you probably all know.",0.7395
24,80.03,84.7,SPEAKER_00,"The very broad overview is original, trendy and user-friendly.",0.7561
25,85.28,95.16,SPEAKER_00,"Of course we'll have to go into a bit more detail than that, but personally I think that the original is going to be a very key aspect of this design.",0.7382
26,96.26,100.41,SPEAKER_00,There's a lot of remote controls out there anyway so we're going to need something that's really going to set it apart.,0.6291
27,105.55,107.73,SPEAKER_00,This is how today seems to be going to work.,0.8346
28,107.75,112.9,SPEAKER_00,"We now have the 3K faces, as you've probably already been told, the functional, conceptual, and the detailed design.",0.7425
29,119.2,122.92,SPEAKER_00,"First one's going to be covering the user requirements spec, technical functions, working design.",0.8047
30,123.81,126.99,SPEAKER_00,"Second seems to be conceptual components, properties, materials.",0.8157
31,127.09,131.75,SPEAKER_00,And the last one is a detailed analysis of our design so far.,0.7539
32,131.93,134.92,SPEAKER_00,"Of course, you've all got the similar emails, I believe.",0.8633
33,138.12,138.7,SPEAKER_00,What can I say?,0.749
34,139.42,142.7,SPEAKER_00,"Every user, do you want to draw your favorite animal?",0.752
35,143.72,144.05,SPEAKER_00,Sure.,0.946
36,148.15,148.35,SPEAKER_01,OK.,0.688
37,148.37,162.73,SPEAKER_01,I'm going to make this quick since we don't have much time.,0.7847
38,212.3,214.75,SPEAKER_01,"Okay, so it's not the best picture in the world.",0.7646
39,216.13,217.09,SPEAKER_01,Here we have an elephant.,0.8864
40,218.35,221.61,SPEAKER_01,"First point begins with an E, same like Ebenezer.",0.8167
41,223.38,226.62,SPEAKER_01,"Also elephants have a very good memory, much like myself.",0.8365
42,227.6,232.81,SPEAKER_01,"And I can't remember back when I used to live in Nigeria, but I think I used to have a pet elephant.",0.835
43,234.67,238.35,SPEAKER_01,"So elephants are big, strong, and gentle, and they have great memories.",0.7923
44,238.85,241.94,SPEAKER_01,"And it begins with a letter E, just like Ebenezer.",0.655
45,243.67,244.41,SPEAKER_00,brilliantly done.,0.906
46,244.83,245.15,SPEAKER_00,Thank you.,0.915
47,247.6,252.44,SPEAKER_00,"Derek, would you like to have a shot at a bit of artistry?",0.5595
48,253.92,255.02,SPEAKER_03,"It's supposed to come all the way, is it?",0.3327
49,256.32,257.89,SPEAKER_00,"Oh, you can clip them to your belt.",0.4755
50,257.91,258.77,SPEAKER_00,"Oh, thank you.",0.5657
51,259.07,262.59,SPEAKER_00,You should also have your lapel mic on as well.,0.8247
52,264.05,266.54,SPEAKER_01,"Oh, that's good.",0.5983
53,266.56,267.32,SPEAKER_01,We can clip them on.,0.9148
54,267.94,269.9,SPEAKER_01,"OK. Yeah, there's this microphone as well that's you.",0.4726
55,273.2,291.36,SPEAKER_00,"it's just across here, that's it",0.4453
56,299.92,301.36,SPEAKER_03,Is this supposed to clip this off?,0.2287
57,301.38,301.78,SPEAKER_00,I think so.,0.4893
58,301.8,305.11,SPEAKER_00,"Yeah, I'll follow you if you...",0.5757
59,305.13,308.4,SPEAKER_00,There you go.,0.3507
60,308.42,310.0,SPEAKER_00,I'm probably just sticking it in your pocket for now.,0.4162
61,310.02,310.82,SPEAKER_00,I wouldn't worry too much.,0.7204
62,310.84,312.11,SPEAKER_00,I should have a good drink.,0.4205
63,317.26,318.92,SPEAKER_03,"Yeah, I'm destroying your outfit here.",0.5593
64,393.88,396.29,SPEAKER_03,all right here we have a tiger,0.5427
65,397.89,398.97,SPEAKER_03,I've always loved tigers.,0.559
66,399.54,401.12,SPEAKER_03,They're the biggest cats.,0.7218
67,402.0,404.04,SPEAKER_03,They're a project on cats in the wild when I was a kid.,0.6679
68,404.72,408.25,SPEAKER_03,And it was my favorite cat just because it looks the best.,0.6961
69,408.89,410.03,SPEAKER_03,"The stripes, orange.",0.8907
70,410.13,411.19,SPEAKER_03,My dad used to talk about it.,0.676
71,411.21,414.51,SPEAKER_03,"He's from Bangladesh, so he used to tell me all about it when I was a kid.",0.6162
72,415.35,421.48,SPEAKER_03,And they're just the most feared of animals in the wild.,0.8771
73,421.7,422.98,SPEAKER_03,So that's why I like them.,0.4668
74,424.2,427.53,SPEAKER_03,"Doesn't seem to end up like me really, but.",0.4363
75,427.51,429.21,SPEAKER_00,"Excellent, thank you very much.",0.3856
76,429.73,441.96,SPEAKER_00,"Dave, if you'd like to have a dash.",0.505
77,561.19,562.45,SPEAKER_02,The monkey.,0.8465
78,564.24,569.58,SPEAKER_02,"There's a somewhat oblique reference, in fact, to...",0.787
79,570.2,574.85,SPEAKER_02,I have a three-year-old daughter who is affectionately known as Miss Monkey.,0.7767
80,575.57,579.95,SPEAKER_02,"Monkeys have attitude, which I think is a good thing.",0.7854
81,579.99,590.74,SPEAKER_02,"And from the point of view of the study of human evolution, they and other privates are terribly interesting.",0.8069
82,590.72,606.52,SPEAKER_02,This one seems to have perhaps more attitude than most.,0.8493
