segment_id,start,end,speaker_id,transcript,asr_confidence
0,11.81,12.93,SPEAKER_03,All right.,0.2895
1,14.65,15.05,SPEAKER_03,OK.,0.816
2,17.04,19.4,SPEAKER_03,So we'll start off with a quick overview of the minutes.,0.7777
3,20.16,26.27,SPEAKER_03,I think to sum up the last meeting would be to say the requirements that we've set out.,0.8269
4,27.25,35.54,SPEAKER_03,"Those are, we were going to go for what seemed to be a fairly minimal design based on a small joystick.",0.8027
5,36.95,47.13,SPEAKER_03,LCD and a couple of other buttons for navigation with power being one of the main single purpose buttons.,0.7828
6,48.43,60.24,SPEAKER_03,"We were also going to use a novelty of being able to locate the remote control again via a small transmitter with any luck, the idea to try and separate us, and also because of the minimal design.",0.7612
7,60.22,67.07,SPEAKER_03,It looks like we'll be able to be fairly adventurous in the actual physical shape of our remote control with any luck.,0.8419
8,69.78,70.98,SPEAKER_03,Pretty much sums up the last one.,0.803
9,72.16,73.98,SPEAKER_03,So we'll just crack on.,0.7256
10,74.44,78.69,SPEAKER_03,I'd like to maybe start with the industrial designer if it's possible.,0.7621
11,81.55,83.69,SPEAKER_03,"Today is the conceptual, today.",0.8616
12,84.35,90.18,SPEAKER_03,This meeting is a conceptual design phase and is,0.806
13,90.16,107.76,SPEAKER_03,"And it's to cover things like what the parts might be made of, can we outsource these from elsewhere or will we have to construct the items ourselves?",0.7647
14,108.28,111.45,SPEAKER_00,"I have a presentation area, I'll just save it in there.",0.7365
15,111.47,118.84,SPEAKER_03,"Yeah, okay, I'll just upload it up then.",0.5209
16,118.86,120.14,SPEAKER_03,Which one?,0.894
17,121.91,124.91,SPEAKER_03,"Oh, interface concept, that's you.",0.7094
18,124.93,126.35,SPEAKER_03,"We've got trend watching, that's you.",0.5707
19,127.62,129.22,SPEAKER_00,Components design?,0.6455
20,129.24,131.42,SPEAKER_03,Components design.,0.435
21,139.25,142.21,SPEAKER_00,OK. All right.,0.229
22,142.23,148.8,SPEAKER_00,"So the case, that's what I wrote.",0.7133
23,148.82,151.18,SPEAKER_00,"First of all, it could be plastic, or plastic.",0.6198
24,152.1,158.39,SPEAKER_00,"But later on, we found out that it can be rubber as well, or titanium, or even wood.",0.8181
25,159.41,163.74,SPEAKER_00,"So we've decided what it's going to be, probably plastic.",0.6821
