meeting_id,speaker_id,camera_id
ES2002a,SPEAKER_00,2
ES2002a,SPEAKER_01,3
ES2002a,SPEAKER_02,1
ES2002a,SPEAKER_03,4
ES2002b,SPEAKER_00,3
ES2002b,SPEAKER_01,1
ES2002b,SPEAKER_02,4
ES2002b,SPEAKER_03,2
ES2002c,SPEAKER_00,4
ES2002c,SPEAKER_01,1
ES2002c,SPEAKER_02,3
ES2002c,SPEAKER_03,2
ES2002d,SPEAKER_00,2
ES2002d,SPEAKER_01,1
ES2002d,SPEAKER_02,3
ES2002d,SPEAKER_03,4
ES2003a,SPEAKER_00,3
ES2003a,SPEAKER_01,1
ES2003a,SPEAKER_02,4
ES2003a,SPEAKER_03,2
ES2003b,SPEAKER_00,1
ES2003b,SPEAKER_01,3
ES2003b,SPEAKER_02,4
ES2003b,SPEAKER_03,2
ES2003b,SPEAKER_04,1
ES2003c,SPEAKER_00,1
ES2003c,SPEAKER_01,2
ES2003c,SPEAKER_02,3
ES2003c,SPEAKER_03,4
ES2003d,SPEAKER_00,2
ES2003d,SPEAKER_01,3
ES2003d,SPEAKER_02,4
ES2003d,SPEAKER_03,1
ES2004a,SPEAKER_00,4
ES2004a,SPEAKER_01,3
ES2004a,SPEAKER_02,1
ES2004a,SPEAKER_03,2
ES2004b,SPEAKER_00,2
ES2004b,SPEAKER_01,1
ES2004b,SPEAKER_02,3
ES2004b,SPEAKER_03,4
ES2004c,SPEAKER_00,2
ES2004c,SPEAKER_01,3
ES2004c,SPEAKER_02,4
ES2004c,SPEAKER_03,1
ES2004d,SPEAKER_00,4
ES2004d,SPEAKER_01,2
ES2004d,SPEAKER_02,1
ES2004d,SPEAKER_03,3
