segment_id,start,end,transcript,asr_confidence
0,8.18,10.77,"It's up there, but the screen's black.",0.2426
1,14.59,26.83,It doesn't do.,0.275
2,26.85,27.91,I'm not really sure.,0.3525
3,37.04,45.99,"All right, okay.",0.4293
4,57.4,63.79,"Okay, that's fine.",0.2893
5,63.81,63.97,"Oh, God.",0.002
6,63.99,64.11,Sorry.,0.167
7,66.74,67.08,Right.,0.725
8,67.3,76.77,OK. Our agenda for today.,0.6192
9,77.69,78.82,Do you want us to give you a second?,0.6917
10,80.58,81.26,"No, that's OK.",0.7047
11,81.32,82.78,Sorry.,0.324
12,86.07,91.18,I'll go over what we decided last meeting.,0.8927
13,92.67,95.11,We decided upon a universal control.,0.8842
14,96.19,99.22,One handset for all TB video.,0.8422
15,100.61,111.34,"equipment that it was important that the product was accessible to a wide range of consumers, wide age range, not limiting anyone.",0.7
16,112.2,119.56,"We decided it was important to reflect the company's image in our product, we put fashion in electronics, you know, that kind of thing.",0.6827
17,121.23,129.63,"Our budget would have to affect, try not to reflect our budget that we might",0.8215
18,131.39,133.79,"I have a bit of, oh, oh, you can see it.",0.7795
19,136.45,136.65,Okay.,0.305
20,137.55,143.84,Dissonance between what our budget was and what we wanted to look like.,0.7998
21,145.02,147.83,"Wanted to look uncluttered, undaunted to the customer.",0.6381
22,148.81,159.52,"We discussed a flip open design, reducing the size of the control and an electronic panel for further features like programming, things like that.",0.8038
23,161.19,163.65,Okay.,0.517
24,164.33,166.29,Three presentations I've got written here.,0.5748
25,166.35,170.52,"So, shall we hear from marketing first?",0.8399
26,171.4,172.98,Is it okay if I postpone that to later?,0.5999
27,173.0,175.16,I just want to get access to a little bit more information.,0.7695
28,175.34,175.73,Is that okay?,0.3133
29,175.81,176.89,"No, that's fine, that's fine.",0.3798
30,176.91,177.99,"Okay, yeah, I'll go first.",0.3004
31,178.01,179.81,Can I grab the... Can you plug me?,0.5216
32,182.15,182.66,Thanks.,0.756
33,191.54,192.31,What do I have to press?,0.1507
34,192.33,194.25,"Oh, F8.",0.828
35,194.53,195.01,FN.,0.801
36,195.99,203.72,"Function, FN.",0.8925
37,203.74,210.17,Maybe.,0.461
38,210.19,210.27,Yep.,0.008
39,210.29,212.68,There we go.,0.22
40,212.7,218.56,"OK, this is the working design presented by me, the industrial designer extraordinaire.",0.838
41,219.98,225.34,This is where I went a bit mad with PowerPoint.,0.8087
42,225.44,228.41,"The first thing, question I asked was, what are we trying to design?",0.7782
43,228.99,238.46,"Well, a device which basically just sends the signal to the TV to change the state, whether that be the power or the channel or the volume.",0.8093
44,238.56,246.97,Everything is just some sort of signal to change the state of the TV or other appliance that it's sending the signal to.,0.8223
45,248.92,255.43,So I decided I'd have a look at what other people have designed and try and take some inspiration from that.,0.7515
46,257.45,271.15,"But although we will want to be taking ideas from other people, we want to make sure that our design stands out and I thought that was something that, well, it wasn't really my area because",0.8201
47,272.6,274.18,I'm dealing with the inside really.,0.864
48,275.1,280.95,"Yeah, I ran out of time so I couldn't do this one as fun as the last one.",0.7419
49,281.45,298.47,And I found out that most controls use some form of infrared to send signals to the TV presumably because of the cost issue of something like the same thing that computers use wireless and you don't need to send very much information.,0.7452
50,298.45,302.07,Most of them are powered by some form of battery.,0.8483
51,302.62,320.5,"Now R1, I'm not sure whether we want to look at the size issue because most of them are powered by AAA batteries, but those can be quite bulky, so I didn't know if you wanted to look at something else so we could shrink down the size of the control.",0.8019
52,320.52,321.85,Can I interject to ask a question?,0.8443
53,321.93,323.11,Is that appropriate?,0.4623
54,323.13,325.45,You're saying the AAA batteries are small or the current?,0.4454
55,325.43,332.48,"If you look at most remote controls, they're quite chunky, and that's because of the size of the batteries.",0.7955
56,332.58,336.76,"They have to be, obviously, this certain size to fit those batteries.",0.8097
57,336.79,338.23,Triple A's are the smallest you can get.,0.5354
58,338.45,353.36,"Well, you can get the circular round ones, but I'm just wondering about power consumption and how much you need to send the data across, which leads onto the next point about them being small and easy to",0.7873
59,353.34,354.37,carry around.,0.955
60,354.89,360.36,"Now the ones at the moment are small, but I was just wondering if we could look at something a bit smaller.",0.8164
61,361.76,368.53,Now the main components I came up with were obviously the power source for the batteries because otherwise it's not going to work.,0.8091
62,368.51,375.08,"As I said about which batteries we were going to choose, we can discuss that later.",0.7129
63,375.2,387.69,And then you obviously need something to decode the information that you're putting in from the controller and to turn it into an infrared signal.,0.8402
64,387.67,391.99,which we're going to use to send the information.,0.8751
65,392.21,402.82,"Now these have a wireless range of up to about five meters, which is sort of suitable for anyone who's watching their TV unless they're in a cinema, which not most people do.",0.792
66,402.88,407.22,"So as we're applying to the most audience, that should be fine.",0.8531
67,407.36,417.67,"And then I just had a quick look at the external design, but I left that mostly to the interface designer.",0.8214
68,417.65,422.92,And so this is what I had as the basic idea of what we want to do.,0.8796
69,423.0,425.56,It's not a proper circuit.,0.8498
70,426.42,427.96,I'm not sure if it will work or not.,0.6698
71,428.4,432.39,I'm not even confident that those are the real way you'd wire it up.,0.7063
72,432.71,442.06,"But anyway, we've just got the power going to the infrared bulb with the chip and the UI interface.",0.7809
73,442.04,471.13,"which would basically, when you pressed anything, the chip would convert it into some form of IR data which could be decoded by the TV receiver, which obviously means that we're going to have to conform to whatever form of communication that the TVs are already using and since that's another reason to use infrared because that's what all TVs use at the moment.",0.766
74,472.33,480.06,"And then finally, we want it to be available to a wide audience at a low cost.",0.8785
75,480.08,485.31,So all the components that I've put forward are low in cost.,0.7124
76,485.33,487.64,So that should be good.,0.7078
77,487.62,495.31,It should be different enough from the alternative products to get a good consumer base.,0.8403
78,495.35,500.72,We were talking about it before and also just something that I was thinking about because they're small.,0.8255
79,501.12,502.52,They're also easy to lose.,0.8076
80,502.58,516.88,"So if we could look into some way of, I don't know, some anti going down the side of the sofa thing that you could have, that was just sort of a general point there.",0.8063
81,516.86,523.55,"That's a very important point, it came up in our market research findings too, so I can refer to that whenever you'd like me to present.",0.8375
82,524.29,528.5,"Yeah, that's what I came up with there.",0.798
83,528.52,545.86,Would you like to continue on for a minute?,0.5271
