meeting_id,segment_id,p_happy,p_angry,p_sad,p_neutral
ES2003d,0,0.17486382513617488,0.27581972418027584,0.28704671295328704,0.2622697377302623
ES2003d,1,0.17926317926317925,0.2456222456222456,0.2533052533052533,0.3218093218093218
ES2003d,2,0.1827978172021828,0.23101276898723103,0.24964575035424968,0.3365436634563366
ES2003d,3,0.17978017978017977,0.24356324356324355,0.2355182355182355,0.34113834113834113
ES2003d,4,0.25,0.25,0.25,0.25
ES2003d,5,0.25,0.25,0.25,0.25
ES2003d,6,0.25,0.25,0.25,0.25
ES2003d,7,0.25,0.25,0.25,0.25
ES2003d,8,0.19205380794619203,0.2365297634702365,0.24338775661224335,0.328028671971328
ES2003d,9,0.187852,0.231808,0.255847,0.324493
ES2003d,10,0.19273380726619269,0.2458397541602458,0.28669871330128666,0.27472772527227474
ES2003d,11,0.188004188004188,0.23413123413123413,0.29871229871229865,0.27915227915227914
ES2003d,12,0.187242,0.244802,0.280932,0.287024
ES2003d,13,0.195179,0.232261,0.27897,0.29359
ES2003d,14,0.193553,0.228807,0.285522,0.292118
ES2003d,15,0.191353,0.230259,0.282528,0.29586
ES2003d,16,0.195531,0.225421,0.269566,0.309482
ES2003d,17,0.202347,0.244411,0.269269,0.283973
ES2003d,18,0.1852,0.240559,0.272363,0.301878
ES2003d,19,0.181446,0.236755,0.268714,0.313085
ES2003d,20,0.173567,0.281714,0.270913,0.273806
ES2003d,21,0.18003,0.279372,0.254306,0.286292
ES2003d,22,0.177467,0.237008,0.255476,0.330049
ES2003d,23,0.182125,0.202239,0.229003,0.386633
ES2003d,24,0.179496,0.243596,0.261873,0.315035
ES2003d,25,0.181163,0.219148,0.264459,0.33523
ES2003d,26,0.175493,0.252837,0.280465,0.291205
ES2003d,27,0.17770200000000003,0.23274000000000003,0.27164200000000005,0.31791600000000003
ES2003d,28,0.180965,0.220347,0.246195,0.352493
ES2003d,29,0.1759231759231759,0.24079124079124078,0.25446425446425447,0.32882132882132875
ES2003d,30,0.17923517923517923,0.21530821530821528,0.27455627455627457,0.3309003309003309
ES2003d,31,0.17586,0.221125,0.272745,0.33027
ES2003d,32,0.1745071745071745,0.24643324643324646,0.2762962762962763,0.30276330276330277
ES2003d,33,0.173586,0.262072,0.287267,0.277075
ES2003d,34,0.17558800000000002,0.25786400000000004,0.27307500000000007,0.29347300000000004
ES2003d,35,0.17723182276817726,0.2458907541092459,0.2730787269212731,0.3037986962013038
ES2003d,36,0.176397,0.242743,0.280373,0.300487
ES2003d,37,0.180152,0.240154,0.268141,0.311553
ES2003d,38,0.17604,0.251712,0.261893,0.310355
ES2003d,39,0.173578,0.255347,0.273755,0.29732
ES2003d,40,0.1735798264201736,0.275036724963275,0.27251472748527256,0.27886872113127886
ES2003d,41,0.175217,0.288064,0.260619,0.2761
ES2003d,42,0.178768,0.241078,0.272506,0.307648
ES2003d,43,0.173672,0.268107,0.282187,0.276034
ES2003d,44,0.18190018190018192,0.22421722421722423,0.23623623623623624,0.35764635764635766
ES2003d,45,0.25,0.25,0.25,0.25
ES2003d,46,0.25,0.25,0.25,0.25
ES2003d,47,0.25,0.25,0.25,0.25
ES2003d,48,0.25,0.25,0.25,0.25
ES2003d,49,0.25,0.25,0.25,0.25
ES2003d,50,0.25,0.25,0.25,0.25
ES2003d,51,0.25,0.25,0.25,0.25
ES2003d,52,0.25,0.25,0.25,0.25
ES2003d,53,0.25,0.25,0.25,0.25
ES2003d,54,0.25,0.25,0.25,0.25
ES2003d,55,0.25,0.25,0.25,0.25
ES2003d,56,0.25,0.25,0.25,0.25
ES2003d,57,0.25,0.25,0.25,0.25
ES2003d,58,0.25,0.25,0.25,0.25
ES2003d,59,0.25,0.25,0.25,0.25
ES2003d,60,0.25,0.25,0.25,0.25
ES2003d,61,0.25,0.25,0.25,0.25
ES2003d,62,0.25,0.25,0.25,0.25
ES2003d,63,0.25,0.25,0.25,0.25
ES2003d,64,0.25,0.25,0.25,0.25
ES2003d,65,0.25,0.25,0.25,0.25
ES2003d,66,0.25,0.25,0.25,0.25
ES2003d,67,0.25,0.25,0.25,0.25
ES2003d,68,0.25,0.25,0.25,0.25
ES2003d,69,0.25,0.25,0.25,0.25
ES2003d,70,0.25,0.25,0.25,0.25
ES2003d,71,0.25,0.25,0.25,0.25
ES2003d,72,0.25,0.25,0.25,0.25
ES2003d,73,0.25,0.25,0.25,0.25
ES2003d,74,0.25,0.25,0.25,0.25
ES2003d,75,0.25,0.25,0.25,0.25
ES2003d,76,0.25,0.25,0.25,0.25
ES2003d,77,0.25,0.25,0.25,0.25
ES2003d,78,0.25,0.25,0.25,0.25
ES2003d,79,0.25,0.25,0.25,0.25
ES2003d,80,0.25,0.25,0.25,0.25
ES2003d,81,0.25,0.25,0.25,0.25
ES2003d,82,0.25,0.25,0.25,0.25
ES2003d,83,0.25,0.25,0.25,0.25
ES2003d,84,0.25,0.25,0.25,0.25
ES2003d,85,0.25,0.25,0.25,0.25
ES2003d,86,0.25,0.25,0.25,0.25
ES2003d,87,0.25,0.25,0.25,0.25
ES2003d,88,0.25,0.25,0.25,0.25
ES2003d,89,0.25,0.25,0.25,0.25
ES2003d,90,0.25,0.25,0.25,0.25
ES2003d,91,0.25,0.25,0.25,0.25
ES2003d,92,0.25,0.25,0.25,0.25
ES2003d,93,0.25,0.25,0.25,0.25
ES2003d,94,0.25,0.25,0.25,0.25
ES2003d,95,0.25,0.25,0.25,0.25
ES2003d,96,0.25,0.25,0.25,0.25
ES2003d,97,0.25,0.25,0.25,0.25
ES2003d,98,0.25,0.25,0.25,0.25
ES2003d,99,0.25,0.25,0.25,0.25
ES2003d,100,0.1894028105971894,0.2707317292682707,0.27193072806927193,0.2679347320652679
ES2003d,101,0.25,0.25,0.25,0.25
ES2003d,102,0.25,0.25,0.25,0.25
ES2003d,103,0.25,0.25,0.25,0.25
ES2003d,104,0.25,0.25,0.25,0.25
ES2003d,105,0.25,0.25,0.25,0.25
ES2003d,106,0.25,0.25,0.25,0.25
ES2003d,107,0.25,0.25,0.25,0.25
ES2003d,108,0.25,0.25,0.25,0.25
ES2003d,109,0.25,0.25,0.25,0.25
ES2003d,110,0.25,0.25,0.25,0.25
ES2003d,111,0.25,0.25,0.25,0.25
ES2003d,112,0.25,0.25,0.25,0.25
ES2003d,113,0.25,0.25,0.25,0.25
ES2003d,114,0.25,0.25,0.25,0.25
ES2003d,115,0.25,0.25,0.25,0.25
