segment_id,start,end,speaker_id
0,2.71,3.12,SPEAKER_03
1,6.97,9.99,SPEAKER_00
2,14.59,15.47,SPEAKER_00
3,17.02,17.88,SPEAKER_00
4,17.88,19.71,SPEAKER_03
5,19.71,20.03,SPEAKER_00
6,20.03,21.87,SPEAKER_03
7,23.35,32.33,SPEAKER_00
8,32.33,33.87,SPEAKER_02
9,34.56,64.17,SPEAKER_00
10,100.94,157.74,SPEAKER_00
11,157.93,162.96,SPEAKER_03
12,163.18,171.19,SPEAKER_00
13,172.36,173.96,SPEAKER_03
14,174.01,203.05,SPEAKER_00
15,203.41,203.93,SPEAKER_00
16,204.56,208.02,SPEAKER_00
17,210.18,210.78,SPEAKER_02
18,211.04,211.05,SPEAKER_02
19,211.05,211.83,SPEAKER_00
20,217.23,219.63,SPEAKER_02
21,219.86,222.21,SPEAKER_00
22,258.54,262.13,SPEAKER_02
23,262.29,262.37,SPEAKER_02
24,265.51,309.33,SPEAKER_02
25,315.49,323.46,SPEAKER_02
26,334.39,359.43,SPEAKER_02
27,362.22,379.09,SPEAKER_02
28,381.15,386.28,SPEAKER_02
29,386.69,393.49,SPEAKER_00
30,394.26,412.96,SPEAKER_03
31,412.96,415.16,SPEAKER_00
32,415.39,421.01,SPEAKER_03
33,421.01,433.68,SPEAKER_02
34,434.09,458.49,SPEAKER_00
35,460.11,470.83,SPEAKER_02
36,470.94,474.39,SPEAKER_00
37,475.16,481.27,SPEAKER_02
38,481.27,481.47,SPEAKER_03
39,481.47,481.54,SPEAKER_02
40,481.54,482.4,SPEAKER_03
41,482.98,501.78,SPEAKER_00
42,502.97,508.04,SPEAKER_00
43,508.04,525.81,SPEAKER_03
44,526.31,530.36,SPEAKER_00
45,530.36,534.21,SPEAKER_02
46,534.21,534.53,SPEAKER_00
47,534.53,537.13,SPEAKER_02
48,537.47,550.41,SPEAKER_00
49,550.41,553.09,SPEAKER_02
50,553.21,555.25,SPEAKER_00
51,559.98,616.68,SPEAKER_03
52,616.68,641.99,SPEAKER_00
53,643.54,650.46,SPEAKER_00
54,650.46,650.68,SPEAKER_03
55,650.68,652.27,SPEAKER_00
56,652.27,655.79,SPEAKER_03
57,655.79,658.59,SPEAKER_00
58,658.59,660.37,SPEAKER_03
59,660.37,660.84,SPEAKER_00
60,660.84,662.64,SPEAKER_03
61,665.19,665.92,SPEAKER_03
62,679.25,686.0,SPEAKER_03
63,686.0,686.03,SPEAKER_00
64,686.03,686.42,SPEAKER_03
65,686.42,686.44,SPEAKER_00
66,686.44,686.51,SPEAKER_03
67,686.51,686.56,SPEAKER_00
68,686.56,686.98,SPEAKER_03
69,686.98,689.22,SPEAKER_00
70,689.64,690.13,SPEAKER_03
71,691.59,692.13,SPEAKER_00
72,696.04,708.02,SPEAKER_03
73,708.02,709.03,SPEAKER_00
74,709.03,718.03,SPEAKER_03
75,719.58,740.32,SPEAKER_03
76,740.32,741.15,SPEAKER_00
77,741.15,741.37,SPEAKER_03
78,741.37,742.63,SPEAKER_00
79,742.92,743.43,SPEAKER_03
80,745.62,747.39,SPEAKER_03
81,751.73,752.1,SPEAKER_03
82,752.54,757.23,SPEAKER_01
83,757.74,758.02,SPEAKER_03
84,764.65,766.48,SPEAKER_03
85,770.68,770.71,SPEAKER_01
86,770.71,770.75,SPEAKER_02
87,770.75,770.9,SPEAKER_01
88,770.9,770.93,SPEAKER_02
89,770.93,770.95,SPEAKER_01
90,770.95,771.17,SPEAKER_02
91,772.89,775.27,SPEAKER_02
92,775.61,775.86,SPEAKER_03
93,776.25,776.85,SPEAKER_00
94,778.26,778.58,SPEAKER_03
95,778.61,779.66,SPEAKER_00
96,779.66,779.98,SPEAKER_03
97,779.98,780.45,SPEAKER_00
98,782.44,799.84,SPEAKER_03
99,801.48,801.96,SPEAKER_00
100,801.96,802.96,SPEAKER_01
101,802.98,803.1,SPEAKER_03
102,803.28,803.84,SPEAKER_03
103,805.42,805.96,SPEAKER_00
104,807.8,808.33,SPEAKER_00
105,810.81,811.45,SPEAKER_00
106,814.0,814.92,SPEAKER_00
107,814.92,861.33,SPEAKER_03
108,863.39,864.44,SPEAKER_01
109,864.44,873.4,SPEAKER_03
110,874.83,957.86,SPEAKER_03
111,960.17,962.45,SPEAKER_03
112,962.45,963.42,SPEAKER_00
113,964.76,967.53,SPEAKER_01
114,967.93,992.15,SPEAKER_03
115,993.82,1023.33,SPEAKER_03
116,1023.42,1027.06,SPEAKER_00
117,1027.06,1027.38,SPEAKER_03
118,1027.38,1027.97,SPEAKER_00
119,1027.97,1060.2,SPEAKER_03
120,1060.2,1060.35,SPEAKER_00
121,1060.35,1060.96,SPEAKER_03
122,1060.96,1066.02,SPEAKER_00
123,1066.02,1066.36,SPEAKER_03
124,1066.36,1066.83,SPEAKER_00
125,1066.83,1092.77,SPEAKER_03
126,1093.23,1093.82,SPEAKER_00
127,1093.82,1094.44,SPEAKER_03
128,1094.56,1094.59,SPEAKER_03
129,1094.59,1095.15,SPEAKER_00
130,1095.15,1095.32,SPEAKER_03
131,1095.4,1098.88,SPEAKER_03
132,1100.13,1120.77,SPEAKER_00
133,1121.14,1122.24,SPEAKER_03
134,1122.59,1122.66,SPEAKER_03
135,1122.66,1141.51,SPEAKER_00
136,1142.69,1152.04,SPEAKER_01
137,1152.04,1153.88,SPEAKER_00
138,1153.88,1165.59,SPEAKER_01
139,1165.59,1166.26,SPEAKER_00
140,1166.26,1176.03,SPEAKER_01
141,1176.03,1176.35,SPEAKER_03
142,1176.35,1176.42,SPEAKER_01
143,1176.42,1176.45,SPEAKER_03
144,1176.45,1176.56,SPEAKER_01
145,1176.56,1194.14,SPEAKER_03
146,1194.6,1197.57,SPEAKER_00
147,1198.39,1200.3,SPEAKER_03
148,1200.3,1208.47,SPEAKER_00
149,1210.59,1211.64,SPEAKER_00
150,1211.93,1217.97,SPEAKER_02
151,1218.84,1219.87,SPEAKER_02
152,1219.87,1222.96,SPEAKER_03
153,1222.96,1223.23,SPEAKER_00
154,1223.23,1223.94,SPEAKER_03
155,1224.57,1250.11,SPEAKER_00
156,1250.11,1253.17,SPEAKER_01
157,1253.17,1253.69,SPEAKER_00
158,1253.69,1257.61,SPEAKER_01
159,1257.61,1265.17,SPEAKER_00
160,1265.17,1293.03,SPEAKER_01
161,1293.03,1307.32,SPEAKER_00
162,1307.32,1307.57,SPEAKER_03
163,1307.57,1307.98,SPEAKER_00
164,1307.98,1324.26,SPEAKER_01
165,1324.26,1324.62,SPEAKER_03
166,1324.62,1324.65,SPEAKER_01
167,1324.65,1324.75,SPEAKER_03
168,1324.75,1324.92,SPEAKER_01
169,1324.92,1324.95,SPEAKER_03
170,1324.95,1324.97,SPEAKER_01
171,1324.97,1328.38,SPEAKER_03
172,1328.38,1328.48,SPEAKER_01
173,1328.48,1328.97,SPEAKER_03
174,1328.97,1329.02,SPEAKER_01
175,1329.02,1329.04,SPEAKER_03
176,1329.04,1329.26,SPEAKER_01
177,1329.26,1329.36,SPEAKER_03
178,1329.36,1329.49,SPEAKER_01
179,1329.49,1329.78,SPEAKER_03
180,1329.78,1329.83,SPEAKER_01
181,1329.83,1329.88,SPEAKER_03
182,1329.88,1329.9,SPEAKER_01
183,1329.9,1329.92,SPEAKER_03
184,1329.92,1329.93,SPEAKER_01
185,1329.93,1329.95,SPEAKER_03
186,1329.95,1353.1,SPEAKER_01
187,1353.1,1363.6,SPEAKER_00
188,1363.6,1365.17,SPEAKER_03
189,1365.17,1379.28,SPEAKER_00
190,1379.28,1379.63,SPEAKER_03
191,1379.63,1380.03,SPEAKER_00
192,1380.03,1396.03,SPEAKER_03
193,1396.03,1396.27,SPEAKER_02
194,1396.27,1396.56,SPEAKER_03
195,1396.56,1396.66,SPEAKER_02
196,1396.74,1405.97,SPEAKER_02
197,1405.97,1406.07,SPEAKER_00
198,1406.07,1407.56,SPEAKER_02
199,1407.56,1413.73,SPEAKER_00
200,1413.73,1413.89,SPEAKER_02
201,1413.89,1414.29,SPEAKER_00
202,1414.29,1415.32,SPEAKER_02
203,1415.32,1418.19,SPEAKER_00
204,1418.19,1418.22,SPEAKER_01
205,1422.14,1422.22,SPEAKER_01
206,1422.26,1423.83,SPEAKER_01
207,1424.03,1424.62,SPEAKER_01
208,1425.73,1523.59,SPEAKER_01
209,1523.69,1524.25,SPEAKER_01
210,1525.83,1593.13,SPEAKER_01
211,1593.13,1593.15,SPEAKER_00
212,1593.15,1594.48,SPEAKER_01
213,1594.52,1594.58,SPEAKER_01
214,1594.58,1599.21,SPEAKER_00
215,1599.56,1609.32,SPEAKER_01
216,1609.64,1609.69,SPEAKER_02
217,1609.69,1609.86,SPEAKER_01
218,1609.86,1609.94,SPEAKER_02
219,1609.94,1610.61,SPEAKER_03
220,1610.77,1624.23,SPEAKER_03
221,1624.23,1628.79,SPEAKER_01
222,1628.79,1628.96,SPEAKER_03
223,1628.96,1628.99,SPEAKER_01
224,1628.99,1629.03,SPEAKER_03
225,1629.03,1645.73,SPEAKER_01
226,1645.73,1648.8,SPEAKER_00
227,1648.8,1679.89,SPEAKER_01
228,1679.89,1680.04,SPEAKER_00
229,1680.04,1680.14,SPEAKER_01
230,1680.14,1680.27,SPEAKER_00
231,1680.27,1683.53,SPEAKER_01
232,1683.53,1684.0,SPEAKER_00
233,1684.0,1684.85,SPEAKER_01
234,1684.85,1684.9,SPEAKER_00
235,1684.9,1684.92,SPEAKER_01
236,1684.92,1707.21,SPEAKER_00
237,1707.21,1744.92,SPEAKER_01
238,1744.92,1761.97,SPEAKER_03
239,1761.97,1768.62,SPEAKER_01
240,1768.62,1768.97,SPEAKER_00
241,1768.97,1770.54,SPEAKER_01
242,1770.54,1790.33,SPEAKER_00
243,1790.33,1793.02,SPEAKER_01
244,1793.02,1793.34,SPEAKER_00
245,1793.34,1794.38,SPEAKER_01
246,1794.38,1794.47,SPEAKER_00
247,1794.47,1794.74,SPEAKER_01
248,1794.74,1794.75,SPEAKER_00
249,1794.75,1805.03,SPEAKER_01
250,1805.03,1805.62,SPEAKER_00
251,1805.62,1810.09,SPEAKER_01
252,1810.09,1810.55,SPEAKER_00
253,1810.55,1816.15,SPEAKER_01
254,1816.15,1816.62,SPEAKER_00
255,1816.62,1820.02,SPEAKER_01
256,1820.02,1861.97,SPEAKER_00
257,1863.2,1872.75,SPEAKER_02
258,1874.56,1874.84,SPEAKER_00
259,1874.84,1874.88,SPEAKER_02
260,1875.01,1875.1,SPEAKER_02
261,1875.1,1880.82,SPEAKER_03
262,1880.82,1886.98,SPEAKER_02
263,1886.98,1894.98,SPEAKER_03
264,1894.98,1897.08,SPEAKER_00
265,1897.08,1915.28,SPEAKER_03
266,1916.58,1965.16,SPEAKER_01
267,1965.16,1966.04,SPEAKER_00
268,1966.04,1966.1,SPEAKER_02
269,1966.1,2025.03,SPEAKER_00
270,2025.03,2037.79,SPEAKER_03
271,2037.79,2038.02,SPEAKER_00
272,2038.02,2043.88,SPEAKER_03
273,2043.88,2044.1,SPEAKER_02
274,2044.1,2044.12,SPEAKER_03
275,2044.12,2044.13,SPEAKER_02
276,2044.57,2048.4,SPEAKER_02
277,2048.61,2084.79,SPEAKER_01
278,2084.79,2108.8,SPEAKER_00
279,2108.8,2116.34,SPEAKER_03
280,2116.34,2130.97,SPEAKER_01
281,2130.97,2131.17,SPEAKER_00
282,2131.17,2134.14,SPEAKER_01
283,2134.14,2156.23,SPEAKER_00
284,2157.92,2158.29,SPEAKER_00
285,2162.6,2166.04,SPEAKER_03
286,2166.04,2166.48,SPEAKER_00
287,2166.48,2166.81,SPEAKER_02
288,2166.81,2166.85,SPEAKER_00
