segment_id,start,end,speaker_id
0,10.9,14.81,SPEAKER_02
1,14.88,14.97,SPEAKER_02
2,14.97,15.13,SPEAKER_01
3,17.87,18.37,SPEAKER_01
4,18.81,20.35,SPEAKER_02
5,22.32,23.74,SPEAKER_02
6,25.12,26.54,SPEAKER_03
7,29.07,30.34,SPEAKER_03
8,30.34,30.51,SPEAKER_02
9,30.51,32.33,SPEAKER_03
10,34.22,34.61,SPEAKER_02
11,50.64,50.86,SPEAKER_03
12,50.94,51.28,SPEAKER_03
13,80.47,94.36,SPEAKER_02
14,95.56,116.03,SPEAKER_02
15,117.57,141.73,SPEAKER_02
16,142.76,161.12,SPEAKER_02
17,162.1,167.87,SPEAKER_02
18,170.37,184.78,SPEAKER_02
19,188.79,192.9,SPEAKER_02
20,211.46,211.9,SPEAKER_00
21,243.2,244.36,SPEAKER_02
22,246.93,250.69,SPEAKER_02
23,254.51,257.63,SPEAKER_02
24,258.3,258.32,SPEAKER_02
25,258.32,258.66,SPEAKER_01
26,259.87,262.32,SPEAKER_02
27,266.17,266.98,SPEAKER_02
28,268.71,269.19,SPEAKER_02
29,272.28,276.51,SPEAKER_02
30,277.68,279.78,SPEAKER_01
31,285.15,286.48,SPEAKER_01
32,287.67,288.56,SPEAKER_02
33,289.05,292.61,SPEAKER_01
34,292.96,293.2,SPEAKER_01
35,293.32,296.29,SPEAKER_01
36,306.36,307.22,SPEAKER_03
37,309.25,309.64,SPEAKER_01
38,313.48,321.79,SPEAKER_01
39,324.1,338.31,SPEAKER_01
40,340.64,349.46,SPEAKER_01
41,350.14,351.1,SPEAKER_02
42,351.1,351.42,SPEAKER_01
43,353.93,354.73,SPEAKER_01
44,356.23,356.55,SPEAKER_01
45,356.55,361.73,SPEAKER_03
46,361.73,367.38,SPEAKER_00
47,371.47,374.07,SPEAKER_00
48,374.07,375.18,SPEAKER_02
49,375.18,375.52,SPEAKER_00
50,375.52,376.88,SPEAKER_02
51,376.88,379.23,SPEAKER_03
52,379.6,384.43,SPEAKER_00
53,391.24,391.73,SPEAKER_03
54,393.99,406.87,SPEAKER_00
55,420.12,421.2,SPEAKER_02
56,421.2,426.6,SPEAKER_00
57,428.07,430.09,SPEAKER_00
58,432.47,433.89,SPEAKER_00
59,438.71,441.57,SPEAKER_00
60,441.57,450.73,SPEAKER_03
61,450.91,451.29,SPEAKER_00
62,453.97,457.07,SPEAKER_03
63,457.92,460.62,SPEAKER_03
64,461.09,462.02,SPEAKER_02
65,465.41,470.29,SPEAKER_03
66,474.4,478.72,SPEAKER_03
67,481.24,483.87,SPEAKER_03
