segment_id,start,end,speaker_id
0,0.03,1.03,SPEAKER_02
1,47.42,49.04,SPEAKER_02
2,78.08,78.57,SPEAKER_02
3,79.24,79.6,SPEAKER_02
4,80.05,83.85,SPEAKER_02
5,85.05,85.37,SPEAKER_02
6,85.4,91.02,SPEAKER_02
7,91.49,95.88,SPEAKER_02
8,96.0,98.02,SPEAKER_00
9,98.02,104.0,SPEAKER_02
10,105.57,115.1,SPEAKER_02
11,116.62,119.08,SPEAKER_02
12,119.98,121.18,SPEAKER_02
13,122.95,165.44,SPEAKER_02
14,168.98,172.34,SPEAKER_02
15,172.34,172.68,SPEAKER_00
16,172.68,172.71,SPEAKER_02
17,173.2,193.3,SPEAKER_02
18,193.3,194.55,SPEAKER_03
19,201.15,201.47,SPEAKER_03
20,218.92,232.55,SPEAKER_03
21,234.59,356.53,SPEAKER_03
22,357.02,357.17,SPEAKER_03
23,357.29,360.33,SPEAKER_02
24,360.62,360.63,SPEAKER_02
25,360.85,361.05,SPEAKER_02
26,361.31,363.81,SPEAKER_02
27,364.31,364.33,SPEAKER_03
28,364.33,364.62,SPEAKER_00
29,364.62,369.02,SPEAKER_03
30,369.02,369.04,SPEAKER_02
31,369.04,369.14,SPEAKER_03
32,369.14,369.42,SPEAKER_02
33,369.42,369.48,SPEAKER_03
34,370.98,370.99,SPEAKER_03
35,370.99,371.01,SPEAKER_02
36,371.01,371.47,SPEAKER_03
37,371.47,371.53,SPEAKER_02
38,371.53,371.55,SPEAKER_03
39,371.97,372.02,SPEAKER_03
40,372.02,373.14,SPEAKER_02
41,380.93,383.3,SPEAKER_00
42,388.51,390.0,SPEAKER_02
43,390.0,390.2,SPEAKER_00
44,390.2,395.92,SPEAKER_02
45,403.01,404.58,SPEAKER_00
46,410.85,420.49,SPEAKER_00
47,422.51,450.64,SPEAKER_00
48,452.65,504.78,SPEAKER_00
49,504.95,504.98,SPEAKER_00
50,504.98,506.3,SPEAKER_02
51,506.3,506.7,SPEAKER_00
52,506.7,512.25,SPEAKER_02
53,512.25,533.18,SPEAKER_00
54,533.18,534.02,SPEAKER_03
55,534.02,535.17,SPEAKER_02
56,535.17,535.56,SPEAKER_00
57,535.56,536.23,SPEAKER_02
58,536.23,536.25,SPEAKER_00
59,536.82,538.41,SPEAKER_00
60,539.15,539.25,SPEAKER_00
61,539.25,540.79,SPEAKER_02
62,540.79,551.07,SPEAKER_01
63,551.07,557.07,SPEAKER_00
64,557.07,572.95,SPEAKER_02
65,572.95,575.13,SPEAKER_03
66,575.13,580.38,SPEAKER_00
67,580.56,587.2,SPEAKER_02
68,587.2,607.99,SPEAKER_00
69,608.53,613.54,SPEAKER_01
70,613.54,640.05,SPEAKER_00
71,640.05,645.16,SPEAKER_02
72,645.16,645.48,SPEAKER_00
73,645.48,649.97,SPEAKER_02
74,649.97,650.63,SPEAKER_00
75,650.63,655.37,SPEAKER_02
76,655.37,664.47,SPEAKER_00
77,666.78,686.07,SPEAKER_00
78,686.07,686.17,SPEAKER_03
79,686.81,697.17,SPEAKER_03
80,697.78,715.31,SPEAKER_00
81,715.31,715.97,SPEAKER_03
82,715.97,717.13,SPEAKER_02
83,717.13,718.99,SPEAKER_00
84,718.99,722.99,SPEAKER_02
85,722.99,751.95,SPEAKER_00
86,753.63,759.76,SPEAKER_00
87,759.76,762.38,SPEAKER_02
88,762.38,767.17,SPEAKER_00
89,767.22,767.25,SPEAKER_00
90,767.25,774.98,SPEAKER_01
91,774.98,775.25,SPEAKER_00
92,775.25,777.46,SPEAKER_01
93,777.46,778.42,SPEAKER_00
94,778.42,779.44,SPEAKER_01
95,779.61,797.04,SPEAKER_00
96,797.04,797.26,SPEAKER_03
97,797.26,797.48,SPEAKER_00
98,797.48,801.64,SPEAKER_03
99,801.85,806.28,SPEAKER_02
100,806.98,807.26,SPEAKER_01
101,807.94,812.85,SPEAKER_02
102,812.85,816.31,SPEAKER_03
103,816.31,817.64,SPEAKER_02
104,817.64,818.52,SPEAKER_03
105,818.52,819.16,SPEAKER_02
106,821.86,849.05,SPEAKER_02
107,849.47,852.76,SPEAKER_02
108,854.01,856.29,SPEAKER_02
109,856.3,856.4,SPEAKER_02
110,857.15,866.46,SPEAKER_03
