segment_id,start,end,speaker_id
0,3.76,6.88,SPEAKER_02
1,13.41,14.14,SPEAKER_03
2,15.12,15.96,SPEAKER_03
3,19.98,20.79,SPEAKER_02
4,22.95,23.49,SPEAKER_01
5,23.94,25.36,SPEAKER_02
6,27.49,28.55,SPEAKER_02
7,28.89,29.63,SPEAKER_01
8,32.85,39.79,SPEAKER_02
9,39.84,40.23,SPEAKER_01
10,40.23,45.69,SPEAKER_02
11,47.08,82.43,SPEAKER_02
12,88.61,90.28,SPEAKER_02
13,90.9,92.84,SPEAKER_00
14,92.84,92.91,SPEAKER_02
15,92.91,92.93,SPEAKER_00
16,92.93,92.96,SPEAKER_02
17,92.96,93.2,SPEAKER_00
18,93.2,93.47,SPEAKER_02
19,93.47,94.58,SPEAKER_00
20,94.58,99.04,SPEAKER_01
21,99.49,109.25,SPEAKER_00
22,109.25,110.9,SPEAKER_02
23,111.46,112.11,SPEAKER_00
24,114.73,117.77,SPEAKER_00
25,117.94,118.51,SPEAKER_00
26,120.7,121.33,SPEAKER_00
27,126.73,129.9,SPEAKER_02
28,129.9,130.1,SPEAKER_01
29,130.1,130.46,SPEAKER_02
30,132.04,133.21,SPEAKER_01
31,138.68,202.56,SPEAKER_00
32,204.2,214.83,SPEAKER_00
33,214.9,214.97,SPEAKER_00
34,214.97,215.24,SPEAKER_02
35,215.24,233.78,SPEAKER_00
36,233.78,235.5,SPEAKER_02
37,235.5,236.03,SPEAKER_00
38,236.03,236.55,SPEAKER_02
39,236.55,236.94,SPEAKER_00
40,236.94,237.26,SPEAKER_02
41,238.47,238.98,SPEAKER_02
42,239.98,258.51,SPEAKER_00
43,258.54,258.66,SPEAKER_00
44,258.99,261.22,SPEAKER_00
45,264.6,318.48,SPEAKER_00
46,319.86,326.87,SPEAKER_00
47,328.0,329.73,SPEAKER_00
48,330.17,330.33,SPEAKER_00
49,330.76,332.11,SPEAKER_00
50,332.27,333.87,SPEAKER_01
51,333.87,336.72,SPEAKER_00
52,336.72,336.75,SPEAKER_01
53,336.75,336.84,SPEAKER_00
54,336.84,339.94,SPEAKER_01
55,339.94,343.15,SPEAKER_00
56,343.89,379.68,SPEAKER_00
57,380.61,390.92,SPEAKER_00
58,392.36,397.74,SPEAKER_00
59,397.81,398.01,SPEAKER_00
60,398.97,400.04,SPEAKER_02
61,400.04,407.16,SPEAKER_00
62,407.76,416.62,SPEAKER_00
63,416.62,416.79,SPEAKER_02
64,416.79,417.03,SPEAKER_00
65,417.03,423.49,SPEAKER_02
66,424.25,427.73,SPEAKER_01
67,429.47,429.48,SPEAKER_00
68,429.48,429.53,SPEAKER_01
69,429.53,431.46,SPEAKER_00
70,446.22,446.63,SPEAKER_01
71,446.97,447.03,SPEAKER_01
72,448.37,450.29,SPEAKER_01
73,452.31,454.27,SPEAKER_02
74,454.27,454.37,SPEAKER_03
75,454.37,455.64,SPEAKER_02
76,455.98,486.27,SPEAKER_03
77,488.34,495.33,SPEAKER_03
78,496.16,497.64,SPEAKER_03
79,498.03,507.65,SPEAKER_03
80,508.36,510.7,SPEAKER_03
81,510.89,523.22,SPEAKER_03
82,525.03,550.97,SPEAKER_03
83,550.97,551.56,SPEAKER_01
84,552.4,553.36,SPEAKER_03
85,553.36,555.22,SPEAKER_01
86,555.22,564.82,SPEAKER_03
87,567.15,567.82,SPEAKER_03
88,569.29,579.1,SPEAKER_03
89,580.72,584.23,SPEAKER_03
90,584.36,587.13,SPEAKER_03
91,590.96,592.11,SPEAKER_03
92,595.75,607.82,SPEAKER_03
93,607.82,608.0,SPEAKER_01
94,608.0,608.04,SPEAKER_00
95,616.02,634.13,SPEAKER_03
96,637.06,637.08,SPEAKER_03
97,637.08,637.74,SPEAKER_02
98,638.63,641.26,SPEAKER_00
99,641.31,642.56,SPEAKER_00
100,642.9,646.8,SPEAKER_00
101,646.95,647.29,SPEAKER_03
102,649.47,650.66,SPEAKER_03
103,653.14,653.8,SPEAKER_01
104,654.09,663.29,SPEAKER_03
