segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.005775,0.005502,0.010124,0.978599
1,0.002806,0.006541,0.003068,0.987584
2,0.003048,0.077091,0.030875,0.888985
3,0.003047,0.081289,0.029719,0.885945
4,0.004561,0.031029,0.004676,0.959734
5,0.007328,0.020547,0.005882,0.966242
6,0.010311,0.00971,0.003503,0.976477
7,0.258098,0.035288,0.00934,0.697275
8,0.042183,0.015955,0.006211,0.935651
9,0.003787,0.023712,0.003012,0.969488
10,0.004002,0.01462,0.00611,0.975268
11,0.028242,0.006967,0.033916,0.930875
12,0.008323,0.023573,0.0194,0.948704
13,0.011001,0.008646,0.010702,0.969652
14,0.00623,0.00939,0.004281,0.980099
15,0.008444,0.009565,0.00391,0.978081
16,0.015459,0.005652,0.009433,0.969456
17,0.032452,0.012208,0.021851,0.933489
18,0.018433,0.015373,0.027986,0.938208
19,0.024268,0.016381,0.014919,0.944432
20,0.024215,0.007956,0.017472,0.950358
21,0.018481,0.00801,0.007442,0.966067
22,0.016301,0.013637,0.007708,0.962354
23,0.019334,0.015755,0.051877,0.913034
24,0.008163,0.013754,0.026654,0.951429
25,0.00919,0.00776,0.011883,0.971167
26,0.017184,0.01634,0.005904,0.960572
27,0.009923,0.005181,0.004482,0.980414
28,0.063288,0.004477,0.036977,0.895258
29,0.014827,0.031104,0.009216,0.944853
30,0.012952,0.033738,0.007646,0.945663
31,0.206249,0.017411,0.01186,0.76448
32,0.002514,0.008722,0.003627,0.985138
33,0.006305,0.008828,0.005483,0.979384
34,0.007379,0.021134,0.008373,0.963114
35,0.263732,0.011673,0.015723,0.708872
36,0.11784,0.005069,0.010995,0.866096
37,0.00485,0.003784,0.007375,0.983991
38,0.004337,0.004775,0.007683,0.983205
39,0.012181,0.007607,0.005675,0.974537
40,0.003667,0.008519,0.0132,0.974613
41,0.021695,0.010793,0.063881,0.903631
42,0.007519,0.009767,0.018703,0.96401
43,0.003694,0.00474,0.006848,0.984719
44,0.049722,0.007139,0.011923,0.931216
45,0.008218,0.046175,0.011826,0.933781
46,0.163771,0.01631,0.034845,0.785075
47,0.053455,0.018549,0.017626,0.91037
48,0.011489,0.010889,0.018508,0.959114
49,0.005036,0.020363,0.007269,0.967332
50,0.044072,0.036881,0.008161,0.910886
51,0.205214,0.040003,0.023616,0.731167
52,0.003354,0.020941,0.004226,0.971479
53,0.002411,0.01272,0.00654,0.978329
54,0.038045,0.02755,0.00391,0.930495
55,0.018488,0.016985,0.005071,0.959456
56,0.014263,0.011957,0.009326,0.964454
57,0.075842,0.023684,0.006711,0.893764
58,0.74919,0.016765,0.005711,0.228333
59,0.059107,0.020276,0.003887,0.91673
60,0.045287,0.007968,0.003229,0.943516
61,0.015199,0.0242,0.00368,0.956921
62,0.074442,0.011024,0.023162,0.891372
63,0.411863,0.004157,0.019382,0.564597
64,0.037472,0.18413,0.011796,0.766601
65,0.012785,0.044016,0.010753,0.932445
66,0.157086,0.019667,0.003494,0.819753
67,0.013997,0.143284,0.005391,0.837329
68,0.034161,0.053096,0.003169,0.909574
69,0.005667,0.019231,0.004692,0.970411
70,0.020111,0.228114,0.09644,0.655334
71,0.022415,0.036067,0.047867,0.893651
72,0.049362,0.012567,0.014957,0.923113
73,0.05182,0.015941,0.031352,0.900887
74,0.025568,0.041955,0.147808,0.784669
