segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.020316,0.020553,0.037159,0.921972
1,0.004038,0.059894,0.010475,0.925594
2,0.016558,0.211766,0.008919,0.762757
3,0.00243,0.190517,0.029705,0.777348
4,0.010414,0.02036,0.006596,0.962631
5,0.003624,0.008476,0.003709,0.984191
6,0.007568,0.005888,0.008819,0.977725
7,0.018127,0.011138,0.003637,0.967097
8,0.003709,0.006315,0.003856,0.986119
9,0.007767,0.063693,0.028282,0.900257
10,0.018164,0.194116,0.027352,0.760367
11,0.006771,0.006701,0.006366,0.980162
12,0.003349,0.005072,0.003024,0.988555
13,0.031666,0.006783,0.034926,0.926625
14,0.208635,0.012881,0.089694,0.68879
15,0.014744,0.059181,0.026955,0.89912
16,0.037503,0.014251,0.067255,0.880991
17,0.089995,0.028945,0.034738,0.846322
18,0.039784,0.016261,0.015579,0.928376
19,0.035225,0.054912,0.056554,0.853309
20,0.026034,0.034323,0.176025,0.763619
21,0.004804,0.014207,0.007875,0.973114
22,0.009156,0.035028,0.011402,0.944414
23,0.016271,0.011113,0.007982,0.964633
24,0.015486,0.011232,0.017205,0.956077
25,0.004067,0.013537,0.014741,0.967655
26,0.083861,0.038454,0.0146,0.863085
27,0.020435,0.006855,0.016802,0.955908
28,0.003857,0.449786,0.157059,0.389297
29,0.003562,0.318019,0.027623,0.650796
30,0.002572,0.419841,0.059426,0.518161
31,0.009107,0.052063,0.161782,0.777048
32,0.002604,0.25055,0.149304,0.597542
33,0.005811,0.051252,0.019556,0.923382
34,0.004605,0.005414,0.006346,0.983635
35,0.002277,0.015198,0.016301,0.966224
36,0.004236,0.009946,0.004073,0.981745
37,0.004998,0.069945,0.002756,0.922302
38,0.015756,0.015923,0.007232,0.961088
39,0.014021,0.009943,0.018025,0.95801
40,0.002889,0.009946,0.003837,0.983328
41,0.008435,0.010944,0.006049,0.974572
42,0.006579,0.0106,0.009963,0.972859
43,0.010916,0.008189,0.008692,0.972203
44,0.007606,0.014146,0.005923,0.972325
45,0.008936,0.00688,0.003943,0.980241
46,0.012086,0.005992,0.011034,0.970888
47,0.026615,0.266536,0.010092,0.696757
48,0.081951,0.204934,0.007241,0.705873
49,0.004467,0.013605,0.004344,0.977584
50,0.004109,0.006626,0.003385,0.98588
51,0.009833,0.021513,0.122946,0.845708
52,0.011832,0.008906,0.225551,0.75371
53,0.004502,0.022866,0.025189,0.947444
54,0.002836,0.159412,0.023405,0.814348
55,0.00176,0.034323,0.038662,0.925255
56,0.001247,0.03463,0.007366,0.956758
57,0.00255,0.021006,0.012855,0.963589
58,0.009626,0.033665,0.064069,0.89264
59,0.003261,0.024553,0.036979,0.935206
60,0.001923,0.012579,0.03795,0.947548
61,0.007197,0.018884,0.029495,0.944423
62,0.016124,0.009115,0.010097,0.964665
63,0.051462,0.074053,0.063083,0.811402
64,0.067688,0.029383,0.066327,0.836602
65,0.658633,0.024067,0.047654,0.269646
66,0.027609,0.380952,0.056086,0.535352
67,0.009118,0.029347,0.009997,0.951538
68,0.067602,0.015325,0.009242,0.907831
69,0.169783,0.007536,0.004861,0.81782
70,0.350377,0.006489,0.014878,0.628256
71,0.002047,0.011439,0.017778,0.968735
72,0.005607,0.010431,0.008987,0.974975
73,0.012067,0.034184,0.011276,0.942473
74,0.01824,0.492177,0.02213,0.467452
75,0.709666,0.021012,0.005815,0.263506
76,0.004033,0.016436,0.03294,0.946592
77,0.006229,0.038305,0.560734,0.394731
78,0.008149,0.05587,0.381198,0.554783
79,0.005543,0.013466,0.005489,0.975502
80,0.013801,0.009751,0.023507,0.95294
81,0.003947,0.005699,0.010472,0.979883
82,0.009358,0.012919,0.02239,0.955332
83,0.013137,0.010833,0.011901,0.964129
84,0.004623,0.026276,0.004538,0.964563
85,0.020903,0.076825,0.006478,0.895795
86,0.065637,0.042035,0.013962,0.878366
87,0.090743,0.021564,0.006981,0.880712
88,0.01101,0.010309,0.003383,0.975298
89,0.010403,0.010863,0.009412,0.969322
90,0.011149,0.01271,0.02508,0.951061
91,0.027139,0.00581,0.010795,0.956257
92,0.007588,0.006985,0.005892,0.979535
93,0.003222,0.021068,0.009413,0.966297
94,0.015674,0.093443,0.0743,0.816582
95,0.012958,0.015519,0.008326,0.963196
96,0.003202,0.011038,0.003494,0.982266
97,0.002848,0.057802,0.007878,0.931472
98,0.00363,0.221008,0.020042,0.75532
99,0.016123,0.013909,0.006418,0.963551
100,0.012752,0.016186,0.008939,0.962124
101,0.027711,0.003612,0.007705,0.960972
102,0.007739,0.032916,0.091271,0.868075
103,0.053628,0.023144,0.017489,0.905739
104,0.003969,0.009634,0.004947,0.98145
105,0.004,0.020324,0.003785,0.971891
106,0.00497,0.023276,0.006503,0.965251
107,0.012476,0.007353,0.005654,0.974517
108,0.118926,0.006751,0.007508,0.866815
109,0.058945,0.026146,0.025366,0.889542
110,0.326615,0.028489,0.041302,0.603594
111,0.009278,0.060738,0.00474,0.925243
112,0.006762,0.142864,0.003396,0.846977
113,0.008931,0.007177,0.017283,0.96661
114,0.027588,0.003761,0.003827,0.964824
115,0.261385,0.009794,0.019258,0.709564
116,0.00628,0.007562,0.02429,0.961868
117,0.024886,0.029221,0.029188,0.916705
118,0.002649,0.018339,0.009964,0.969048
119,0.004343,0.123475,0.01361,0.858572
120,0.005162,0.028729,0.005249,0.96086
121,0.00526,0.014287,0.013721,0.966732
122,0.004085,0.042406,0.009568,0.943941
123,0.012881,0.339696,0.064202,0.583221
124,0.003766,0.015622,0.01862,0.961992
125,0.002938,0.010566,0.012137,0.974359
126,0.012136,0.045599,0.021481,0.920783
127,0.02691,0.010449,0.010835,0.951806
128,0.007757,0.023711,0.005199,0.963333
129,0.024729,0.024137,0.039,0.912134
130,0.012099,0.060233,0.124519,0.80315
131,0.095998,0.015168,0.021297,0.867537
132,0.513503,0.048914,0.013818,0.423765
133,0.715711,0.038929,0.058242,0.187117
134,0.002515,0.024238,0.044905,0.928341
135,0.044417,0.015168,0.171061,0.769354
136,0.095329,0.016809,0.023024,0.864838
137,0.003391,0.008324,0.008743,0.979542
138,0.020594,0.014725,0.007835,0.956846
139,0.247816,0.049376,0.008706,0.694102
140,0.050389,0.009605,0.002878,0.937127
141,0.033005,0.007963,0.006371,0.952661
142,0.005726,0.022673,0.078973,0.892628
143,0.033261,0.013885,0.568478,0.384376
144,0.021059,0.110275,0.085762,0.782903
145,0.011921,0.023246,0.019168,0.945665
146,0.003417,0.095109,0.750922,0.150552
147,0.313263,0.013214,0.004771,0.668753
148,0.026686,0.004793,0.008048,0.960474
149,0.102724,0.015997,0.005331,0.875948
150,0.135375,0.004916,0.003451,0.856258
151,0.009846,0.011664,0.032485,0.946006
152,0.167784,0.010734,0.017604,0.803877
153,0.660185,0.004154,0.017869,0.317792
154,0.005962,0.010865,0.008853,0.97432
155,0.00817,0.023052,0.00552,0.963258
156,0.008505,0.012007,0.016327,0.963161
157,0.00692,0.013665,0.037986,0.941429
158,0.017495,0.056651,0.021988,0.903866
159,0.005289,0.030771,0.011262,0.952678
160,0.00967,0.059344,0.011854,0.919132
161,0.010059,0.014257,0.008887,0.966798
162,0.026877,0.015247,0.008215,0.949661
163,0.047251,0.014081,0.013076,0.925592
164,0.01562,0.009484,0.124675,0.850221
165,0.071796,0.003158,0.903047,0.021999
166,0.04001,0.008356,0.029172,0.922462
167,0.009289,0.021141,0.002676,0.966894
168,0.0084,0.04126,0.002062,0.948278
169,0.016527,0.342272,0.008708,0.632492
170,0.017387,0.076034,0.006767,0.899812
171,0.002623,0.007085,0.005144,0.985148
172,0.048778,0.013722,0.004829,0.932671
173,0.027005,0.014989,0.004199,0.953807
174,0.215175,0.00533,0.005021,0.774474
175,0.010429,0.010636,0.005289,0.973645
176,0.005758,0.025913,0.005646,0.962683
177,0.022088,0.019914,0.005151,0.952847
178,0.012356,0.006476,0.003004,0.978164
179,0.011772,0.045105,0.008057,0.935067
180,0.006122,0.043333,0.006357,0.944188
181,0.019019,0.025695,0.023182,0.932104
182,0.008555,0.011609,0.009743,0.970094
183,0.015267,0.00911,0.013905,0.961719
184,0.044827,0.009006,0.012047,0.93412
185,0.062006,0.074245,0.056911,0.806837
186,0.200863,0.023319,0.006636,0.769182
187,0.334803,0.023834,0.015376,0.625987
188,0.05801,0.017537,0.012531,0.911922
189,0.006472,0.005824,0.007161,0.980542
190,0.0214,0.004032,0.008306,0.966262
191,0.369817,0.015589,0.02662,0.587974
192,0.129487,0.021848,0.073039,0.775626
193,0.010115,0.021106,0.00473,0.96405
194,0.105753,0.190213,0.010121,0.693912
195,0.021221,0.055181,0.012294,0.911303
196,0.003152,0.047102,0.007859,0.941887
197,0.003626,0.013112,0.004563,0.978699
198,0.003012,0.119763,0.016125,0.8611
199,0.005343,0.252849,0.023566,0.718242
200,0.033313,0.058302,0.021376,0.887008
201,0.222627,0.023834,0.013813,0.739725
202,0.019019,0.042732,0.15057,0.787679
203,0.006641,0.012231,0.014016,0.967113
204,0.028577,0.073202,0.027948,0.870273
205,0.005635,0.008932,0.01104,0.974393
206,0.002694,0.012242,0.069093,0.91597
207,0.002916,0.010238,0.026529,0.960317
208,0.006059,0.028359,0.004685,0.960898
209,0.004679,0.016728,0.006358,0.972234
210,0.009438,0.006298,0.007532,0.976731
211,0.039871,0.008685,0.024974,0.92647
212,0.013299,0.012751,0.01438,0.95957
213,0.003404,0.012513,0.007396,0.976686
214,0.002733,0.009617,0.004404,0.983246
215,0.006908,0.017187,0.007665,0.96824
216,0.00515,0.007142,0.004795,0.982912
217,0.007282,0.02684,0.007743,0.958136
218,0.002865,0.015072,0.005457,0.976606
219,0.008153,0.022054,0.012337,0.957456
220,0.391279,0.01843,0.074903,0.515388
221,0.269872,0.016007,0.039059,0.675061
222,0.043246,0.005869,0.006504,0.944381
223,0.323716,0.005935,0.005002,0.665347
224,0.003496,0.013907,0.042579,0.940019
225,0.003525,0.007482,0.014723,0.97427
226,0.003959,0.013785,0.015599,0.966658
227,0.043114,0.125418,0.1985,0.632969
228,0.009246,0.04027,0.032602,0.917882
229,0.010464,0.003374,0.04284,0.943322
230,0.005803,0.113623,0.078486,0.802088
231,0.002908,0.045349,0.011816,0.939927
232,0.014789,0.010381,0.007564,0.967265
233,0.173531,0.020666,0.006054,0.79975
234,0.00528,0.006016,0.003371,0.985332
235,0.003352,0.006018,0.004099,0.986531
236,0.070567,0.011917,0.00314,0.914376
237,0.039127,0.042388,0.007511,0.910975
238,0.006678,0.018723,0.004052,0.970546
239,0.054125,0.008528,0.005496,0.931851
240,0.04572,0.012037,0.004796,0.937447
241,0.099256,0.004313,0.061204,0.835227
242,0.107094,0.007609,0.010859,0.874437
243,0.039484,0.004567,0.013762,0.942187
244,0.005788,0.008528,0.007603,0.978081
245,0.004248,0.005299,0.002959,0.987494
246,0.005392,0.032628,0.005418,0.956561
247,0.169054,0.015976,0.004152,0.810818
248,0.54874,0.006569,0.004919,0.439773
249,0.005158,0.006717,0.004232,0.983893
250,0.018007,0.007828,0.012096,0.962069
251,0.017495,0.005703,0.01672,0.960081
252,0.003855,0.010017,0.005037,0.981092
253,0.005287,0.00618,0.003833,0.9847
