segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.025901,0.008777,0.016346,0.948975
1,0.001677,0.001736,0.948599,0.047988
2,0.00424,0.020658,0.473624,0.501479
3,0.002794,0.032425,0.222333,0.742448
4,0.010678,0.006539,0.711185,0.271598
5,0.00518,0.009422,0.092964,0.892433
6,0.004507,0.012533,0.577191,0.405768
7,0.010696,0.038066,0.008573,0.942665
8,0.021939,0.121847,0.0147,0.841514
9,0.002928,0.032681,0.011125,0.953267
10,0.009041,0.027014,0.018745,0.945199
11,0.094407,0.067136,0.069166,0.769292
12,0.030889,0.010155,0.035884,0.923072
13,0.032394,0.011992,0.007368,0.948246
14,0.003973,0.024902,0.015027,0.956098
15,0.002963,0.010143,0.005309,0.981585
16,0.009275,0.011337,0.003725,0.975663
17,0.011816,0.019326,0.002416,0.966442
18,0.563627,0.010472,0.009238,0.416663
19,0.840293,0.003288,0.012794,0.143625
20,0.012221,0.028454,0.020186,0.939139
21,0.011918,0.024537,0.037392,0.926153
22,0.003895,0.013129,0.067665,0.91531
23,0.002518,0.011506,0.04287,0.943107
24,0.010847,0.00968,0.145559,0.833915
25,0.007466,0.008352,0.107544,0.876638
26,0.016769,0.005635,0.011152,0.966443
27,0.0041,0.004132,0.007696,0.984072
28,0.601425,0.013097,0.010152,0.375327
29,0.029261,0.09896,0.018839,0.85294
30,0.002822,0.004269,0.010166,0.982742
31,0.009189,0.009152,0.008737,0.972923
32,0.015304,0.00628,0.011096,0.96732
33,0.00934,0.016371,0.013159,0.961131
34,0.008823,0.081556,0.007081,0.90254
35,0.025689,0.075007,0.027609,0.871695
36,0.731824,0.016186,0.019529,0.23246
37,0.126762,0.035466,0.061869,0.775903
38,0.037237,0.040219,0.151529,0.771015
39,0.019089,0.034433,0.014542,0.931936
40,0.022762,0.013343,0.003578,0.960316
41,0.053226,0.015917,0.006026,0.92483
42,0.056252,0.015016,0.004503,0.924228
43,0.016437,0.024595,0.013653,0.945315
44,0.01442,0.042282,0.013254,0.930045
45,0.014623,0.266183,0.018195,0.700999
46,0.017858,0.017971,0.016359,0.947812
47,0.060018,0.003867,0.004098,0.932017
48,0.030001,0.003752,0.010508,0.95574
49,0.0123,0.004401,0.010361,0.972937
50,0.013512,0.010649,0.025849,0.94999
51,0.022674,0.067064,0.115971,0.79429
52,0.017752,0.006226,0.007917,0.968105
53,0.013465,0.022637,0.021026,0.942872
54,0.006164,0.008268,0.005371,0.980197
55,0.005716,0.012203,0.032693,0.949388
56,0.002514,0.008788,0.00926,0.979437
57,0.007787,0.020889,0.019012,0.952311
58,0.008792,0.036624,0.009499,0.945085
59,0.007885,0.024268,0.005661,0.962186
60,0.018705,0.005177,0.009614,0.966504
61,0.006553,0.030869,0.030019,0.93256
62,0.015305,0.012298,0.036276,0.936121
63,0.00965,0.010501,0.04572,0.934129
64,0.006942,0.012444,0.007693,0.972921
65,0.020761,0.017424,0.016029,0.945786
66,0.476197,0.043257,0.031372,0.449174
67,0.010188,0.063645,0.017815,0.908352
68,0.007704,0.017551,0.359251,0.615494
69,0.008844,0.016578,0.035691,0.938887
70,0.009452,0.011653,0.006671,0.972224
71,0.207063,0.014902,0.026553,0.751481
72,0.009943,0.027789,0.02684,0.935428
73,0.013608,0.015348,0.045909,0.925134
74,0.015073,0.008016,0.005552,0.971358
75,0.024307,0.020842,0.008403,0.946448
76,0.019786,0.016261,0.004551,0.959402
77,0.004189,0.007933,0.003334,0.984544
78,0.003256,0.014499,0.0176,0.964644
79,0.005773,0.021907,0.020551,0.951769
80,0.002957,0.011318,0.003263,0.982462
81,0.013293,0.025435,0.018144,0.943128
82,0.011496,0.010806,0.046135,0.931563
83,0.008117,0.003027,0.017485,0.971371
84,0.006729,0.006343,0.022174,0.964753
85,0.014612,0.040887,0.079784,0.864717
