segment_id,p_happy,p_angry,p_sad,p_neutral
0,0.550579,0.003712,0.381138,0.064571
1,0.194302,0.000357,0.736846,0.068495
2,0.271721,0.003483,0.602038,0.122759
3,0.218876,0.00456,0.682314,0.094249
4,0.410094,0.002251,0.454774,0.132881
5,0.152545,0.000585,0.603955,0.242914
6,0.097677,0.000553,0.717079,0.184691
7,0.216718,0.001829,0.396379,0.385074
8,0.104902,0.060329,0.001367,0.833402
9,0.070734,0.18773,0.00215,0.739386
10,0.362016,0.001554,0.003681,0.632749
11,0.32932,0.005528,0.011588,0.653564
12,0.477839,0.093183,0.05769,0.371288
13,0.441517,0.007181,0.447302,0.104001
14,0.649266,0.050372,0.055885,0.244477
15,0.114208,0.001877,0.345181,0.538735
16,0.281208,0.001793,0.23991,0.47709
17,0.524596,0.014655,0.014093,0.446655
18,0.653655,0.022055,0.007801,0.316489
19,0.273501,0.01496,0.185206,0.526333
20,0.569562,0.042929,0.132586,0.254923
21,0.600397,0.010961,0.209512,0.17913
22,0.238884,0.000895,0.193673,0.566548
23,0.064133,0.00139,0.406239,0.528237
24,0.314389,0.013957,0.202305,0.469349
25,0.106253,0.000906,0.576445,0.316395
26,0.113165,0.000753,0.746057,0.140025
27,0.104128,0.000934,0.831196,0.063742
28,0.216168,0.001479,0.249615,0.532738
29,0.276339,0.000435,0.541821,0.181406
30,0.128803,0.000363,0.821409,0.049425
31,0.440607,0.003616,0.165599,0.390178
32,0.701034,0.03584,0.091928,0.171198
33,0.8038,0.008933,0.107192,0.080075
34,0.481363,0.000326,0.444672,0.073639
35,0.320605,0.003096,0.362447,0.313852
36,0.743214,0.004383,0.157088,0.095316
37,0.414074,0.000714,0.437287,0.147925
38,0.043354,0.000143,0.929113,0.02739
39,0.082461,0.000376,0.838696,0.078467
40,0.116243,0.001354,0.811577,0.070826
41,0.122516,0.000564,0.758619,0.1183
42,0.15777,0.001076,0.727074,0.114081
43,0.171004,0.000768,0.504427,0.323801
44,0.023581,0.000241,0.888293,0.087885
45,0.153,0.010718,0.631082,0.2052
46,0.035317,6e-05,0.926454,0.038169
47,0.059366,0.000152,0.836907,0.103576
48,0.261183,0.005574,0.664222,0.069021
49,0.609436,0.018092,0.095753,0.27672
50,0.758196,0.002864,0.201649,0.037292
51,0.791469,0.007482,0.097985,0.103064
52,0.931668,0.021494,0.001596,0.045242
53,0.159347,0.000377,0.235561,0.604714
54,0.105561,0.001203,0.151367,0.741869
55,0.126822,0.000228,0.297603,0.575347
56,0.187921,0.000235,0.704541,0.107303
57,0.176748,0.000626,0.433072,0.389554
58,0.080581,0.000333,0.703736,0.21535
59,0.168466,0.003542,0.657698,0.170294
