segment_id,start,end,transcript,asr_confidence
0,0.03,4.1,to do now is to decide how to fulfill what your stuff is.,0.6358
1,4.54,5.28,OK. Sure.,0.487
2,5.98,6.95,OK.,0.851
3,7.07,8.19,"It kind of does make sense, doesn't it?",0.4945
4,8.23,13.56,"Because when we get into the end of meeting, we're kind of talking about action and design as opposed to background.",0.7322
5,13.74,15.0,Everything I have is kind of background.,0.8129
6,15.05,16.23,"Okay, we're all ready to do.",0.7647
7,16.65,19.04,We'll have it in this meeting then.,0.6603
8,19.56,20.46,If we...,0.837
9,22.11,25.14,I'll just recap on the minutes from the last meeting.,0.818
10,26.14,30.19,We decided on...,0.921
11,30.17,33.45,decided on our target group being 15 to 35.,0.8166
12,35.16,47.54,"We decided that it was going to be normally chargeable battery power, that we're going to group our audio visual and other functions into those categories.",0.789
13,47.52,58.66,"And I told you guys about the three new requirements about ignoring teletext, ignoring everything except the TV, and trying to incorporate the corporate color and slogan.",0.7216
14,59.47,60.59,So that was the last meeting.,0.7457
15,61.05,61.49,Is there anything?,0.9073
16,61.57,62.37,Have I forgotten anything?,0.6763
17,63.16,63.31,No.,0.909
18,63.77,75.2,"So if we have the three presentations, and then if you have anything that you know you're going to want to discuss, maybe just make a note of it and then we'll have all the discussion at the end.",0.7636
19,75.26,76.5,That might be a better idea this time.,0.3815
20,76.96,83.77,"And so if we start off with Andrew and then Craig and then David, is that all right?",0.7843
21,84.93,93.78,And then after that we'll have to make some decisions about stuff.,0.8292
22,93.75,102.08,"Screeding quick, tightly.",0.219
23,108.01,110.98,How did we leave it with speech recognition now?,0.643
24,111.86,115.56,"Should we say we're going to try maybe incorporate it, but we hadn't made a definite decision on that?",0.5749
25,117.22,126.55,We should also point out that the final objective of this meeting is to reach a decision on the concepts of the product.,0.8589
26,128.24,130.44,"That's kind of the end result, hopefully.",0.6943
27,134.58,137.46,Does it function F8?,0.6907
28,139.16,141.87,Uh-huh.,0.407
29,144.61,144.99,Come on.,0.8995
30,146.59,147.25,I think it's working.,0.6627
31,147.88,148.76,"Oh, they're all good.",0.3
32,148.78,149.24,"OK, great.",0.6295
33,149.26,151.34,So let me just start this.,0.5142
34,156.69,157.19,"OK, great.",0.728
35,157.71,162.68,So let's move on.,0.6087
36,163.74,164.82,"Oh, where did all go?",0.559
37,164.84,165.86,It's not good.,0.6863
38,166.78,179.67,"OK, let me just see where I can find it.",0.5795
39,179.69,180.82,This looks more like it.,0.5096
40,182.45,183.83,I think I just open up the template.,0.7531
41,184.15,186.94,"Okay, all right, so let's have a look here.",0.5613
42,186.96,189.06,"Okay, so this is the method that I've taken.",0.8056
43,189.68,198.37,Basically what I want to do here before we get into it too far is I want to show you all the background information I have that I think we need to acknowledge if we want this to be successful.,0.8021
44,199.37,208.83,And then sort of go through some of the way that I've dealt with that information and then sort of bring us all together into it to see how this fits in with the overall vision.,0.7622
45,208.81,234.74,So I've tried to take a whole lot of market research and summarize it for us and then identify trends that are sort of in sync and are important to our project plan that we have so far and then initiate a kind of discussion on design options so that it sort of helps us to narrow in on aspects that will inform other elements of the project.,0.7631
46,234.76,236.0,Does that make sense?,0.63
47,236.02,236.84,That sort of strategy.,0.7797
48,236.82,241.41,"I thought that that will impact on the rest of what we do, so that's why I suggested we do this.",0.7529
49,241.43,260.97,"Okay, so out of different figures and ratings of people in general, consumers in general, the number one thing that was found was that the television remote control of a fancy look and feel, okay, and not, and specify not a functional look or feel, fancy.",0.8006
50,260.95,265.26,"However, this is where we have to be very creative about it.",0.8645
51,265.58,267.42,Number two was that it be innovative.,0.9011
52,269.15,276.38,That tells me that we have to find a way to be innovative without adding unnecessary functional bits to it.,0.8643
53,276.36,279.52,and third priority for ease of use.,0.7883
54,279.54,288.06,So again that kind of gives us a general picture of how it has to be quite user-friendly while still having technology.,0.8535
55,288.44,297.89,So I'll just say right away as a bit of a foreshadowing into how we proceed with this in terms of marketing is that I think what we should think about is how the,0.7989
56,299.93,307.12,"about how the innovation contributes to the look and feel, and not so much to the functionality of it.",0.8774
