segment_id,start,end,transcript,asr_confidence
0,10.9,11.4,Are we?,0.5735
1,12.2,18.17,"We're not like the dim lights, so we can see that a bit better.",0.5122
2,18.89,19.03,Yeah.,0.179
3,19.05,22.42,OK. That's fine.,0.7427
4,22.44,23.74,Am I supposed to be standing up there?,0.5166
5,25.16,26.54,So we've got both of these clipped on.,0.6016
6,29.17,31.31,Is she going to answer me?,0.4657
7,31.33,32.33,"Yeah, I've got both of them.",0.2017
8,50.6,71.7,"I'm just gonna fall off, it doesn't let you put it on.",0.231
9,71.72,72.0,"Yep, yep, yep.",0.056
10,72.02,72.12,Okay.,0.2
11,80.47,83.0,"Okay, hello everybody.",0.7737
12,84.68,91.46,"I'm Sarah, the project manager and this is our first meeting, surprisingly enough.",0.8015
13,92.12,95.53,"Okay, this is our agenda.",0.6928
14,95.51,101.3,"We will do some stuff, get to know each other a bit better, feel more comfortable with each other.",0.7299
15,102.32,109.82,"Then we'll go do tool training, talk about the project plan, discuss our own ideas and everything.",0.8262
16,110.78,115.95,And we've got 25 minutes to do that as far as I can understand.,0.7981
17,117.6,120.92,"Now, we're developing remote control, which you probably already know.",0.5609
18,122.53,127.03,"We want it to be original, something that people haven't thought of.",0.7436
19,127.07,128.08,It's not out in the shops.,0.7517
20,129.42,134.95,"Trendy, appealing to a wide market, but not a hunk of metal.",0.8484
21,135.65,141.72,"And user-friendly, grannies to kids, maybe even pooches, should be able to use it.",0.7878
22,142.79,145.96,"Okay, first is the functional design.",0.7817
23,146.88,148.96,This is where we all go off and do our individual work.,0.7847
24,150.52,158.55,"What needs need to be fulfilled by the product, what effect the product has to have, and how it's actually going to do that.",0.8186
25,159.81,167.94,"Conceptual design, what we're thinking, how it's going to go, and then the detailed design, how we're actually going to put it into practice and make it work.",0.8015
26,170.37,171.33,OK.,0.921
27,171.35,171.61,Right.,0.785
28,172.13,178.22,We're going to practice with the pens and draw our favourite animal on the whiteboard.,0.7467
29,178.44,179.06,I'll go first.,0.823
30,179.94,183.39,And sum up the characteristics of that animal.,0.8309
31,184.45,192.98,OK. At least space for everyone else.,0.7363
32,211.44,212.36,That's amazing.,0.1425
33,243.2,244.24,We're running out of blue.,0.357
34,247.1,247.37,OK.,0.791
35,247.97,248.93,I'm not going to ask you to guess.,0.6149
36,248.95,250.59,I'm going to tell you that's supposed to be a tiger.,0.629
37,250.63,269.19,And I see them as majestic and independent and proud.,0.9044
38,272.29,272.57,No.,0.827
39,273.29,274.37,Who would like to go next?,0.6578
40,275.3,275.76,Me.,0.816
41,275.78,279.16,Okay.,0.383
42,279.18,279.38,Wish.,0.259
43,279.4,279.6,Cat.,0.792
44,285.23,286.39,Where does this come from?,0.5312
45,287.71,288.55,There you go.,0.4933
46,290.75,291.13,Thank you.,0.9355
47,294.12,296.46,Maybe you can guess what I'm trying to make.,0.8621
48,306.3,307.2,A kind of talk.,0.8095
49,309.38,309.64,Yeah.,0.602
50,313.59,314.37,It's actually sitting.,0.674
51,314.89,316.56,Sorry.,0.786
52,317.1,317.62,It's sitting.,0.83
53,317.7,318.46,It's not standing.,0.834
54,319.28,319.6,Okay.,0.737
55,319.8,320.75,I see it as one thing.,0.925
56,320.79,321.91,It's very supportive.,0.7507
57,324.1,325.38,It's your best friend in you.,0.9
58,326.22,327.06,You can talk to a dog.,0.7997
59,327.08,327.76,It can be a best friend.,0.9348
60,327.8,330.55,It doesn't discriminate between you based on what you are.,0.7898
61,331.51,333.89,"Second, it's loyal.",0.7987
62,335.63,338.13,"And third thing, it's got intuition.",0.8963
63,341.04,345.58,Dogs can sometimes make out between a thief and a person.,0.8328
64,345.6,349.37,"So basically, these are the three unique features I think belong to a dog.",0.8734
65,351.51,351.71,Thank you.,0.125
66,353.93,360.57,"Please leave me a space at the bottom, I'm little, I can get to the top.",0.7096
67,360.59,361.86,I'll be standing on a chair.,0.6912
68,361.88,367.67,"Well, since you guys have chosen the ones I wanted to do, I have to go for something a bit random.",0.5595
69,371.43,373.9,And also my drawing skill isn't that great.,0.7721
70,373.92,376.4,Well as you can see the quality of the work today.,0.675
71,376.86,378.17,I think it's outstandingly good.,0.809
72,378.71,384.4,Okay now I'm going to have to change what it was originally going to be because that looks like a beak now.,0.6169
73,391.23,391.86,Crocodile?,0.899
74,394.03,395.59,"Yeah, it can be a crocodile.",0.7925
75,395.99,397.14,It can be a crocodile.,0.853
76,399.85,407.43,"Firstly, it was an attempt at a T-rex, and then it sort of changed into a pelican, but it can be a crocodile.",0.701
77,420.1,421.6,That's lovely.,0.396
78,421.72,425.19,And I have to think on the spot of things that it is.,0.7798
79,429.2,434.75,"Scary, strong,",0.9155
80,438.71,442.1,"Yeah, that's about it, I think.",0.3392
81,443.24,445.37,I'm very impressed with your artistic skills.,0.8726
82,445.4,446.55,Minds are dreadful.,0.7553
83,448.05,449.39,"Oops, this is now coming apart.",0.7642
84,449.65,450.69,Let me just put the top in.,0.7644
85,454.14,455.02,I hope that clicks in.,0.6166
86,455.28,456.14,I'll hold it on.,0.9167
87,458.53,459.01,"Oops, oh dear.",0.6213
88,459.89,460.59,What happened there?,0.6773
89,461.21,462.16,Technical help.,0.441
90,465.39,466.63,Hopefully I'll stay on.,0.8442
91,466.77,469.06,Two-handed version.,0.79
92,474.5,475.95,"Again, this is off the top of my head.",0.8551
93,475.97,477.45,I was going to do a big cat too.,0.7474
94,481.38,483.24,It doesn't look like what I want it to be.,0.7852
95,488.82,493.41,"It's not a vampire bat, honestly.",0.783
96,493.47,494.89,Somewhere there's a body behind.,0.8054
97,497.49,500.38,"That's my dreadful, that's the worst, yeah.",0.8833
98,500.51,501.56,It's meant to be an eagle.,0.7165
99,501.62,504.62,You can tell it's a flying animal.,0.7903
100,505.73,507.63,"Could have been a seagull, I never thought of a seagull.",0.7383
101,508.19,510.84,"Again, I'm thinking on my feet, goodness.",0.9006
