meeting_id,segment_id,p_happy,p_angry,p_sad,p_neutral
ES2002c,0,0.1791921791921792,0.2797812797812798,0.2698102698102698,0.27121627121627123
ES2002c,1,0.196059,0.26368,0.289701,0.25056
ES2002c,2,0.235471,0.240264,0.255328,0.268937
ES2002c,3,0.191012,0.24154,0.251714,0.315734
ES2002c,4,0.189684,0.255365,0.245092,0.309859
ES2002c,5,0.20545,0.250499,0.243484,0.300567
ES2002c,6,0.188204,0.224241,0.253212,0.334343
ES2002c,7,0.199853,0.27448,0.276872,0.248795
ES2002c,8,0.1837851837851838,0.3086743086743087,0.27801727801727805,0.22952322952322954
ES2002c,9,0.17674282325717672,0.296977703022297,0.26797473202526795,0.2583047416952583
ES2002c,10,0.211426,0.278708,0.264678,0.245188
ES2002c,11,0.18703118703118704,0.2773552773552774,0.27569527569527574,0.2599182599182599
ES2002c,12,0.1884368115631884,0.29021970978029016,0.24691175308824687,0.2744317255682744
ES2002c,13,0.188857,0.27744,0.255625,0.278078
ES2002c,14,0.181721,0.288658,0.259705,0.269916
ES2002c,15,0.179192,0.285384,0.25634,0.279084
ES2002c,16,0.181771,0.270196,0.271224,0.276809
ES2002c,17,0.190306,0.272931,0.256203,0.28056
ES2002c,18,0.18466318466318465,0.2884242884242884,0.2584482584482584,0.2684642684642684
ES2002c,19,0.1838701838701839,0.27144227144227145,0.25101725101725103,0.2936702936702937
ES2002c,20,0.1814,0.26194,0.254725,0.301935
ES2002c,21,0.17939,0.276034,0.253585,0.290991
ES2002c,22,0.182165,0.277342,0.249941,0.290552
ES2002c,23,0.1792608207391793,0.28855371144628855,0.26197173802826196,0.27021372978627023
ES2002c,24,0.188659,0.295493,0.257261,0.258587
ES2002c,25,0.18475418475418476,0.2594782594782595,0.2503752503752504,0.3053923053923054
ES2002c,26,0.176526,0.285429,0.267415,0.27063
ES2002c,27,0.18366181633818363,0.3001126998873001,0.26859973140026855,0.2476257523742476
ES2002c,28,0.179297,0.273249,0.2602,0.287254
ES2002c,29,0.199594,0.273485,0.265598,0.261323
ES2002c,30,0.186524,0.286498,0.277223,0.249755
ES2002c,31,0.19103700000000004,0.29032800000000003,0.27311100000000005,0.24552400000000002
ES2002c,32,0.192105,0.289895,0.274102,0.243898
ES2002c,33,0.192999,0.269029,0.251821,0.286151
ES2002c,34,0.189983,0.256004,0.2615,0.292513
ES2002c,35,0.182411,0.27417,0.271938,0.271481
ES2002c,36,0.180625,0.296839,0.276959,0.245577
ES2002c,37,0.170768,0.307369,0.293497,0.228366
ES2002c,38,0.195664,0.278229,0.265434,0.260673
ES2002c,39,0.1959261959261959,0.28165428165428164,0.2634712634712635,0.25894825894825896
ES2002c,40,0.18166718166718165,0.2712822712822713,0.2832002832002832,0.2638502638502638
ES2002c,41,0.18444818444818448,0.27937427937427944,0.26857026857026856,0.2676072676072676
ES2002c,42,0.18657918657918657,0.27474927474927474,0.293999293999294,0.24467224467224466
ES2002c,43,0.18265,0.287664,0.278859,0.250827
ES2002c,44,0.183172,0.266534,0.269628,0.280666
ES2002c,45,0.19892780107219893,0.27201672798327203,0.26155273844726157,0.2675027324972675
ES2002c,46,0.201687,0.272694,0.260569,0.26505
ES2002c,47,0.182585,0.277908,0.265961,0.273546
ES2002c,48,0.181773,0.287483,0.275708,0.255036
ES2002c,49,0.176364,0.25882,0.288266,0.27655
ES2002c,50,0.178898,0.277953,0.275382,0.267767
ES2002c,51,0.19734219734219732,0.27698427698427697,0.27404027404027403,0.2516332516332516
ES2002c,52,0.198431,0.269688,0.277717,0.254164
ES2002c,53,0.190237,0.264056,0.271837,0.27387
ES2002c,54,0.18506581493418506,0.20430979569020427,0.2117137882862117,0.39891060108939885
ES2002c,55,0.168441,0.279133,0.293577,0.258849
ES2002c,56,0.168754,0.29375,0.290147,0.247349
ES2002c,57,0.172126,0.294393,0.272295,0.261186
ES2002c,58,0.17727982272017725,0.2909157090842909,0.27589672410327587,0.2559077440922559
ES2002c,59,0.17699,0.292605,0.256538,0.273867
ES2002c,60,0.173503,0.276462,0.277076,0.272959
ES2002c,61,0.17317882682117317,0.2896847103152897,0.2803897196102803,0.2567467432532567
ES2002c,62,0.18353881646118353,0.2836437163562836,0.2551827448172551,0.27763472236527764
ES2002c,63,0.189809,0.287622,0.274913,0.247656
ES2002c,64,0.192337,0.276152,0.258724,0.272787
ES2002c,65,0.19264319264319266,0.2803062803062803,0.24856124856124856,0.27848927848927846
ES2002c,66,0.199616,0.273338,0.254513,0.272533
ES2002c,67,0.17983800000000003,0.27598300000000003,0.25038200000000005,0.29379700000000003
ES2002c,68,0.180676,0.291677,0.263604,0.264043
ES2002c,69,0.180809,0.273162,0.281601,0.264428
ES2002c,70,0.177868,0.292616,0.269812,0.259704
ES2002c,71,0.185127,0.24448,0.283809,0.286584
ES2002c,72,0.19068,0.249957,0.260779,0.298584
ES2002c,73,0.201295,0.264314,0.250184,0.284207
ES2002c,74,0.2067377932622067,0.24105675894324102,0.2589567410432589,0.29324870675129316
