clip_id,actor,emotion_code,emotion_4class,p_happy,p_angry,p_sad,p_neutral
01_01_01_01_01,1,1,neutral,0.670219,0.096412,0.007584,0.225785
01_01_01_01_02,1,1,neutral,0.832011,0.044879,0.003015,0.120095
01_01_01_02_01,1,1,neutral,0.728225,0.052105,0.00192,0.21775
01_01_01_02_02,1,1,neutral,0.897583,0.003502,0.002973,0.095942
01_02_01_01_01,1,2,neutral,0.697799,0.065116,0.004846,0.232239
01_02_01_01_02,1,2,neutral,0.785471,0.019555,0.017003,0.177971
01_02_01_02_01,1,2,neutral,0.913568,0.008147,0.004366,0.073918
01_02_01_02_02,1,2,neutral,0.794717,0.010875,0.010909,0.183499
01_02_02_01_01,1,2,neutral,0.630462,0.015873,0.083482,0.270182
01_02_02_01_02,1,2,neutral,0.805244,0.006955,0.044792,0.143009
01_02_02_02_01,1,2,neutral,0.728981,0.005626,0.108576,0.156817
01_02_02_02_02,1,2,neutral,0.87185,0.002299,0.038232,0.08762
01_03_01_01_01,1,3,happy,0.722716,0.109458,0.001076,0.166749
01_03_01_01_02,1,3,happy,0.816468,0.09748,0.003493,0.08256
01_03_01_02_01,1,3,happy,0.887742,0.031125,0.00221,0.078924
01_03_01_02_02,1,3,happy,0.7987,0.09692,0.001988,0.102392
01_03_02_01_01,1,3,happy,0.631311,0.279648,0.002041,0.087001
01_03_02_01_02,1,3,happy,0.829671,0.122226,0.002691,0.045412
01_03_02_02_01,1,3,happy,0.923552,0.067663,0.000494,0.008291
01_03_02_02_02,1,3,happy,0.907696,0.084209,0.00069,0.007405
01_04_01_01_01,1,4,sad,0.609466,0.038018,0.056157,0.296359
01_04_01_01_02,1,4,sad,0.907222,0.011093,0.01774,0.063945
01_04_01_02_01,1,4,sad,0.58462,0.041958,0.020039,0.353383
01_04_01_02_02,1,4,sad,0.799042,0.022079,0.014151,0.164729
01_04_02_01_01,1,4,sad,0.581974,0.021307,0.036991,0.359728
01_04_02_01_02,1,4,sad,0.857541,0.055657,0.007106,0.079697
01_04_02_02_01,1,4,sad,0.869012,0.033302,0.002327,0.095359
01_04_02_02_02,1,4,sad,0.909233,0.052102,0.00126,0.037405
01_05_01_01_01,1,5,angry,0.162278,0.818306,7e-05,0.019346
01_05_01_01_02,1,5,angry,0.234239,0.746493,0.00032,0.018948
01_05_01_02_01,1,5,angry,0.708853,0.264134,0.000931,0.026082
01_05_01_02_02,1,5,angry,0.328112,0.650818,0.000257,0.020812
01_05_02_01_01,1,5,angry,0.437161,0.560932,0.000769,0.001137
01_05_02_01_02,1,5,angry,0.601731,0.395491,0.000826,0.001951
01_05_02_02_01,1,5,angry,0.75456,0.242308,0.000171,0.00296
01_05_02_02_02,1,5,angry,0.862082,0.136847,0.000174,0.000897
01_06_01_01_01,1,6,neutral,0.924972,0.024739,0.008383,0.041905
01_06_01_01_02,1,6,neutral,0.848247,0.012105,0.005261,0.134387
01_06_01_02_01,1,6,neutral,0.9488,0.001067,0.007445,0.042688
01_06_01_02_02,1,6,neutral,0.866509,0.00069,0.064198,0.068603
01_06_02_01_01,1,6,neutral,0.864773,0.001233,0.132156,0.001838
01_06_02_01_02,1,6,neutral,0.851715,0.009173,0.121096,0.018016
01_06_02_02_01,1,6,neutral,0.926633,0.042999,0.023163,0.007204
01_06_02_02_02,1,6,neutral,0.974677,0.002533,0.022404,0.000386
01_07_01_01_01,1,7,neutral,0.827243,0.02582,0.042111,0.104826
01_07_01_01_02,1,7,neutral,0.837892,0.074242,0.018126,0.06974
01_07_01_02_01,1,7,neutral,0.875311,0.000794,0.015808,0.108088
01_07_01_02_02,1,7,neutral,0.935324,0.004154,0.007448,0.053074
01_07_02_01_01,1,7,neutral,0.357508,0.577715,0.013294,0.051484
01_07_02_01_02,1,7,neutral,0.954525,0.01562,0.009936,0.01992
01_07_02_02_01,1,7,neutral,0.887117,0.061847,0.032888,0.018147
01_07_02_02_02,1,7,neutral,0.896,0.069819,0.017509,0.016672
01_08_01_01_01,1,8,neutral,0.713917,0.120504,0.012638,0.152941
01_08_01_01_02,1,8,neutral,0.486703,0.199373,0.003625,0.310298
01_08_01_02_01,1,8,neutral,0.805434,0.04169,0.0045,0.148375
01_08_01_02_02,1,8,neutral,0.40133,0.499083,0.000977,0.098611
01_08_02_01_01,1,8,neutral,0.560887,0.399999,0.000951,0.038163
01_08_02_01_02,1,8,neutral,0.29396,0.678487,0.001403,0.026151
01_08_02_02_01,1,8,neutral,0.164215,0.78999,0.000561,0.045233
01_08_02_02_02,1,8,neutral,0.410486,0.551236,0.000601,0.037678
02_01_01_01_01,2,1,neutral,0.141534,0.698914,7.6e-05,0.159476
02_01_01_01_02,2,1,neutral,0.087455,0.525005,8.2e-05,0.387458
02_01_01_02_01,2,1,neutral,0.050859,0.796689,5.5e-05,0.152398
02_01_01_02_02,2,1,neutral,0.133756,0.732177,4.3e-05,0.134023
02_02_01_01_01,2,2,neutral,0.3212,0.395251,0.000169,0.283381
02_02_01_01_02,2,2,neutral,0.14746,0.663332,0.000293,0.188915
02_02_01_02_01,2,2,neutral,0.186053,0.661297,0.000225,0.152425
02_02_01_02_02,2,2,neutral,0.392408,0.384918,0.00049,0.222184
02_02_02_01_01,2,2,neutral,0.247316,0.532891,0.00041,0.219382
02_02_02_01_02,2,2,neutral,0.197768,0.602191,0.001361,0.19868
02_02_02_02_01,2,2,neutral,0.505742,0.264174,0.000674,0.229409
02_02_02_02_02,2,2,neutral,0.29951,0.408699,0.000876,0.290916
02_03_01_01_01,2,3,happy,0.27116,0.602755,4.7e-05,0.126038
02_03_01_01_02,2,3,happy,0.29987,0.320461,7.8e-05,0.37959
02_03_01_02_01,2,3,happy,0.31848,0.574925,6.8e-05,0.106527
02_03_01_02_02,2,3,happy,0.532967,0.298025,5.9e-05,0.168949
02_03_02_01_01,2,3,happy,0.368169,0.622646,0.000201,0.008984
02_03_02_01_02,2,3,happy,0.598075,0.389474,0.000269,0.012181
02_03_02_02_01,2,3,happy,0.596887,0.330974,0.000219,0.07192
02_03_02_02_02,2,3,happy,0.725712,0.255723,0.000402,0.018163
02_04_01_01_01,2,4,sad,0.253381,0.429382,0.003249,0.313988
02_04_01_01_02,2,4,sad,0.332682,0.490339,0.006921,0.170058
02_04_01_02_01,2,4,sad,0.321453,0.249376,0.001089,0.428082
02_04_01_02_02,2,4,sad,0.482794,0.159033,0.003455,0.354719
02_04_02_01_01,2,4,sad,0.809554,0.059571,0.032475,0.098401
02_04_02_01_02,2,4,sad,0.55784,0.331987,0.022581,0.087591
02_04_02_02_01,2,4,sad,0.522195,0.371962,0.018811,0.087032
02_04_02_02_02,2,4,sad,0.827042,0.080238,0.03361,0.05911
