clip_id,actor,emotion_code,emotion_4class,p_happy,p_angry,p_sad,p_neutral
01_01_01_01_01,1,1,neutral,0.177941,0.272931,0.212311,0.336817
01_01_01_01_02,1,1,neutral,0.216042,0.258809,0.201891,0.323259
01_01_01_02_01,1,1,neutral,0.181734,0.281274,0.216294,0.320698
01_01_01_02_02,1,1,neutral,0.188917,0.321378,0.219458,0.270247
01_02_01_01_01,1,2,neutral,0.249585,0.260601,0.197373,0.292442
01_02_01_01_02,1,2,neutral,0.241039,0.253436,0.197629,0.307897
01_02_01_02_01,1,2,neutral,0.323196,0.255119,0.184644,0.23704
01_02_01_02_02,1,2,neutral,0.223213,0.282632,0.20848,0.285675
01_02_02_01_01,1,2,neutral,0.207205,0.258414,0.210059,0.324323
01_02_02_01_02,1,2,neutral,0.312407,0.265206,0.181963,0.240424
01_02_02_02_01,1,2,neutral,0.315232,0.256468,0.182214,0.246085
01_02_02_02_02,1,2,neutral,0.336746,0.261659,0.180225,0.22137
01_03_01_01_01,1,3,happy,0.575946,0.198471,0.113014,0.11257
01_03_01_01_02,1,3,happy,0.664424,0.180681,0.083979,0.070916
01_03_01_02_01,1,3,happy,0.640322,0.181131,0.093676,0.084871
01_03_01_02_02,1,3,happy,0.543367,0.215102,0.118035,0.123496
01_03_02_01_01,1,3,happy,0.657134,0.164457,0.09723,0.081178
01_03_02_01_02,1,3,happy,0.754636,0.135055,0.058559,0.05175
01_03_02_02_01,1,3,happy,0.663832,0.181731,0.085056,0.069381
01_03_02_02_02,1,3,happy,0.573026,0.205482,0.128094,0.093398
01_04_01_01_01,1,4,sad,0.153651,0.343135,0.234945,0.268268
01_04_01_01_02,1,4,sad,0.143639,0.350081,0.244863,0.261417
01_04_01_02_01,1,4,sad,0.142692,0.325769,0.256106,0.275433
01_04_01_02_02,1,4,sad,0.154443,0.353356,0.239891,0.252309
01_04_02_01_01,1,4,sad,0.141533,0.423557,0.230754,0.204156
01_04_02_01_02,1,4,sad,0.19522,0.451363,0.235622,0.117795
01_04_02_02_01,1,4,sad,0.177395,0.392167,0.228424,0.202014
01_04_02_02_02,1,4,sad,0.148528,0.355007,0.233712,0.262753
01_05_01_01_01,1,5,angry,0.152797,0.370118,0.216159,0.260927
01_05_01_01_02,1,5,angry,0.156708,0.346912,0.21036,0.28602
01_05_01_02_01,1,5,angry,0.184335,0.372499,0.208359,0.234807
01_05_01_02_02,1,5,angry,0.185185,0.379221,0.222553,0.213042
01_05_02_01_01,1,5,angry,0.15371,0.460973,0.202366,0.182951
01_05_02_01_02,1,5,angry,0.19039,0.427324,0.195511,0.186775
01_05_02_02_01,1,5,angry,0.17374,0.497332,0.200416,0.128512
01_05_02_02_02,1,5,angry,0.194022,0.517242,0.188271,0.100464
01_06_01_01_01,1,6,neutral,0.151113,0.353314,0.222882,0.272692
01_06_01_01_02,1,6,neutral,0.215944,0.390835,0.225236,0.167986
01_06_01_02_01,1,6,neutral,0.153241,0.34604,0.218859,0.28186
01_06_01_02_02,1,6,neutral,0.138675,0.379344,0.24225,0.239731
01_06_02_01_01,1,6,neutral,0.16119,0.386517,0.23796,0.214333
01_06_02_01_02,1,6,neutral,0.21488,0.393437,0.214676,0.177007
01_06_02_02_01,1,6,neutral,0.152791,0.362003,0.210681,0.274525
01_06_02_02_02,1,6,neutral,0.164439,0.368375,0.200169,0.267016
01_07_01_01_01,1,7,neutral,0.311646,0.431421,0.177534,0.079398
01_07_01_01_02,1,7,neutral,0.269736,0.487768,0.17573,0.066766
01_07_01_02_01,1,7,neutral,0.246608,0.488548,0.194533,0.070311
01_07_01_02_02,1,7,neutral,0.226628,0.491525,0.208104,0.073743
01_07_02_01_01,1,7,neutral,0.183785,0.502371,0.249556,0.064288
01_07_02_01_02,1,7,neutral,0.140319,0.564243,0.244871,0.050567
01_07_02_02_01,1,7,neutral,0.267981,0.422539,0.23601,0.07347
01_07_02_02_02,1,7,neutral,0.161813,0.495973,0.286621,0.055593
01_08_01_01_01,1,8,neutral,0.151714,0.34641,0.220658,0.281218
01_08_01_01_02,1,8,neutral,0.180739,0.305723,0.207563,0.305976
01_08_01_02_01,1,8,neutral,0.1896,0.381035,0.214831,0.214534
01_08_01_02_02,1,8,neutral,0.159385,0.290741,0.221528,0.328346
01_08_02_01_01,1,8,neutral,0.246783,0.309345,0.184644,0.259228
01_08_02_01_02,1,8,neutral,0.200283,0.320059,0.196301,0.283356
01_08_02_02_01,1,8,neutral,0.162602,0.327462,0.196606,0.31333
01_08_02_02_02,1,8,neutral,0.213999,0.292085,0.193317,0.300599
02_01_01_01_01,2,1,neutral,0.192422,0.23781,0.180066,0.389701
02_01_01_01_02,2,1,neutral,0.185959,0.222712,0.180614,0.410716
02_01_01_02_01,2,1,neutral,0.186547,0.229726,0.179466,0.404261
02_01_01_02_02,2,1,neutral,0.18992,0.231418,0.184092,0.394569
02_02_01_01_01,2,2,neutral,0.234675,0.241331,0.177227,0.346768
02_02_01_01_02,2,2,neutral,0.225628,0.24831,0.179024,0.347039
02_02_01_02_01,2,2,neutral,0.252639,0.243162,0.17648,0.327718
02_02_01_02_02,2,2,neutral,0.280844,0.250457,0.171516,0.297183
02_02_02_01_01,2,2,neutral,0.263212,0.249884,0.17237,0.314534
02_02_02_01_02,2,2,neutral,0.206465,0.245908,0.178203,0.369424
02_02_02_02_01,2,2,neutral,0.211444,0.246914,0.18032,0.361322
02_02_02_02_02,2,2,neutral,0.208219,0.24443,0.180535,0.366816
02_03_01_01_01,2,3,happy,0.509794,0.202457,0.129558,0.158192
02_03_01_01_02,2,3,happy,0.486183,0.208119,0.133028,0.17267
02_03_01_02_01,2,3,happy,0.514501,0.202986,0.129821,0.152692
02_03_01_02_02,2,3,happy,0.450196,0.214969,0.140944,0.193891
02_03_02_01_01,2,3,happy,0.720087,0.140868,0.071372,0.067673
02_03_02_01_02,2,3,happy,0.767639,0.121617,0.056788,0.053957
02_03_02_02_01,2,3,happy,0.675149,0.159787,0.085375,0.079689
02_03_02_02_02,2,3,happy,0.627949,0.171217,0.100414,0.10042
02_04_01_01_01,2,4,sad,0.168726,0.276686,0.211599,0.342989
02_04_01_01_02,2,4,sad,0.151755,0.321155,0.251156,0.275934
02_04_01_02_01,2,4,sad,0.15675,0.302116,0.242608,0.298526
02_04_01_02_02,2,4,sad,0.166412,0.273318,0.216703,0.343567
02_04_02_01_01,2,4,sad,0.150751,0.363476,0.267977,0.217796
02_04_02_01_02,2,4,sad,0.157354,0.325201,0.240917,0.276528
02_04_02_02_01,2,4,sad,0.143406,0.356395,0.287618,0.212581
02_04_02_02_02,2,4,sad,0.141777,0.378842,0.304426,0.174955
02_05_01_01_01,2,5,angry,0.148684,0.389145,0.247254,0.214916
02_05_01_01_02,2,5,angry,0.136489,0.390038,0.243717,0.229755
02_05_01_02_01,2,5,angry,0.151932,0.363676,0.246197,0.238195
02_05_01_02_02,2,5,angry,0.158886,0.354968,0.236851,0.249294
02_05_02_01_01,2,5,angry,0.149969,0.384931,0.241066,0.224034
02_05_02_01_02,2,5,angry,0.171314,0.34023,0.214058,0.274397
02_05_02_02_01,2,5,angry,0.167305,0.353308,0.218005,0.261382
02_05_02_02_02,2,5,angry,0.161745,0.378938,0.222252,0.237065
02_06_01_01_01,2,6,neutral,0.168785,0.372611,0.29088,0.167725
02_06_01_01_02,2,6,neutral,0.172851,0.378278,0.308353,0.140518
02_06_01_02_01,2,6,neutral,0.165955,0.400323,0.286546,0.147176
02_06_01_02_02,2,6,neutral,0.184675,0.353409,0.319726,0.142189
02_06_02_01_01,2,6,neutral,0.16645,0.413547,0.297189,0.122814
02_06_02_01_02,2,6,neutral,0.155216,0.415018,0.301647,0.128118
02_06_02_02_01,2,6,neutral,0.161731,0.404799,0.305606,0.127864
02_06_02_02_02,2,6,neutral,0.155039,0.420861,0.32111,0.10299
02_07_01_01_01,2,7,neutral,0.189772,0.397349,0.278565,0.134314
02_07_01_01_02,2,7,neutral,0.198429,0.425133,0.252637,0.123802
02_07_01_02_01,2,7,neutral,0.198652,0.435653,0.264695,0.101
02_07_01_02_02,2,7,neutral,0.180397,0.430602,0.280896,0.108104
02_07_02_01_01,2,7,neutral,0.190299,0.446699,0.25733,0.105672
02_07_02_01_02,2,7,neutral,0.21986,0.437593,0.247498,0.09505
02_07_02_02_01,2,7,neutral,0.207434,0.437679,0.264206,0.090681
02_07_02_02_02,2,7,neutral,0.258585,0.439308,0.222425,0.079681
