clip_id,filename,actor,gender,emotion_code,emotion_label,emotion_4class,intensity,statement,repetition
01_01_01_01_01,03-01-01-01-01-01-01.wav,1,male,1,neutral,neutral,1,1,1
01_01_01_01_02,03-01-01-01-01-02-01.wav,1,male,1,neutral,neutral,1,1,2
01_01_01_02_01,03-01-01-01-02-01-01.wav,1,male,1,neutral,neutral,1,2,1
01_01_01_02_02,03-01-01-01-02-02-01.wav,1,male,1,neutral,neutral,1,2,2
01_02_01_01_01,03-01-02-01-01-01-01.wav,1,male,2,calm,neutral,1,1,1
01_02_01_01_02,03-01-02-01-01-02-01.wav,1,male,2,calm,neutral,1,1,2
01_02_01_02_01,03-01-02-01-02-01-01.wav,1,male,2,calm,neutral,1,2,1
01_02_01_02_02,03-01-02-01-02-02-01.wav,1,male,2,calm,neutral,1,2,2
01_02_02_01_01,03-01-02-02-01-01-01.wav,1,male,2,calm,neutral,2,1,1
01_02_02_01_02,03-01-02-02-01-02-01.wav,1,male,2,calm,neutral,2,1,2
01_02_02_02_01,03-01-02-02-02-01-01.wav,1,male,2,calm,neutral,2,2,1
01_02_02_02_02,03-01-02-02-02-02-01.wav,1,male,2,calm,neutral,2,2,2
01_03_01_01_01,03-01-03-01-01-01-01.wav,1,male,3,happy,happy,1,1,1
01_03_01_01_02,03-01-03-01-01-02-01.wav,1,male,3,happy,happy,1,1,2
01_03_01_02_01,03-01-03-01-02-01-01.wav,1,male,3,happy,happy,1,2,1
01_03_01_02_02,03-01-03-01-02-02-01.wav,1,male,3,happy,happy,1,2,2
01_03_02_01_01,03-01-03-02-01-01-01.wav,1,male,3,happy,happy,2,1,1
01_03_02_01_02,03-01-03-02-01-02-01.wav,1,male,3,happy,happy,2,1,2
01_03_02_02_01,03-01-03-02-02-01-01.wav,1,male,3,happy,happy,2,2,1
01_03_02_02_02,03-01-03-02-02-02-01.wav,1,male,3,happy,happy,2,2,2
01_04_01_01_01,03-01-04-01-01-01-01.wav,1,male,4,sad,sad,1,1,1
01_04_01_01_02,03-01-04-01-01-02-01.wav,1,male,4,sad,sad,1,1,2
01_04_01_02_01,03-01-04-01-02-01-01.wav,1,male,4,sad,sad,1,2,1
01_04_01_02_02,03-01-04-01-02-02-01.wav,1,male,4,sad,sad,1,2,2
01_04_02_01_01,03-01-04-02-01-01-01.wav,1,male,4,sad,sad,2,1,1
01_04_02_01_02,03-01-04-02-01-02-01.wav,1,male,4,sad,sad,2,1,2
01_04_02_02_01,03-01-04-02-02-01-01.wav,1,male,4,sad,sad,2,2,1
01_04_02_02_02,03-01-04-02-02-02-01.wav,1,male,4,sad,sad,2,2,2
01_05_01_01_01,03-01-05-01-01-01-01.wav,1,male,5,angry,angry,1,1,1
01_05_01_01_02,03-01-05-01-01-02-01.wav,1,male,5,angry,angry,1,1,2
01_05_01_02_01,03-01-05-01-02-01-01.wav,1,male,5,angry,angry,1,2,1
01_05_01_02_02,03-01-05-01-02-02-01.wav,1,male,5,angry,angry,1,2,2
