pair_id,actor,gender,statement,intensity,repetition,audio_clip_id,video_clip_id,audio_emotion_4class,video_emotion_4class,label,p_audio_happy,p_audio_angry,p_audio_sad,p_audio_neutral,p_video_happy,p_video_angry,p_video_sad,p_video_neutral,p_text_happy,p_text_angry,p_text_sad,p_text_neutral
01_1_1_1_Aangry_Vangry,1,male,1,1,1,01_05_01_01_01,01_05_01_01_01,angry,angry,0,0.162278,0.818306,7e-05,0.019346,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aangry_Vcalm,1,male,1,1,1,01_05_01_01_01,01_02_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aangry_Vdisgust,1,male,1,1,1,01_05_01_01_01,01_07_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aangry_Vfearful,1,male,1,1,1,01_05_01_01_01,01_06_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aangry_Vhappy,1,male,1,1,1,01_05_01_01_01,01_03_01_01_01,angry,happy,1,0.162278,0.818306,7e-05,0.019346,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aangry_Vneutral,1,male,1,1,1,01_05_01_01_01,01_01_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aangry_Vsad,1,male,1,1,1,01_05_01_01_01,01_04_01_01_01,angry,sad,1,0.162278,0.818306,7e-05,0.019346,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aangry_Vsurprised,1,male,1,1,1,01_05_01_01_01,01_08_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Acalm_Vangry,1,male,1,1,1,01_02_01_01_01,01_05_01_01_01,neutral,angry,1,0.697799,0.065116,0.004846,0.232239,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Acalm_Vcalm,1,male,1,1,1,01_02_01_01_01,01_02_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Acalm_Vdisgust,1,male,1,1,1,01_02_01_01_01,01_07_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Acalm_Vfearful,1,male,1,1,1,01_02_01_01_01,01_06_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Acalm_Vhappy,1,male,1,1,1,01_02_01_01_01,01_03_01_01_01,neutral,happy,1,0.697799,0.065116,0.004846,0.232239,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Acalm_Vneutral,1,male,1,1,1,01_02_01_01_01,01_01_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Acalm_Vsad,1,male,1,1,1,01_02_01_01_01,01_04_01_01_01,neutral,sad,1,0.697799,0.065116,0.004846,0.232239,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Acalm_Vsurprised,1,male,1,1,1,01_02_01_01_01,01_08_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Adisgust_Vangry,1,male,1,1,1,01_07_01_01_01,01_05_01_01_01,neutral,angry,1,0.827243,0.02582,0.042111,0.104826,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Adisgust_Vcalm,1,male,1,1,1,01_07_01_01_01,01_02_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Adisgust_Vdisgust,1,male,1,1,1,01_07_01_01_01,01_07_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Adisgust_Vfearful,1,male,1,1,1,01_07_01_01_01,01_06_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Adisgust_Vhappy,1,male,1,1,1,01_07_01_01_01,01_03_01_01_01,neutral,happy,1,0.827243,0.02582,0.042111,0.104826,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Adisgust_Vneutral,1,male,1,1,1,01_07_01_01_01,01_01_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Adisgust_Vsad,1,male,1,1,1,01_07_01_01_01,01_04_01_01_01,neutral,sad,1,0.827243,0.02582,0.042111,0.104826,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Adisgust_Vsurprised,1,male,1,1,1,01_07_01_01_01,01_08_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Afearful_Vangry,1,male,1,1,1,01_06_01_01_01,01_05_01_01_01,neutral,angry,1,0.924972,0.024739,0.008383,0.041905,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Afearful_Vcalm,1,male,1,1,1,01_06_01_01_01,01_02_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Afearful_Vdisgust,1,male,1,1,1,01_06_01_01_01,01_07_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Afearful_Vfearful,1,male,1,1,1,01_06_01_01_01,01_06_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Afearful_Vhappy,1,male,1,1,1,01_06_01_01_01,01_03_01_01_01,neutral,happy,1,0.924972,0.024739,0.008383,0.041905,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Afearful_Vneutral,1,male,1,1,1,01_06_01_01_01,01_01_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Afearful_Vsad,1,male,1,1,1,01_06_01_01_01,01_04_01_01_01,neutral,sad,1,0.924972,0.024739,0.008383,0.041905,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Afearful_Vsurprised,1,male,1,1,1,01_06_01_01_01,01_08_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Ahappy_Vangry,1,male,1,1,1,01_03_01_01_01,01_05_01_01_01,happy,angry,1,0.722716,0.109458,0.001076,0.166749,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Ahappy_Vcalm,1,male,1,1,1,01_03_01_01_01,01_02_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Ahappy_Vdisgust,1,male,1,1,1,01_03_01_01_01,01_07_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Ahappy_Vfearful,1,male,1,1,1,01_03_01_01_01,01_06_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Ahappy_Vhappy,1,male,1,1,1,01_03_01_01_01,01_03_01_01_01,happy,happy,0,0.722716,0.109458,0.001076,0.166749,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Ahappy_Vneutral,1,male,1,1,1,01_03_01_01_01,01_01_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Ahappy_Vsad,1,male,1,1,1,01_03_01_01_01,01_04_01_01_01,happy,sad,1,0.722716,0.109458,0.001076,0.166749,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Ahappy_Vsurprised,1,male,1,1,1,01_03_01_01_01,01_08_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aneutral_Vangry,1,male,1,1,1,01_01_01_01_01,01_05_01_01_01,neutral,angry,1,0.670219,0.096412,0.007584,0.225785,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aneutral_Vcalm,1,male,1,1,1,01_01_01_01_01,01_02_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aneutral_Vdisgust,1,male,1,1,1,01_01_01_01_01,01_07_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aneutral_Vfearful,1,male,1,1,1,01_01_01_01_01,01_06_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aneutral_Vhappy,1,male,1,1,1,01_01_01_01_01,01_03_01_01_01,neutral,happy,1,0.670219,0.096412,0.007584,0.225785,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aneutral_Vneutral,1,male,1,1,1,01_01_01_01_01,01_01_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aneutral_Vsad,1,male,1,1,1,01_01_01_01_01,01_04_01_01_01,neutral,sad,1,0.670219,0.096412,0.007584,0.225785,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Aneutral_Vsurprised,1,male,1,1,1,01_01_01_01_01,01_08_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asad_Vangry,1,male,1,1,1,01_04_01_01_01,01_05_01_01_01,sad,angry,1,0.609466,0.038018,0.056157,0.296359,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asad_Vcalm,1,male,1,1,1,01_04_01_01_01,01_02_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asad_Vdisgust,1,male,1,1,1,01_04_01_01_01,01_07_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asad_Vfearful,1,male,1,1,1,01_04_01_01_01,01_06_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asad_Vhappy,1,male,1,1,1,01_04_01_01_01,01_03_01_01_01,sad,happy,1,0.609466,0.038018,0.056157,0.296359,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asad_Vneutral,1,male,1,1,1,01_04_01_01_01,01_01_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asad_Vsad,1,male,1,1,1,01_04_01_01_01,01_04_01_01_01,sad,sad,0,0.609466,0.038018,0.056157,0.296359,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asad_Vsurprised,1,male,1,1,1,01_04_01_01_01,01_08_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asurprised_Vangry,1,male,1,1,1,01_08_01_01_01,01_05_01_01_01,neutral,angry,1,0.713917,0.120504,0.012638,0.152941,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asurprised_Vcalm,1,male,1,1,1,01_08_01_01_01,01_02_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asurprised_Vdisgust,1,male,1,1,1,01_08_01_01_01,01_07_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asurprised_Vfearful,1,male,1,1,1,01_08_01_01_01,01_06_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asurprised_Vhappy,1,male,1,1,1,01_08_01_01_01,01_03_01_01_01,neutral,happy,1,0.713917,0.120504,0.012638,0.152941,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asurprised_Vneutral,1,male,1,1,1,01_08_01_01_01,01_01_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asurprised_Vsad,1,male,1,1,1,01_08_01_01_01,01_04_01_01_01,neutral,sad,1,0.713917,0.120504,0.012638,0.152941,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388
01_1_1_1_Asurprised_Vsurprised,1,male,1,1,1,01_08_01_01_01,01_08_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Aangry_Vangry,1,male,1,1,2,01_05_01_01_02,01_05_01_01_02,angry,angry,0,0.234239,0.746493,0.00032,0.018948,0.156708,0.346912,0.21036,0.28602,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Aangry_Vcalm,1,male,1,1,2,01_05_01_01_02,01_02_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.241039,0.253436,0.197629,0.307897,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Aangry_Vdisgust,1,male,1,1,2,01_05_01_01_02,01_07_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.269736,0.487768,0.17573,0.066766,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Aangry_Vfearful,1,male,1,1,2,01_05_01_01_02,01_06_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.215944,0.390835,0.225236,0.167986,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Aangry_Vhappy,1,male,1,1,2,01_05_01_01_02,01_03_01_01_02,angry,happy,1,0.234239,0.746493,0.00032,0.018948,0.664424,0.180681,0.083979,0.070916,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Aangry_Vneutral,1,male,1,1,2,01_05_01_01_02,01_01_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.216042,0.258809,0.201891,0.323259,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Aangry_Vsad,1,male,1,1,2,01_05_01_01_02,01_04_01_01_02,angry,sad,1,0.234239,0.746493,0.00032,0.018948,0.143639,0.350081,0.244863,0.261417,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Aangry_Vsurprised,1,male,1,1,2,01_05_01_01_02,01_08_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.180739,0.305723,0.207563,0.305976,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Acalm_Vangry,1,male,1,1,2,01_02_01_01_02,01_05_01_01_02,neutral,angry,1,0.785471,0.019555,0.017003,0.177971,0.156708,0.346912,0.21036,0.28602,0.004626,0.024107,0.005878,0.965388
01_1_1_2_Acalm_Vcalm,1,male,1,1,2,01_02_01_01_02,01_02_01_01_02,neutral,neutral,0,0.785471,0.019555,0.017003,0.177971,0.241039,0.253436,0.197629,0.307897,0.004626,0.024107,0.005878,0.965388
