pair_id,actor,gender,statement,intensity,repetition,audio_clip_id,video_clip_id,audio_emotion_4class,video_emotion_4class,label,p_audio_happy,p_audio_angry,p_audio_sad,p_audio_neutral,p_video_happy,p_video_angry,p_video_sad,p_video_neutral,p_text_happy,p_text_angry,p_text_sad,p_text_neutral,jsd_text_audio,jsd_text_video,jsd_audio_video,jsd_composite
01_1_1_1_Aangry_Vangry,1,male,1,1,1,01_05_01_01_01,01_05_01_01_01,angry,angry,0,0.162278,0.818306,7e-05,0.019346,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388,0.836874,0.442045,0.259626,0.512848
01_1_1_1_Aangry_Vcalm,1,male,1,1,1,01_05_01_01_01,01_02_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388,0.836874,0.412532,0.317772,0.522392
01_1_1_1_Aangry_Vdisgust,1,male,1,1,1,01_05_01_01_01,01_07_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388,0.836874,0.693162,0.163679,0.564572
01_1_1_1_Aangry_Vfearful,1,male,1,1,1,01_05_01_01_01,01_06_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388,0.836874,0.42975,0.274247,0.513623
01_1_1_1_Aangry_Vhappy,1,male,1,1,1,01_05_01_01_01,01_03_01_01_01,angry,happy,1,0.162278,0.818306,7e-05,0.019346,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388,0.836874,0.648341,0.31736,0.600858
01_1_1_1_Aangry_Vneutral,1,male,1,1,1,01_05_01_01_01,01_01_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388,0.836874,0.367632,0.332731,0.512412
01_1_1_1_Aangry_Vsad,1,male,1,1,1,01_05_01_01_01,01_04_01_01_01,angry,sad,1,0.162278,0.818306,7e-05,0.019346,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388,0.836874,0.434814,0.282013,0.5179
01_1_1_1_Aangry_Vsurprised,1,male,1,1,1,01_05_01_01_01,01_08_01_01_01,angry,neutral,1,0.162278,0.818306,7e-05,0.019346,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388,0.836874,0.420879,0.27952,0.512424
01_1_1_1_Acalm_Vangry,1,male,1,1,1,01_02_01_01_01,01_05_01_01_01,neutral,angry,1,0.697799,0.065116,0.004846,0.232239,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388,0.512123,0.442045,0.315813,0.423327
01_1_1_1_Acalm_Vcalm,1,male,1,1,1,01_02_01_01_01,01_02_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388,0.512123,0.412532,0.21205,0.378902
01_1_1_1_Acalm_Vdisgust,1,male,1,1,1,01_02_01_01_01,01_07_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388,0.512123,0.693162,0.26706,0.490781
01_1_1_1_Acalm_Vfearful,1,male,1,1,1,01_02_01_01_01,01_06_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388,0.512123,0.42975,0.314491,0.418788
01_1_1_1_Acalm_Vhappy,1,male,1,1,1,01_02_01_01_01,01_03_01_01_01,neutral,happy,1,0.697799,0.065116,0.004846,0.232239,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388,0.512123,0.648341,0.089353,0.416606
01_1_1_1_Acalm_Vneutral,1,male,1,1,1,01_02_01_01_01,01_01_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388,0.512123,0.367632,0.267324,0.382359
01_1_1_1_Acalm_Vsad,1,male,1,1,1,01_02_01_01_01,01_04_01_01_01,neutral,sad,1,0.697799,0.065116,0.004846,0.232239,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388,0.512123,0.434814,0.314397,0.420445
01_1_1_1_Acalm_Vsurprised,1,male,1,1,1,01_02_01_01_01,01_08_01_01_01,neutral,neutral,0,0.697799,0.065116,0.004846,0.232239,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388,0.512123,0.420879,0.310882,0.414628
01_1_1_1_Adisgust_Vangry,1,male,1,1,1,01_07_01_01_01,01_05_01_01_01,neutral,angry,1,0.827243,0.02582,0.042111,0.104826,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388,0.694067,0.442045,0.384257,0.50679
01_1_1_1_Adisgust_Vcalm,1,male,1,1,1,01_07_01_01_01,01_02_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388,0.694067,0.412532,0.271167,0.459255
01_1_1_1_Adisgust_Vdisgust,1,male,1,1,1,01_07_01_01_01,01_07_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388,0.694067,0.693162,0.277992,0.555074
